program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
jet_fuel,MVPF,.967033724294613,,,,,baseline,1,0
jet_fuel,MVPF_no_cc,,,,,,baseline,1,0
jet_fuel,cost,.9776291187146611,,,,.97762913,baseline,1,0
jet_fuel,WTP,.945400327649499,,,,.94540036,baseline,1,0
jet_fuel,program_cost,1,,,,,baseline,1,0
jet_fuel,total_cost,,,,,,baseline,1,0
jet_fuel,beh_fisc_ext,,,,,,baseline,1,0
jet_fuel,utility_fisc_ext,,,,,,baseline,1,0
jet_fuel,gas_fisc_ext,,,,,,baseline,1,0
jet_fuel,fed_fisc_ext,,,,,,baseline,1,0
jet_fuel,state_fisc_ext,,,,,,baseline,1,0
jet_fuel,WTP_USPres,1.035101514525323,,,,,baseline,1,0
jet_fuel,WTP_USFut,-.0119661636617072,,,,,baseline,1,0
jet_fuel,WTP_RoW,-.0777350232141167,,,,,baseline,1,0
jet_fuel,WTP_USTotal,,,,,,baseline,1,0
jet_fuel,enviro_mvpf,,,,,,baseline,1,0
jet_fuel,cost_mvpf,,,,,,baseline,1,0
jet_fuel,firm_mvpf,,,,,,baseline,1,0
jet_fuel,cost_wtp,0,,,,,baseline,1,0
jet_fuel,env_cost_wtp,0,,,,,baseline,1,0
jet_fuel,marginal,,,,,,baseline,1,0
jet_fuel,infmarg,,,,,,baseline,1,0
jet_fuel,wtp_private,,,,,,baseline,1,0
jet_fuel,wtp_soc,-.0908914516576281,,,,,baseline,1,0
jet_fuel,wtp_no_ice,,,,,,baseline,1,0
jet_fuel,wtp_yes_ev,,,,,,baseline,1,0
jet_fuel,wtp_yes_hev,,,,,,baseline,1,0
jet_fuel,wtp_soc_rbd,,,,,,baseline,1,0
jet_fuel,wtp_yes_ev_local,,,,,,baseline,1,0
jet_fuel,wtp_no_ice_local,,,,,,baseline,1,0
jet_fuel,env_cost_wtp_l,,,,,,baseline,1,0
jet_fuel,wtp_soc_rbd_l,,,,,,baseline,1,0
jet_fuel,wtp_yes_ev_g,,,,,,baseline,1,0
jet_fuel,wtp_no_ice_g,,,,,,baseline,1,0
jet_fuel,env_cost_wtp_g,,,,,,baseline,1,0
jet_fuel,wtp_soc_rbd_g,,,,,,baseline,1,0
jet_fuel,wtp_marg,,,,,,baseline,1,0
jet_fuel,wtp_inf,,,,,,baseline,1,0
