program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
k_gas_15_22,MVPF,.845956502884137,,,,,baseline,1,0
k_gas_15_22,MVPF_no_cc,.8516130472920734,,,,,baseline,1,0
k_gas_15_22,cost,.9834551899629078,,,,.98345518,baseline,1,0
k_gas_15_22,WTP,.8319603132442762,,,,.83196032,baseline,1,0
k_gas_15_22,program_cost,1,,,,,baseline,1,0
k_gas_15_22,total_cost,.9834551899629078,,,,,baseline,1,0
k_gas_15_22,beh_fisc_ext,,,,,,baseline,1,0
k_gas_15_22,utility_fisc_ext,,,,,,baseline,1,0
k_gas_15_22,gas_fisc_ext,,,,,,baseline,1,0
k_gas_15_22,fed_fisc_ext,,,,,,baseline,1,0
k_gas_15_22,state_fisc_ext,,,,,,baseline,1,0
k_gas_15_22,WTP_USPres,.9411697031746206,,,,,baseline,1,0
k_gas_15_22,WTP_USFut,-.0144001290318662,,,,,baseline,1,0
k_gas_15_22,WTP_RoW,-.0948092608984782,,,,,baseline,1,0
k_gas_15_22,WTP_USTotal,,,,,,baseline,1,0
k_gas_15_22,enviro_mvpf,,,,,,baseline,1,0
k_gas_15_22,cost_mvpf,,,,,,baseline,1,0
k_gas_15_22,firm_mvpf,,,,,,baseline,1,0
k_gas_15_22,cost_wtp,-.0050429042650484,,,,,baseline,1,0
k_gas_15_22,env_cost_wtp,-.0005122506331496,,,,,baseline,1,0
k_gas_15_22,marginal,,,,,,baseline,1,0
k_gas_15_22,infmarg,,,,,,baseline,1,0
k_gas_15_22,wtp_private,,,,,,baseline,1,0
k_gas_15_22,wtp_soc,-.1955238442042452,,,,,baseline,1,0
k_gas_15_22,wtp_no_ice,,,,,,baseline,1,0
k_gas_15_22,wtp_yes_ev,,,,,,baseline,1,0
k_gas_15_22,wtp_yes_hev,,,,,,baseline,1,0
k_gas_15_22,wtp_soc_rbd,1.00000000000e-11,,,,,baseline,1,0
k_gas_15_22,wtp_yes_ev_local,,,,,,baseline,1,0
k_gas_15_22,wtp_no_ice_local,,,,,,baseline,1,0
k_gas_15_22,env_cost_wtp_l,,,,,,baseline,1,0
k_gas_15_22,wtp_soc_rbd_l,,,,,,baseline,1,0
k_gas_15_22,wtp_yes_ev_g,,,,,,baseline,1,0
k_gas_15_22,wtp_no_ice_g,,,,,,baseline,1,0
k_gas_15_22,env_cost_wtp_g,,,,,,baseline,1,0
