program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
k_gas_15_22,MVPF,.845956502884137,,,,99999,,baseline,1,0
k_gas_15_22,MVPF_no_cc,.8516130472920734,,,,99999,,baseline,1,0
k_gas_15_22,cost,.9834551899629078,,,,99999,.98345518,baseline,1,0
k_gas_15_22,WTP,.8319603132442762,,,,99999,.83196032,baseline,1,0
k_gas_15_22,program_cost,1,,,,99999,,baseline,1,0
k_gas_15_22,total_cost,.9834551899629078,,,,99999,,baseline,1,0
k_gas_15_22,beh_fisc_ext,,,,,99999,,baseline,1,0
k_gas_15_22,utility_fisc_ext,,,,,99999,,baseline,1,0
k_gas_15_22,gas_fisc_ext,,,,,99999,,baseline,1,0
k_gas_15_22,fed_fisc_ext,,,,,99999,,baseline,1,0
k_gas_15_22,state_fisc_ext,,,,,99999,,baseline,1,0
k_gas_15_22,WTP_USPres,.9411697031746206,,,,99999,,baseline,1,0
k_gas_15_22,WTP_USFut,-.0144001290318662,,,,99999,,baseline,1,0
k_gas_15_22,WTP_RoW,-.0948092608984782,,,,99999,,baseline,1,0
k_gas_15_22,WTP_USTotal,,,,,99999,,baseline,1,0
k_gas_15_22,enviro_mvpf,,,,,99999,,baseline,1,0
k_gas_15_22,cost_mvpf,,,,,99999,,baseline,1,0
k_gas_15_22,firm_mvpf,,,,,99999,,baseline,1,0
k_gas_15_22,cost_wtp,-.0050429042650484,,,,99999,,baseline,1,0
k_gas_15_22,env_cost_wtp,-.0005122506331496,,,,99999,,baseline,1,0
k_gas_15_22,marginal,,,,,99999,,baseline,1,0
k_gas_15_22,infmarg,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_private,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc,-.1955238442042452,,,,99999,,baseline,1,0
k_gas_15_22,wtp_no_ice,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_yes_ev,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_yes_hev,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_rbd,1.00000000000e-11,,,,99999,,baseline,1,0
k_gas_15_22,wtp_yes_ev_local,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_no_ice_local,,,,,99999,,baseline,1,0
k_gas_15_22,env_cost_wtp_l,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_yes_ev_g,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_no_ice_g,,,,,99999,,baseline,1,0
k_gas_15_22,env_cost_wtp_g,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_marg,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_inf,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_glob,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_loc,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_r_glob,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_r_loc,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_e_cost,,,,,99999,,baseline,1,0
k_gas_15_22,WTP_cc,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_install,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_prod,.0330393123467194,,,,99999,,baseline,1,0
k_gas_15_22,wtp_prod_s,.0331972730015238,,,,99999,,baseline,1,0
k_gas_15_22,wtp_prod_u,-.0001579606548044,,,,99999,,baseline,1,0
k_gas_15_22,wtp_cons,1,,,,99999,,baseline,1,0
k_gas_15_22,wtp_deal,,,,,99999,,baseline,1,0
k_gas_15_22,admin_cost,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_permits,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_abatement,,,,,99999,,baseline,1,0
k_gas_15_22,permitrev,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_no_leak,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_leak,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_g,-.1036973043574981,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_l,-.0918265398467471,,,,99999,,baseline,1,0
k_gas_15_22,fisc_ext_t,-.0176747667228664,,,,99999,,baseline,1,0
k_gas_15_22,fisc_ext_s,-.0009043188959117,,,,99999,,baseline,1,0
k_gas_15_22,fisc_ext_lr,.0020342755816859,,,,99999,,baseline,1,0
k_gas_15_22,q_CO2,-.0005310038062349,,,,99999,,baseline,1,0
k_gas_15_22,q_CO2_no,.0005286120863006,,,,99999,,baseline,1,0
k_gas_15_22,p_spend,.9910640190420279,,,,99999,,baseline,1,0
k_gas_15_22,ev_sub_c,,,,,99999,,baseline,1,0
k_gas_15_22,ev_sub_c_row,,,,,99999,,baseline,1,0
k_gas_15_22,ev_sub_c_us,,,,,99999,,baseline,1,0
k_gas_15_22,ev_sub_env,,,,,99999,,baseline,1,0
k_gas_15_22,ev_sub_cost,,,,,99999,,baseline,1,0
k_gas_15_22,profits_fisc_e,,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_l_po,-.0116858043702939,,,,99999,,baseline,1,0
k_gas_15_22,wtp_soc_l_dr,-.0801407354764532,,,,99999,,baseline,1,0
k_gas_15_22,gov_carbon,-.000537464008207,,,,99999,,baseline,1,0
k_gas_15_22,resource_ce,-91.717018980831,,,,99999,,baseline,1,0
k_gas_15_22,q_carbon_mck,.0110668742656708,,,,99999,,baseline,1,0
k_gas_15_22,semie,-.0485651138076297,,,,99999,,baseline,1,0
