program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
levin_gas,MVPF,.7958372073027022,,,,,baseline,1,0
levin_gas,MVPF_no_cc,.7958372073027022,,,,,baseline,1,0
levin_gas,cost,.9377936893557631,,,,.93779367,baseline,1,0
levin_gas,WTP,.7463311107629884,,,,.7463311,baseline,1,0
levin_gas,program_cost,1,,,,,baseline,1,0
levin_gas,total_cost,.9377936893557631,,,,,baseline,1,0
levin_gas,beh_fisc_ext,,,,,,baseline,1,0
levin_gas,utility_fisc_ext,,,,,,baseline,1,0
levin_gas,gas_fisc_ext,,,,,,baseline,1,0
levin_gas,fed_fisc_ext,,,,,,baseline,1,0
levin_gas,state_fisc_ext,,,,,,baseline,1,0
levin_gas,WTP_USPres,.8956476513608446,,,,,baseline,1,0
levin_gas,WTP_USFut,-.0199188686841718,,,,,baseline,1,0
levin_gas,WTP_RoW,-.1293976719136843,,,,,baseline,1,0
levin_gas,WTP_USTotal,,,,,,baseline,1,0
levin_gas,enviro_mvpf,,,,,,baseline,1,0
levin_gas,cost_mvpf,,,,,,baseline,1,0
levin_gas,firm_mvpf,,,,,,baseline,1,0
levin_gas,cost_wtp,0,,,,,baseline,1,0
levin_gas,env_cost_wtp,0,,,,,baseline,1,0
levin_gas,marginal,,,,,,baseline,1,0
levin_gas,infmarg,,,,,,baseline,1,0
levin_gas,wtp_private,,,,,,baseline,1,0
levin_gas,wtp_soc,-.3176770657777925,,,,,baseline,1,0
levin_gas,wtp_no_ice,,,,,,baseline,1,0
levin_gas,wtp_yes_ev,,,,,,baseline,1,0
levin_gas,wtp_yes_hev,,,,,,baseline,1,0
levin_gas,wtp_soc_rbd,,,,,,baseline,1,0
levin_gas,wtp_yes_ev_local,,,,,,baseline,1,0
levin_gas,wtp_no_ice_local,,,,,,baseline,1,0
levin_gas,env_cost_wtp_l,,,,,,baseline,1,0
levin_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
levin_gas,wtp_yes_ev_g,,,,,,baseline,1,0
levin_gas,wtp_no_ice_g,,,,,,baseline,1,0
levin_gas,env_cost_wtp_g,,,,,,baseline,1,0
levin_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
levin_gas,wtp_marg,,,,,,baseline,1,0
levin_gas,wtp_inf,,,,,,baseline,1,0
levin_gas,wtp_glob,,,,,,baseline,1,0
levin_gas,wtp_loc,,,,,,baseline,1,0
levin_gas,wtp_r_glob,,,,,,baseline,1,0
levin_gas,wtp_r_loc,,,,,,baseline,1,0
levin_gas,wtp_e_cost,,,,,,baseline,1,0
levin_gas,WTP_cc,,,,,,baseline,1,0
levin_gas,wtp_install,,,,,,baseline,1,0
levin_gas,wtp_prod,.064008176540781,,,,,baseline,1,0
levin_gas,wtp_prod_s,.064008176540781,,,,,baseline,1,0
levin_gas,wtp_prod_u,0,,,,,baseline,1,0
levin_gas,wtp_cons,1,,,,,baseline,1,0
levin_gas,wtp_deal,,,,,,baseline,1,0
levin_gas,admin_cost,,,,,,baseline,1,0
levin_gas,wtp_permits,,,,,,baseline,1,0
levin_gas,wtp_abatement,,,,,,baseline,1,0
levin_gas,permitrev,,,,,,baseline,1,0
