program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
levin_gas,MVPF,.7958372073027022,,,,99999,,baseline,1,0
levin_gas,MVPF_no_cc,.7958372073027022,,,,99999,,baseline,1,0
levin_gas,cost,.9377936893557631,,,,99999,.93779367,baseline,1,0
levin_gas,WTP,.7463311107629884,,,,99999,.7463311,baseline,1,0
levin_gas,program_cost,1,,,,99999,,baseline,1,0
levin_gas,total_cost,.9377936893557631,,,,99999,,baseline,1,0
levin_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
levin_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
levin_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
levin_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
levin_gas,state_fisc_ext,,,,,99999,,baseline,1,0
levin_gas,WTP_USPres,.8956476513608446,,,,99999,,baseline,1,0
levin_gas,WTP_USFut,-.0199188686841718,,,,99999,,baseline,1,0
levin_gas,WTP_RoW,-.1293976719136843,,,,99999,,baseline,1,0
levin_gas,WTP_USTotal,,,,,99999,,baseline,1,0
levin_gas,enviro_mvpf,,,,,99999,,baseline,1,0
levin_gas,cost_mvpf,,,,,99999,,baseline,1,0
levin_gas,firm_mvpf,,,,,99999,,baseline,1,0
levin_gas,cost_wtp,0,,,,99999,,baseline,1,0
levin_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
levin_gas,marginal,,,,,99999,,baseline,1,0
levin_gas,infmarg,,,,,99999,,baseline,1,0
levin_gas,wtp_private,,,,,99999,,baseline,1,0
levin_gas,wtp_soc,-.3176770657777925,,,,99999,,baseline,1,0
levin_gas,wtp_no_ice,,,,,99999,,baseline,1,0
levin_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
levin_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
levin_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
levin_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
levin_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
levin_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
levin_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
levin_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
levin_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
levin_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
levin_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
levin_gas,wtp_marg,,,,,99999,,baseline,1,0
levin_gas,wtp_inf,,,,,99999,,baseline,1,0
levin_gas,wtp_glob,,,,,99999,,baseline,1,0
levin_gas,wtp_loc,,,,,99999,,baseline,1,0
levin_gas,wtp_r_glob,,,,,99999,,baseline,1,0
levin_gas,wtp_r_loc,,,,,99999,,baseline,1,0
levin_gas,wtp_e_cost,,,,,99999,,baseline,1,0
levin_gas,WTP_cc,,,,,99999,,baseline,1,0
levin_gas,wtp_install,,,,,99999,,baseline,1,0
levin_gas,wtp_prod,.064008176540781,,,,99999,,baseline,1,0
levin_gas,wtp_prod_s,.064008176540781,,,,99999,,baseline,1,0
levin_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
levin_gas,wtp_cons,1,,,,99999,,baseline,1,0
levin_gas,wtp_deal,,,,,99999,,baseline,1,0
levin_gas,admin_cost,,,,,99999,,baseline,1,0
levin_gas,wtp_permits,,,,,99999,,baseline,1,0
levin_gas,wtp_abatement,,,,,99999,,baseline,1,0
levin_gas,permitrev,,,,,99999,,baseline,1,0
levin_gas,wtp_no_leak,,,,,99999,,baseline,1,0
levin_gas,wtp_leak,,,,,99999,,baseline,1,0
levin_gas,wtp_soc_g,-.1493165405978561,,,,99999,,baseline,1,0
levin_gas,wtp_soc_l,-.1683605251799364,,,,99999,,baseline,1,0
levin_gas,fisc_ext_t,-.0651223252389506,,,,99999,,baseline,1,0
levin_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
levin_gas,fisc_ext_lr,.0029160145947137,,,,99999,,baseline,1,0
levin_gas,q_CO2,-.0010123799658843,,,,99999,,baseline,1,0
levin_gas,q_CO2_no,.0010123799658843,,,,99999,,baseline,1,0
levin_gas,p_spend,.951892506499738,,,,99999,,baseline,1,0
levin_gas,ev_sub_c,,,,,99999,,baseline,1,0
levin_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
levin_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
levin_gas,ev_sub_env,,,,,99999,,baseline,1,0
levin_gas,ev_sub_cost,,,,,99999,,baseline,1,0
levin_gas,profits_fisc_e,,,,,99999,,baseline,1,0
levin_gas,wtp_soc_l_po,-.0416512821279319,,,,99999,,baseline,1,0
levin_gas,wtp_soc_l_dr,-.1267092430520045,,,,99999,,baseline,1,0
levin_gas,gov_carbon,-.0010123799658843,,,,99999,,baseline,1,0
levin_gas,resource_ce,-123.1061296142353,,,,99999,,baseline,1,0
levin_gas,q_carbon_mck,.0082450867415267,,,,99999,,baseline,1,0
levin_gas,semie,-.1227858478171498,,,,99999,,baseline,1,0
levin_gas,pass_through,,,,,99999,,baseline,1,0
levin_gas,permitrev_new,,,,,99999,,baseline,1,0
levin_gas,permitrev_ex,,,,,99999,,baseline,1,0
levin_gas,fiscalext,,,,,99999,,baseline,1,0
levin_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
levin_gas,c_savings,,,,,99999,,baseline,1,0
levin_gas,resource_cost,,,,,99999,,baseline,1,0
levin_gas,q_CO2_mck,.0082450867415267,,,,99999,,baseline,1,0
levin_gas,q_CO2_mck_no,.0082450867415267,,,,99999,,baseline,1,0
levin_gas,wtp_ctr,,,,,99999,,baseline,1,0
levin_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
levin_gas,epsilon,,,,,99999,,baseline,1,0
levin_gas,transfer,,,,,99999,,baseline,1,0
levin_gas,enviro_wtp,,,,,99999,,baseline,1,0
levin_gas,cost_curve,,,,,99999,,baseline,1,0
levin_gas,profits,,,,,99999,,baseline,1,0
levin_gas,subsidies,,,,,99999,,baseline,1,0
levin_gas,taxes,,,,,99999,,baseline,1,0
levin_gas,wtp_batt,,,,,99999,,baseline,1,0
levin_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
levin_gas,wind_g_wf,,,,,99999,,baseline,1,0
levin_gas,wind_l_wf,,,,,99999,,baseline,1,0
