program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
manzan_gas,MVPF,.5482100530932933,,,,,baseline,1,0
manzan_gas,MVPF_no_cc,.5482100530932933,,,,,baseline,1,0
manzan_gas,cost,.8507356060057324,,,,.8507356,baseline,1,0
manzan_gas,WTP,.4663818117367576,,,,.46638182,baseline,1,0
manzan_gas,program_cost,1,,,,,baseline,1,0
manzan_gas,total_cost,.8507356060057324,,,,,baseline,1,0
manzan_gas,beh_fisc_ext,,,,,,baseline,1,0
manzan_gas,utility_fisc_ext,,,,,,baseline,1,0
manzan_gas,gas_fisc_ext,,,,,,baseline,1,0
manzan_gas,fed_fisc_ext,,,,,,baseline,1,0
manzan_gas,state_fisc_ext,,,,,,baseline,1,0
manzan_gas,WTP_USPres,.6456210457177247,,,,,baseline,1,0
manzan_gas,WTP_USFut,-.0239105644319333,,,,,baseline,1,0
manzan_gas,WTP_RoW,-.1553286695490338,,,,,baseline,1,0
manzan_gas,WTP_USTotal,,,,,,baseline,1,0
manzan_gas,enviro_mvpf,,,,,,baseline,1,0
manzan_gas,cost_mvpf,,,,,,baseline,1,0
manzan_gas,firm_mvpf,,,,,,baseline,1,0
manzan_gas,cost_wtp,0,,,,,baseline,1,0
manzan_gas,env_cost_wtp,0,,,,,baseline,1,0
manzan_gas,marginal,,,,,,baseline,1,0
manzan_gas,infmarg,,,,,,baseline,1,0
manzan_gas,wtp_private,,,,,,baseline,1,0
manzan_gas,wtp_soc,-.6517727816788689,,,,,baseline,1,0
manzan_gas,wtp_no_ice,,,,,,baseline,1,0
manzan_gas,wtp_yes_ev,,,,,,baseline,1,0
manzan_gas,wtp_yes_hev,,,,,,baseline,1,0
manzan_gas,wtp_soc_rbd,,,,,,baseline,1,0
manzan_gas,wtp_yes_ev_local,,,,,,baseline,1,0
manzan_gas,wtp_no_ice_local,,,,,,baseline,1,0
manzan_gas,env_cost_wtp_l,,,,,,baseline,1,0
manzan_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
manzan_gas,wtp_yes_ev_g,,,,,,baseline,1,0
manzan_gas,wtp_no_ice_g,,,,,,baseline,1,0
manzan_gas,env_cost_wtp_g,,,,,,baseline,1,0
manzan_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
manzan_gas,wtp_marg,,,,,,baseline,1,0
manzan_gas,wtp_inf,,,,,,baseline,1,0
manzan_gas,wtp_glob,,,,,,baseline,1,0
manzan_gas,wtp_loc,,,,,,baseline,1,0
manzan_gas,wtp_r_glob,,,,,,baseline,1,0
manzan_gas,wtp_r_loc,,,,,,baseline,1,0
manzan_gas,wtp_e_cost,,,,,,baseline,1,0
manzan_gas,WTP_cc,,,,,,baseline,1,0
manzan_gas,wtp_install,,,,,,baseline,1,0
manzan_gas,wtp_prod,.1181545934156264,,,,,baseline,1,0
manzan_gas,wtp_prod_s,.1181545934156264,,,,,baseline,1,0
manzan_gas,wtp_prod_u,0,,,,,baseline,1,0
manzan_gas,wtp_cons,1,,,,,baseline,1,0
manzan_gas,wtp_deal,,,,,,baseline,1,0
manzan_gas,admin_cost,,,,,,baseline,1,0
manzan_gas,wtp_permits,,,,,,baseline,1,0
manzan_gas,wtp_abatement,,,,,,baseline,1,0
manzan_gas,permitrev,,,,,,baseline,1,0
manzan_gas,wtp_no_leak,,,,,,baseline,1,0
manzan_gas,wtp_leak,,,,,,baseline,1,0
manzan_gas,wtp_soc_g,-.1792392339809671,,,,,baseline,1,0
manzan_gas,wtp_soc_l,-.4725335476979018,,,,,baseline,1,0
manzan_gas,fisc_ext_t,-.1527647712474579,,,,,baseline,1,0
manzan_gas,fisc_ext_s,0,,,,,baseline,1,0
manzan_gas,fisc_ext_lr,.0035003772531903,,,,,baseline,1,0
manzan_gas,q_CO2,-.0019566282525719,,,,,baseline,1,0
manzan_gas,q_CO2_no,.0019566282525719,,,,,baseline,1,0
