program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
metcalf_ptc,MVPF,6.429076934705769,,,,,baseline,1,0
metcalf_ptc,MVPF_no_cc,3.319320278655471,,,,,baseline,1,0
metcalf_ptc,cost,92.12087496895437,,,,1.1149629,baseline,1,0
metcalf_ptc,WTP,322.2411543943758,,,,3.9001684,baseline,1,0
metcalf_ptc,program_cost,82.62236706367088,,,,,baseline,1,0
metcalf_ptc,total_cost,92.12087496895437,,,,,baseline,1,0
metcalf_ptc,beh_fisc_ext,,,,,,baseline,1,0
metcalf_ptc,utility_fisc_ext,,,,,,baseline,1,0
metcalf_ptc,gas_fisc_ext,,,,,,baseline,1,0
metcalf_ptc,fed_fisc_ext,,,,,,baseline,1,0
metcalf_ptc,state_fisc_ext,,,,,,baseline,1,0
metcalf_ptc,WTP_USPres,171.2130931979058,,,,,baseline,1,0
metcalf_ptc,WTP_USFut,61.54277045667304,,,,,baseline,1,0
metcalf_ptc,WTP_RoW,359.4963288132398,,,,,baseline,1,0
metcalf_ptc,WTP_USTotal,,,,,,baseline,1,0
metcalf_ptc,enviro_mvpf,2.51665388851285,,,,,baseline,1,0
metcalf_ptc,cost_mvpf,.7513599395751953,,,,,baseline,1,0
metcalf_ptc,firm_mvpf,,,,,,baseline,1,0
metcalf_ptc,cost_wtp,62.07913672451936,,,,,baseline,1,0
metcalf_ptc,env_cost_wtp,207.9319013489234,,,,,baseline,1,0
metcalf_ptc,marginal,,,,,,baseline,1,0
metcalf_ptc,infmarg,,,,,,baseline,1,0
metcalf_ptc,wtp_private,82.62236706367088,,,,,baseline,1,0
metcalf_ptc,wtp_soc,242.817589269605,,,,,baseline,1,0
metcalf_ptc,wtp_no_ice,,,,,,baseline,1,0
metcalf_ptc,wtp_yes_ev,,,,,,baseline,1,0
metcalf_ptc,wtp_yes_hev,,,,,,baseline,1,0
metcalf_ptc,wtp_soc_rbd,-59.24037290749613,,,,,baseline,1,0
metcalf_ptc,wtp_yes_ev_local,,,,,,baseline,1,0
metcalf_ptc,wtp_no_ice_local,,,,,,baseline,1,0
metcalf_ptc,env_cost_wtp_l,12.76880060255689,,,,,baseline,1,0
metcalf_ptc,wtp_soc_rbd_l,,,,,,baseline,1,0
metcalf_ptc,wtp_yes_ev_g,,,,,,baseline,1,0
metcalf_ptc,wtp_no_ice_g,,,,,,baseline,1,0
metcalf_ptc,env_cost_wtp_g,195.1631007463665,,,,,baseline,1,0
metcalf_ptc,wtp_soc_rbd_g,,,,,,baseline,1,0
metcalf_ptc,wtp_marg,,,,,,baseline,1,0
metcalf_ptc,wtp_inf,,,,,,baseline,1,0
metcalf_ptc,wtp_glob,167.3912397672274,,,,,baseline,1,0
metcalf_ptc,wtp_loc,75.82192553167802,,,,,baseline,1,0
metcalf_ptc,wtp_r_glob,-40.77213276292685,,,,,baseline,1,0
metcalf_ptc,wtp_r_loc,-18.46824014456928,,,,,baseline,1,0
metcalf_ptc,wtp_e_cost,-3.594377968200441,,,,,baseline,1,0
metcalf_ptc,WTP_cc,592.2521924678185,,,,,baseline,1,0
metcalf_ptc,wtp_install,,,,,,baseline,1,0
metcalf_ptc,wtp_prod,82.62236706367088,,,,,baseline,1,0
metcalf_ptc,wtp_prod_s,,,,,,baseline,1,0
metcalf_ptc,wtp_prod_u,,,,,,baseline,1,0
metcalf_ptc,wtp_cons,0,,,,,baseline,1,0
metcalf_ptc,wtp_deal,,,,,,baseline,1,0
metcalf_ptc,admin_cost,,,,,,baseline,1,0
metcalf_ptc,wtp_permits,,,,,,baseline,1,0
metcalf_ptc,wtp_abatement,,,,,,baseline,1,0
metcalf_ptc,permitrev,,,,,,baseline,1,0
metcalf_ptc,wtp_no_leak,,,,,,baseline,1,0
metcalf_ptc,wtp_leak,,,,,,baseline,1,0
metcalf_ptc,wtp_soc_g,,,,,,baseline,1,0
metcalf_ptc,wtp_soc_l,,,,,,baseline,1,0
metcalf_ptc,fisc_ext_t,0,,,,,baseline,1,0
metcalf_ptc,fisc_ext_s,16.508665557672,,,,,baseline,1,0
metcalf_ptc,fisc_ext_lr,-7.010157652388514,,,,,baseline,1,0
metcalf_ptc,q_CO2,1.321784335498779,,,,,baseline,1,0
metcalf_ptc,q_CO2_no,,,,,,baseline,1,0
metcalf_ptc,p_spend,99.13103262134288,,,,,baseline,1,0
metcalf_ptc,ev_sub_c,,,,,,baseline,1,0
metcalf_ptc,ev_sub_c_row,,,,,,baseline,1,0
metcalf_ptc,ev_sub_c_us,,,,,,baseline,1,0
metcalf_ptc,ev_sub_env,,,,,,baseline,1,0
metcalf_ptc,ev_sub_cost,,,,,,baseline,1,0
metcalf_ptc,profits_fisc_e,,,,,,baseline,1,0
metcalf_ptc,wtp_soc_l_po,,,,,,baseline,1,0
metcalf_ptc,wtp_soc_l_dr,,,,,,baseline,1,0
metcalf_ptc,gov_carbon,.0000380289941747,,,,,baseline,1,0
metcalf_ptc,resource_ce,-42.23843697503107,,,,,baseline,1,0
metcalf_ptc,q_carbon_mck,.000396380954224,,,,,baseline,1,0
metcalf_ptc,semie,-.1201210729559059,,,,,baseline,1,0
metcalf_ptc,pass_through,,,,,,baseline,1,0
metcalf_ptc,permitrev_new,,,,,,baseline,1,0
metcalf_ptc,permitrev_ex,,,,,,baseline,1,0
metcalf_ptc,fiscalext,,,,,,baseline,1,0
metcalf_ptc,firm_cost_wtp,,,,,,baseline,1,0
metcalf_ptc,c_savings,,,,,,baseline,1,0
metcalf_ptc,resource_cost,4015000,,,,,baseline,1,0
metcalf_ptc,q_CO2_mck,.000396380954224,,,,,baseline,1,0
metcalf_ptc,q_CO2_mck_no,,,,,,baseline,1,0
metcalf_ptc,wtp_ctr,,,,,,baseline,1,0
metcalf_ptc,gas_corp_fisc_e,,,,,,baseline,1,0
metcalf_ptc,epsilon,-1.3,,,,,baseline,1,0
metcalf_ptc,transfer,,,,,,baseline,1,0
metcalf_ptc,enviro_wtp,,,,,,baseline,1,0
metcalf_ptc,cost_curve,,,,,,baseline,1,0
metcalf_ptc,profits,,,,,,baseline,1,0
metcalf_ptc,subsidies,,,,,,baseline,1,0
metcalf_ptc,taxes,,,,,,baseline,1,0
metcalf_ptc,wtp_batt,,,,,,baseline,1,0
metcalf_ptc,wtp_local_w_r,,,,,,baseline,1,0
metcalf_ptc,wind_g_wf,208.1633725301542,,,,,baseline,1,0
metcalf_ptc,wind_l_wf,94.2901656762473,,,,,baseline,1,0
