program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
metcalf_ptc,MVPF,6.429076934705769,,,,99999,,baseline,1,0
metcalf_ptc,MVPF_no_cc,3.319320278655471,,,,99999,,baseline,1,0
metcalf_ptc,cost,92.12087496895437,,,,99999,1.1149629,baseline,1,0
metcalf_ptc,WTP,322.2411543943758,,,,99999,3.9001684,baseline,1,0
metcalf_ptc,program_cost,82.62236706367088,,,,99999,,baseline,1,0
metcalf_ptc,total_cost,92.12087496895437,,,,99999,,baseline,1,0
metcalf_ptc,beh_fisc_ext,,,,,99999,,baseline,1,0
metcalf_ptc,utility_fisc_ext,,,,,99999,,baseline,1,0
metcalf_ptc,gas_fisc_ext,,,,,99999,,baseline,1,0
metcalf_ptc,fed_fisc_ext,,,,,99999,,baseline,1,0
metcalf_ptc,state_fisc_ext,,,,,99999,,baseline,1,0
metcalf_ptc,WTP_USPres,171.2130931979058,,,,99999,,baseline,1,0
metcalf_ptc,WTP_USFut,61.54277045667304,,,,99999,,baseline,1,0
metcalf_ptc,WTP_RoW,359.4963288132398,,,,99999,,baseline,1,0
metcalf_ptc,WTP_USTotal,,,,,99999,,baseline,1,0
metcalf_ptc,enviro_mvpf,2.51665388851285,,,,99999,,baseline,1,0
metcalf_ptc,cost_mvpf,.7513599395751953,,,,99999,,baseline,1,0
metcalf_ptc,firm_mvpf,,,,,99999,,baseline,1,0
metcalf_ptc,cost_wtp,62.07913672451936,,,,99999,,baseline,1,0
metcalf_ptc,env_cost_wtp,207.9319013489234,,,,99999,,baseline,1,0
metcalf_ptc,marginal,,,,,99999,,baseline,1,0
metcalf_ptc,infmarg,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
metcalf_ptc,wtp_soc,242.817589269605,,,,99999,,baseline,1,0
metcalf_ptc,wtp_no_ice,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_yes_ev,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_yes_hev,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_soc_rbd,-59.24037290749613,,,,99999,,baseline,1,0
metcalf_ptc,wtp_yes_ev_local,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_no_ice_local,,,,,99999,,baseline,1,0
metcalf_ptc,env_cost_wtp_l,12.76880060255689,,,,99999,,baseline,1,0
metcalf_ptc,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_yes_ev_g,,,,,99999,,baseline,1,0
metcalf_ptc,wtp_no_ice_g,,,,,99999,,baseline,1,0
metcalf_ptc,env_cost_wtp_g,195.1631007463665,,,,99999,,baseline,1,0
