program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
muehl_efmp,MVPF,.9362250173316191,,,,,baseline,1,0
muehl_efmp,MVPF_no_cc,.6486362630961493,,,,,baseline,1,0
muehl_efmp,cost,1.703095533409785,,,,1.7030956,baseline,1,0
muehl_efmp,WTP,1.104689522486666,,,,1.1046895,baseline,1,0
muehl_efmp,program_cost,1,,,,,baseline,1,0
muehl_efmp,total_cost,1.703095533409785,,,,,baseline,1,0
muehl_efmp,beh_fisc_ext,.4139619893685,,,,,baseline,1,0
muehl_efmp,utility_fisc_ext,-.0247133157540248,,,,,baseline,1,0
muehl_efmp,gas_fisc_ext,.03315427442432,,,,,baseline,1,0
muehl_efmp,fed_fisc_ext,.2745131336709768,,,,,baseline,1,0
muehl_efmp,state_fisc_ext,0,,,,,baseline,1,0
muehl_efmp,WTP_USPres,1.004352621687638,,,,,baseline,1,0
muehl_efmp,WTP_USFut,.0735157179940762,,,,,baseline,1,0
muehl_efmp,WTP_RoW,.5428113592611948,,,,,baseline,1,0
muehl_efmp,WTP_USTotal,,,,,,baseline,1,0
muehl_efmp,enviro_mvpf,.2762403226778979,,,,,baseline,1,0
muehl_efmp,cost_mvpf,.3065309822559357,,,,,baseline,1,0
muehl_efmp,firm_mvpf,,,,,,baseline,1,0
muehl_efmp,cost_wtp,.2605513349175453,,,,,baseline,1,0
muehl_efmp,env_cost_wtp,.2292397878797681,,,,,baseline,1,0
muehl_efmp,marginal,,,,,,baseline,1,0
muehl_efmp,infmarg,,,,,,baseline,1,0
muehl_efmp,wtp_private,,,,,,baseline,1,0
muehl_efmp,wtp_soc,.0934464564619895,,,,,baseline,1,0
muehl_efmp,wtp_no_ice,.2067304068192232,,,,,baseline,1,0
muehl_efmp,wtp_yes_ev,-.0870848966983042,,,,,baseline,1,0
muehl_efmp,wtp_yes_hev,,,,,,baseline,1,0
muehl_efmp,wtp_soc_rbd,.017056972735752,,,,,baseline,1,0
muehl_efmp,wtp_yes_ev_local,-.0051698168428606,,,,,baseline,1,0
muehl_efmp,wtp_no_ice_local,.0153905642784693,,,,,baseline,1,0
muehl_efmp,env_cost_wtp_l,-.0010668105226843,,,,,baseline,1,0
muehl_efmp,wtp_soc_rbd_l,.0010125914857889,,,,,baseline,1,0
muehl_efmp,wtp_yes_ev_g,-.0819150798554436,,,,,baseline,1,0
