program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
nicolini_eu,MVPF,1.67196269978233,,,,,baseline,1,0
nicolini_eu,MVPF_no_cc,1.60829984785361,,,,,baseline,1,0
nicolini_eu,cost,85.983464312596,,,,1.0406803,baseline,1,0
nicolini_eu,WTP,138.3490145117418,,,,1.6744741,baseline,1,0
nicolini_eu,program_cost,82.62236706367088,,,,,baseline,1,0
nicolini_eu,total_cost,85.983464312596,,,,,baseline,1,0
nicolini_eu,beh_fisc_ext,,,,,,baseline,1,0
nicolini_eu,utility_fisc_ext,,,,,,baseline,1,0
nicolini_eu,gas_fisc_ext,,,,,,baseline,1,0
nicolini_eu,fed_fisc_ext,,,,,,baseline,1,0
nicolini_eu,state_fisc_ext,,,,,,baseline,1,0
nicolini_eu,WTP_USPres,96.70503866436947,,,,,baseline,1,0
nicolini_eu,WTP_USFut,6.633577679733691,,,,,baseline,1,0
nicolini_eu,WTP_RoW,40.42252878462246,,,,,baseline,1,0
nicolini_eu,WTP_USTotal,,,,,,baseline,1,0
nicolini_eu,enviro_mvpf,.0157104175482923,,,,,baseline,1,0
nicolini_eu,cost_mvpf,.0497940070927143,,,,,baseline,1,0
nicolini_eu,firm_mvpf,,,,,,baseline,1,0
nicolini_eu,cost_wtp,4.114098731585273,,,,,baseline,1,0
nicolini_eu,env_cost_wtp,1.298031885398543,,,,,baseline,1,0
nicolini_eu,marginal,,,,,,baseline,1,0
nicolini_eu,infmarg,,,,,,baseline,1,0
nicolini_eu,wtp_private,82.62236706367088,,,,,baseline,1,0
nicolini_eu,wtp_soc,56.54156332528495,,,,,baseline,1,0
nicolini_eu,wtp_no_ice,,,,,,baseline,1,0
nicolini_eu,wtp_yes_ev,,,,,,baseline,1,0
nicolini_eu,wtp_yes_hev,,,,,,baseline,1,0
nicolini_eu,wtp_soc_rbd,-13.82650096441514,,,,,baseline,1,0
nicolini_eu,wtp_yes_ev_local,,,,,,baseline,1,0
nicolini_eu,wtp_no_ice_local,,,,,,baseline,1,0
nicolini_eu,env_cost_wtp_l,.0843542797999168,,,,,baseline,1,0
nicolini_eu,wtp_soc_rbd_l,,,,,,baseline,1,0
nicolini_eu,wtp_yes_ev_g,,,,,,baseline,1,0
nicolini_eu,wtp_no_ice_g,,,,,,baseline,1,0
nicolini_eu,env_cost_wtp_g,1.213677605598626,,,,,baseline,1,0
nicolini_eu,wtp_soc_rbd_g,,,,,,baseline,1,0
nicolini_eu,wtp_marg,,,,,,baseline,1,0
nicolini_eu,wtp_inf,,,,,,baseline,1,0
nicolini_eu,wtp_glob,42.76680584628272,,,,,baseline,1,0
nicolini_eu,wtp_loc,13.99831732089868,,,,,baseline,1,0
nicolini_eu,wtp_r_glob,-10.41687658348023,,,,,baseline,1,0
