program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
nudge_qatar,MVPF,6.208829192544118,,,,99999,,baseline,1,0
nudge_qatar,MVPF_no_cc,,,,,99999,,baseline,1,0
nudge_qatar,cost,12.52464914008099,,,,99999,.89185959,baseline,1,0
nudge_qatar,WTP,77.76340720730744,,,,99999,5.5374041,baseline,1,0
nudge_qatar,program_cost,14.04329690303637,,,,99999,,baseline,1,0
nudge_qatar,total_cost,12.52464914008099,,,,99999,,baseline,1,0
nudge_qatar,beh_fisc_ext,,,,,99999,,baseline,1,0
nudge_qatar,utility_fisc_ext,,,,,99999,,baseline,1,0
nudge_qatar,gas_fisc_ext,,,,,99999,,baseline,1,0
nudge_qatar,fed_fisc_ext,,,,,99999,,baseline,1,0
nudge_qatar,state_fisc_ext,,,,,99999,,baseline,1,0
nudge_qatar,WTP_USPres,0,,,,99999,,baseline,1,0
nudge_qatar,WTP_USFut,10.37366048258404,,,,99999,,baseline,1,0
nudge_qatar,WTP_RoW,67.38974672472339,,,,99999,,baseline,1,0
nudge_qatar,WTP_USTotal,,,,,99999,,baseline,1,0
nudge_qatar,enviro_mvpf,,,,,99999,,baseline,1,0
nudge_qatar,cost_mvpf,,,,,99999,,baseline,1,0
nudge_qatar,firm_mvpf,,,,,99999,,baseline,1,0
nudge_qatar,cost_wtp,,,,,99999,,baseline,1,0
nudge_qatar,env_cost_wtp,,,,,99999,,baseline,1,0
nudge_qatar,marginal,,,,,99999,,baseline,1,0
nudge_qatar,infmarg,,,,,99999,,baseline,1,0
nudge_qatar,wtp_private,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc,,,,,99999,,baseline,1,0
nudge_qatar,wtp_no_ice,,,,,99999,,baseline,1,0
nudge_qatar,wtp_yes_ev,,,,,99999,,baseline,1,0
nudge_qatar,wtp_yes_hev,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_rbd,,,,,99999,,baseline,1,0
nudge_qatar,wtp_yes_ev_local,,,,,99999,,baseline,1,0
nudge_qatar,wtp_no_ice_local,,,,,99999,,baseline,1,0
nudge_qatar,env_cost_wtp_l,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
nudge_qatar,wtp_yes_ev_g,,,,,99999,,baseline,1,0
nudge_qatar,wtp_no_ice_g,,,,,99999,,baseline,1,0
nudge_qatar,env_cost_wtp_g,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
nudge_qatar,wtp_marg,0,,,,99999,,baseline,1,0
nudge_qatar,wtp_inf,0,,,,99999,,baseline,1,0
nudge_qatar,wtp_glob,96.704541565132,,,,99999,,baseline,1,0
nudge_qatar,wtp_loc,0,,,,99999,,baseline,1,0
nudge_qatar,wtp_r_glob,-18.94113435782457,,,,99999,,baseline,1,0
nudge_qatar,wtp_r_loc,0,,,,99999,,baseline,1,0
nudge_qatar,wtp_e_cost,,,,,99999,,baseline,1,0
nudge_qatar,WTP_cc,,,,,99999,,baseline,1,0
nudge_qatar,wtp_install,,,,,99999,,baseline,1,0
nudge_qatar,wtp_prod,,,,,99999,,baseline,1,0
nudge_qatar,wtp_prod_s,,,,,99999,,baseline,1,0
nudge_qatar,wtp_prod_u,,,,,99999,,baseline,1,0
nudge_qatar,wtp_cons,0,,,,99999,,baseline,1,0
nudge_qatar,wtp_deal,,,,,99999,,baseline,1,0
nudge_qatar,admin_cost,,,,,99999,,baseline,1,0
nudge_qatar,wtp_permits,,,,,99999,,baseline,1,0
nudge_qatar,wtp_abatement,,,,,99999,,baseline,1,0
nudge_qatar,permitrev,,,,,99999,,baseline,1,0
nudge_qatar,wtp_no_leak,,,,,99999,,baseline,1,0
nudge_qatar,wtp_leak,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_g,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_l,,,,,99999,,baseline,1,0
nudge_qatar,fisc_ext_t,0,,,,99999,,baseline,1,0
nudge_qatar,fisc_ext_s,0,,,,99999,,baseline,1,0
nudge_qatar,fisc_ext_lr,-1.518647762955385,,,,99999,,baseline,1,0
nudge_qatar,q_CO2,3.25698379599e-09,,,,99999,,baseline,1,0
nudge_qatar,q_CO2_no,,,,,99999,,baseline,1,0
nudge_qatar,p_spend,14.04329690303637,,,,99999,,baseline,1,0
nudge_qatar,ev_sub_c,,,,,99999,,baseline,1,0
nudge_qatar,ev_sub_c_row,,,,,99999,,baseline,1,0
nudge_qatar,ev_sub_c_us,,,,,99999,,baseline,1,0
nudge_qatar,ev_sub_env,,,,,99999,,baseline,1,0
nudge_qatar,ev_sub_cost,,,,,99999,,baseline,1,0
nudge_qatar,profits_fisc_e,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_l_po,,,,,99999,,baseline,1,0
nudge_qatar,wtp_soc_l_dr,,,,,99999,,baseline,1,0
nudge_qatar,gov_carbon,,,,,99999,,baseline,1,0
nudge_qatar,resource_ce,,,,,99999,,baseline,1,0
nudge_qatar,q_carbon_mck,,,,,99999,,baseline,1,0
nudge_qatar,semie,,,,,99999,,baseline,1,0
