program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
opower_e,MVPF,3.204686656522241,,,,,baseline,1,0
opower_e,MVPF_no_cc,,,,,,baseline,1,0
opower_e,cost,6.599312692177615,,,,1.068891,baseline,1,0
opower_e,WTP,21.14872932683947,,,,3.4254608,baseline,1,0
opower_e,program_cost,6.173980810393728,,,,,baseline,1,0
opower_e,total_cost,,,,,,baseline,1,0
opower_e,beh_fisc_ext,,,,,,baseline,1,0
opower_e,utility_fisc_ext,,,,,,baseline,1,0
opower_e,gas_fisc_ext,,,,,,baseline,1,0
opower_e,fed_fisc_ext,,,,,,baseline,1,0
opower_e,state_fisc_ext,,,,,,baseline,1,0
opower_e,WTP_USPres,7.106563972827443,,,,,baseline,1,0
opower_e,WTP_USFut,1.873228823866873,,,,,baseline,1,0
opower_e,WTP_RoW,12.16893653014515,,,,,baseline,1,0
opower_e,WTP_USTotal,,,,,,baseline,1,0
opower_e,enviro_mvpf,,,,,,baseline,1,0
opower_e,cost_mvpf,,,,,,baseline,1,0
opower_e,firm_mvpf,,,,,,baseline,1,0
opower_e,cost_wtp,,,,,,baseline,1,0
opower_e,env_cost_wtp,,,,,,baseline,1,0
opower_e,marginal,,,,,,baseline,1,0
opower_e,infmarg,,,,,,baseline,1,0
opower_e,wtp_private,,,,,,baseline,1,0
opower_e,wtp_soc,22.71079075638993,,,,,baseline,1,0
opower_e,wtp_no_ice,,,,,,baseline,1,0
opower_e,wtp_yes_ev,,,,,,baseline,1,0
opower_e,wtp_yes_hev,,,,,,baseline,1,0
opower_e,wtp_soc_rbd,-5.4649598879101,,,,,baseline,1,0
opower_e,wtp_yes_ev_local,,,,,,baseline,1,0
opower_e,wtp_no_ice_local,,,,,,baseline,1,0
opower_e,env_cost_wtp_l,,,,,,baseline,1,0
opower_e,wtp_soc_rbd_l,,,,,,baseline,1,0
opower_e,wtp_yes_ev_g,,,,,,baseline,1,0
opower_e,wtp_no_ice_g,,,,,,baseline,1,0
opower_e,env_cost_wtp_g,,,,,,baseline,1,0
opower_e,wtp_soc_rbd_g,,,,,,baseline,1,0
opower_e,wtp_marg,,,,,,baseline,1,0
opower_e,wtp_inf,,,,,,baseline,1,0
opower_e,wtp_glob,17.46246997024464,,,,,baseline,1,0
opower_e,wtp_loc,10.43905011024958,,,,,baseline,1,0
opower_e,wtp_r_glob,-3.420304616232624,,,,,baseline,1,0
opower_e,wtp_r_loc,-2.044655271677476,,,,,baseline,1,0
opower_e,wtp_e_cost,,,,,,baseline,1,0
opower_e,WTP_cc,,,,,,baseline,1,0
opower_e,wtp_install,,,,,,baseline,1,0
opower_e,wtp_prod,-1.287830865744662,,,,,baseline,1,0
opower_e,wtp_prod_s,,,,,,baseline,1,0
opower_e,wtp_prod_u,,,,,,baseline,1,0
opower_e,wtp_cons,0,,,,,baseline,1,0
opower_e,wtp_deal,,,,,,baseline,1,0
opower_e,admin_cost,,,,,,baseline,1,0
opower_e,wtp_permits,,,,,,baseline,1,0
opower_e,wtp_abatement,,,,,,baseline,1,0
opower_e,permitrev,,,,,,baseline,1,0
opower_e,wtp_no_leak,,,,,,baseline,1,0
opower_e,wtp_leak,,,,,,baseline,1,0
opower_e,wtp_soc_g,,,,,,baseline,1,0
opower_e,wtp_soc_l,,,,,,baseline,1,0
opower_e,fisc_ext_t,.6995624455896868,,,,,baseline,1,0
opower_e,fisc_ext_s,0,,,,,baseline,1,0
opower_e,fisc_ext_lr,-.2742305638058004,,,,,baseline,1,0
opower_e,q_CO2,.0885005779854137,,,,,baseline,1,0
opower_e,q_CO2_no,,,,,,baseline,1,0
opower_e,p_spend,6.173980810393728,,,,,baseline,1,0
opower_e,ev_sub_c,,,,,,baseline,1,0
opower_e,ev_sub_c_row,,,,,,baseline,1,0
opower_e,ev_sub_c_us,,,,,,baseline,1,0
opower_e,ev_sub_env,,,,,,baseline,1,0
opower_e,ev_sub_cost,,,,,,baseline,1,0
opower_e,profits_fisc_e,,,,,,baseline,1,0
opower_e,wtp_soc_l_po,,,,,,baseline,1,0
opower_e,wtp_soc_l_dr,,,,,,baseline,1,0
opower_e,gov_carbon,.0885005779854137,,,,,baseline,1,0
opower_e,resource_ce,-51.97058027230683,,,,,baseline,1,0
opower_e,q_carbon_mck,.1100570066266903,,,,,baseline,1,0
opower_e,semie,,,,,,baseline,1,0
opower_e,pass_through,,,,,,baseline,1,0
opower_e,permitrev_new,,,,,,baseline,1,0
opower_e,permitrev_ex,,,,,,baseline,1,0
opower_e,fiscalext,,,,,,baseline,1,0
opower_e,firm_cost_wtp,,,,,,baseline,1,0
opower_e,c_savings,0,,,,,baseline,1,0
opower_e,resource_cost,,,,,,baseline,1,0
opower_e,q_CO2_mck,,,,,,baseline,1,0
opower_e,q_CO2_mck_no,,,,,,baseline,1,0
opower_e,wtp_ctr,,,,,,baseline,1,0
opower_e,gas_corp_fisc_e,,,,,,baseline,1,0
opower_e,epsilon,,,,,,baseline,1,0
opower_e,transfer,,,,,,baseline,1,0
opower_e,enviro_wtp,,,,,,baseline,1,0
opower_e,cost_curve,,,,,,baseline,1,0
opower_e,profits,,,,,,baseline,1,0
opower_e,subsidies,,,,,,baseline,1,0
opower_e,taxes,,,,,,baseline,1,0
opower_e,wtp_batt,,,,,,baseline,1,0
opower_e,wtp_local_w_r,,,,,,baseline,1,0
opower_e,wind_g_wf,,,,,,baseline,1,0
opower_e,wind_l_wf,,,,,,baseline,1,0
