program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
opower_e,MVPF,3.204686656522241,,,,99999,,baseline,1,0
opower_e,MVPF_no_cc,,,,,99999,,baseline,1,0
opower_e,cost,6.599312692177615,,,,99999,1.068891,baseline,1,0
opower_e,WTP,21.14872932683947,,,,99999,3.4254608,baseline,1,0
opower_e,program_cost,6.173980810393728,,,,99999,,baseline,1,0
opower_e,total_cost,,,,,99999,,baseline,1,0
opower_e,beh_fisc_ext,,,,,99999,,baseline,1,0
opower_e,utility_fisc_ext,,,,,99999,,baseline,1,0
opower_e,gas_fisc_ext,,,,,99999,,baseline,1,0
opower_e,fed_fisc_ext,,,,,99999,,baseline,1,0
opower_e,state_fisc_ext,,,,,99999,,baseline,1,0
opower_e,WTP_USPres,7.106563972827443,,,,99999,,baseline,1,0
opower_e,WTP_USFut,1.873228823866873,,,,99999,,baseline,1,0
opower_e,WTP_RoW,12.16893653014515,,,,99999,,baseline,1,0
opower_e,WTP_USTotal,,,,,99999,,baseline,1,0
opower_e,enviro_mvpf,,,,,99999,,baseline,1,0
opower_e,cost_mvpf,,,,,99999,,baseline,1,0
opower_e,firm_mvpf,,,,,99999,,baseline,1,0
opower_e,cost_wtp,,,,,99999,,baseline,1,0
opower_e,env_cost_wtp,,,,,99999,,baseline,1,0
opower_e,marginal,,,,,99999,,baseline,1,0
opower_e,infmarg,,,,,99999,,baseline,1,0
opower_e,wtp_private,,,,,99999,,baseline,1,0
opower_e,wtp_soc,22.71079075638993,,,,99999,,baseline,1,0
opower_e,wtp_no_ice,,,,,99999,,baseline,1,0
opower_e,wtp_yes_ev,,,,,99999,,baseline,1,0
opower_e,wtp_yes_hev,,,,,99999,,baseline,1,0
opower_e,wtp_soc_rbd,-5.4649598879101,,,,99999,,baseline,1,0
opower_e,wtp_yes_ev_local,,,,,99999,,baseline,1,0
opower_e,wtp_no_ice_local,,,,,99999,,baseline,1,0
opower_e,env_cost_wtp_l,,,,,99999,,baseline,1,0
opower_e,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
opower_e,wtp_yes_ev_g,,,,,99999,,baseline,1,0
opower_e,wtp_no_ice_g,,,,,99999,,baseline,1,0
opower_e,env_cost_wtp_g,,,,,99999,,baseline,1,0
opower_e,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
opower_e,wtp_marg,,,,,99999,,baseline,1,0
opower_e,wtp_inf,,,,,99999,,baseline,1,0
opower_e,wtp_glob,17.46246997024464,,,,99999,,baseline,1,0
opower_e,wtp_loc,10.43905011024958,,,,99999,,baseline,1,0
opower_e,wtp_r_glob,-3.420304616232624,,,,99999,,baseline,1,0
opower_e,wtp_r_loc,-2.044655271677476,,,,99999,,baseline,1,0
opower_e,wtp_e_cost,,,,,99999,,baseline,1,0
opower_e,WTP_cc,,,,,99999,,baseline,1,0
opower_e,wtp_install,,,,,99999,,baseline,1,0
opower_e,wtp_prod,-1.287830865744662,,,,99999,,baseline,1,0
opower_e,wtp_prod_s,,,,,99999,,baseline,1,0
opower_e,wtp_prod_u,,,,,99999,,baseline,1,0
opower_e,wtp_cons,0,,,,99999,,baseline,1,0
opower_e,wtp_deal,,,,,99999,,baseline,1,0
opower_e,admin_cost,,,,,99999,,baseline,1,0
opower_e,wtp_permits,,,,,99999,,baseline,1,0
opower_e,wtp_abatement,,,,,99999,,baseline,1,0
opower_e,permitrev,,,,,99999,,baseline,1,0
opower_e,wtp_no_leak,,,,,99999,,baseline,1,0
opower_e,wtp_leak,,,,,99999,,baseline,1,0
opower_e,wtp_soc_g,,,,,99999,,baseline,1,0
opower_e,wtp_soc_l,,,,,99999,,baseline,1,0
opower_e,fisc_ext_t,.6995624455896868,,,,99999,,baseline,1,0
opower_e,fisc_ext_s,0,,,,99999,,baseline,1,0
opower_e,fisc_ext_lr,-.2742305638058004,,,,99999,,baseline,1,0
opower_e,q_CO2,.0885005779854137,,,,99999,,baseline,1,0
opower_e,q_CO2_no,,,,,99999,,baseline,1,0
opower_e,p_spend,6.173980810393728,,,,99999,,baseline,1,0
opower_e,ev_sub_c,,,,,99999,,baseline,1,0
opower_e,ev_sub_c_row,,,,,99999,,baseline,1,0
opower_e,ev_sub_c_us,,,,,99999,,baseline,1,0
opower_e,ev_sub_env,,,,,99999,,baseline,1,0
opower_e,ev_sub_cost,,,,,99999,,baseline,1,0
opower_e,profits_fisc_e,,,,,99999,,baseline,1,0
opower_e,wtp_soc_l_po,,,,,99999,,baseline,1,0
opower_e,wtp_soc_l_dr,,,,,99999,,baseline,1,0
opower_e,gov_carbon,.0885005779854137,,,,99999,,baseline,1,0
opower_e,resource_ce,-51.97058027230683,,,,99999,,baseline,1,0
opower_e,q_carbon_mck,.1100570066266903,,,,99999,,baseline,1,0
opower_e,semie,,,,,99999,,baseline,1,0
opower_e,pass_through,,,,,99999,,baseline,1,0
opower_e,permitrev_new,,,,,99999,,baseline,1,0
opower_e,permitrev_ex,,,,,99999,,baseline,1,0
opower_e,fiscalext,,,,,99999,,baseline,1,0
opower_e,firm_cost_wtp,,,,,99999,,baseline,1,0
opower_e,c_savings,0,,,,99999,,baseline,1,0
opower_e,resource_cost,,,,,99999,,baseline,1,0
opower_e,q_CO2_mck,,,,,99999,,baseline,1,0
opower_e,q_CO2_mck_no,,,,,99999,,baseline,1,0
opower_e,wtp_ctr,,,,,99999,,baseline,1,0
opower_e,gas_corp_fisc_e,,,,,99999,,baseline,1,0
opower_e,epsilon,,,,,99999,,baseline,1,0
opower_e,transfer,,,,,99999,,baseline,1,0
opower_e,enviro_wtp,,,,,99999,,baseline,1,0
opower_e,cost_curve,,,,,99999,,baseline,1,0
opower_e,profits,,,,,99999,,baseline,1,0
opower_e,subsidies,,,,,99999,,baseline,1,0
opower_e,taxes,,,,,99999,,baseline,1,0
opower_e,wtp_batt,,,,,99999,,baseline,1,0
opower_e,wtp_local_w_r,,,,,99999,,baseline,1,0
opower_e,wind_g_wf,,,,,99999,,baseline,1,0
opower_e,wind_l_wf,,,,,99999,,baseline,1,0
