program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
park_gas,MVPF,.9342363395296464,,,,99999,,baseline,1,0
park_gas,MVPF_no_cc,.9342363395296464,,,,99999,,baseline,1,0
park_gas,cost,.9731015989544336,,,,99999,.97310162,baseline,1,0
park_gas,WTP,.9091068757976359,,,,99999,.90910685,baseline,1,0
park_gas,program_cost,1,,,,99999,,baseline,1,0
park_gas,total_cost,.9731015989544336,,,,99999,,baseline,1,0
park_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
park_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
park_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
park_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
park_gas,state_fisc_ext,,,,,99999,,baseline,1,0
park_gas,WTP_USPres,.9669749232918246,,,,99999,,baseline,1,0
park_gas,WTP_USFut,-.0077196138782143,,,,99999,,baseline,1,0
park_gas,WTP_RoW,-.0501484336159743,,,,99999,,baseline,1,0
park_gas,WTP_USTotal,,,,,99999,,baseline,1,0
park_gas,enviro_mvpf,,,,,99999,,baseline,1,0
park_gas,cost_mvpf,,,,,99999,,baseline,1,0
park_gas,firm_mvpf,,,,,99999,,baseline,1,0
park_gas,cost_wtp,0,,,,99999,,baseline,1,0
park_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
park_gas,marginal,,,,,99999,,baseline,1,0
park_gas,infmarg,,,,,99999,,baseline,1,0
park_gas,wtp_private,,,,,99999,,baseline,1,0
park_gas,wtp_soc,-.1254101998931873,,,,99999,,baseline,1,0
park_gas,wtp_no_ice,,,,,99999,,baseline,1,0
park_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
park_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
park_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
park_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
park_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
park_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
park_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
park_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
park_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
park_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
park_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
park_gas,wtp_marg,,,,,99999,,baseline,1,0
park_gas,wtp_inf,,,,,99999,,baseline,1,0
park_gas,wtp_glob,,,,,99999,,baseline,1,0
park_gas,wtp_loc,,,,,99999,,baseline,1,0
park_gas,wtp_r_glob,,,,,99999,,baseline,1,0
park_gas,wtp_r_loc,,,,,99999,,baseline,1,0
park_gas,wtp_e_cost,,,,,99999,,baseline,1,0
park_gas,WTP_cc,,,,,99999,,baseline,1,0
park_gas,wtp_install,,,,,99999,,baseline,1,0
park_gas,wtp_prod,.0345170756908233,,,,99999,,baseline,1,0
park_gas,wtp_prod_s,.0345170756908233,,,,99999,,baseline,1,0
park_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
park_gas,wtp_cons,1,,,,99999,,baseline,1,0
park_gas,wtp_deal,,,,,99999,,baseline,1,0
park_gas,admin_cost,,,,,99999,,baseline,1,0
park_gas,wtp_permits,,,,,99999,,baseline,1,0
park_gas,wtp_abatement,,,,,99999,,baseline,1,0
park_gas,permitrev,,,,,99999,,baseline,1,0
park_gas,wtp_no_leak,,,,,99999,,baseline,1,0
park_gas,wtp_leak,,,,,99999,,baseline,1,0
park_gas,wtp_soc_g,-.0578680474941886,,,,99999,,baseline,1,0
park_gas,wtp_soc_l,-.0675421523989987,,,,99999,,baseline,1,0
park_gas,fisc_ext_t,-.0280285107466417,,,,99999,,baseline,1,0
park_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
park_gas,fisc_ext_lr,.0011301097010753,,,,99999,,baseline,1,0
park_gas,q_CO2,-.0004025183764629,,,,99999,,baseline,1,0
park_gas,q_CO2_no,.0004025183764629,,,,99999,,baseline,1,0
park_gas,p_spend,.981146914436995,,,,99999,,baseline,1,0
park_gas,ev_sub_c,,,,,99999,,baseline,1,0
park_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
park_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
park_gas,ev_sub_env,,,,,99999,,baseline,1,0
park_gas,ev_sub_cost,,,,,99999,,baseline,1,0
park_gas,profits_fisc_e,,,,,99999,,baseline,1,0
park_gas,wtp_soc_l_po,-.017791770059876,,,,99999,,baseline,1,0
park_gas,wtp_soc_l_dr,-.0497503823391227,,,,99999,,baseline,1,0
park_gas,gov_carbon,-.0004025183764629,,,,99999,,baseline,1,0
park_gas,resource_ce,-122.2771708606059,,,,99999,,baseline,1,0
park_gas,q_carbon_mck,.0083009830039338,,,,99999,,baseline,1,0
park_gas,semie,-.0484904470075559,,,,99999,,baseline,1,0
park_gas,pass_through,,,,,99999,,baseline,1,0
park_gas,permitrev_new,,,,,99999,,baseline,1,0
park_gas,permitrev_ex,,,,,99999,,baseline,1,0
park_gas,fiscalext,,,,,99999,,baseline,1,0
park_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
park_gas,c_savings,,,,,99999,,baseline,1,0
park_gas,resource_cost,,,,,99999,,baseline,1,0
park_gas,q_CO2_mck,.0083009830039338,,,,99999,,baseline,1,0
park_gas,q_CO2_mck_no,.0083009830039338,,,,99999,,baseline,1,0
park_gas,wtp_ctr,,,,,99999,,baseline,1,0
park_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
park_gas,epsilon,,,,,99999,,baseline,1,0
park_gas,transfer,,,,,99999,,baseline,1,0
park_gas,enviro_wtp,,,,,99999,,baseline,1,0
park_gas,cost_curve,,,,,99999,,baseline,1,0
park_gas,profits,,,,,99999,,baseline,1,0
park_gas,subsidies,,,,,99999,,baseline,1,0
park_gas,taxes,,,,,99999,,baseline,1,0
park_gas,wtp_batt,,,,,99999,,baseline,1,0
park_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
park_gas,wind_g_wf,,,,,99999,,baseline,1,0
park_gas,wind_l_wf,,,,,99999,,baseline,1,0
