program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
pless_ho,MVPF,1.790574349611268,,,,,baseline,1,0
pless_ho,MVPF_no_cc,,,,,,baseline,1,0
pless_ho,cost,12337.03491951562,,,,1.7254595,baseline,1,0
pless_ho,WTP,7458.000201829333,,,,1.043077,baseline,1,0
pless_ho,program_cost,7150,,,,,baseline,1,0
pless_ho,total_cost,,,,,,baseline,1,0
pless_ho,beh_fisc_ext,,,,,,baseline,1,0
pless_ho,utility_fisc_ext,,,,,,baseline,1,0
pless_ho,gas_fisc_ext,,,,,,baseline,1,0
pless_ho,fed_fisc_ext,,,,,,baseline,1,0
pless_ho,state_fisc_ext,,,,,,baseline,1,0
pless_ho,WTP_USPres,5108.929841147784,,,,,baseline,1,0
pless_ho,WTP_USFut,2385.304426855203,,,,,baseline,1,0
pless_ho,WTP_RoW,14596.14400914021,,,,,baseline,1,0
pless_ho,WTP_USTotal,,,,,,baseline,1,0
pless_ho,enviro_mvpf,1.035647697075305,,,,,baseline,1,0
pless_ho,cost_mvpf,1.010838747024536,,,,,baseline,1,0
pless_ho,firm_mvpf,0,,,,,baseline,1,0
pless_ho,cost_wtp,7227.497041225432,,,,,baseline,1,0
pless_ho,env_cost_wtp,7404.881034088428,,,,,baseline,1,0
pless_ho,marginal,,,,,,baseline,1,0
pless_ho,infmarg,,,,,,baseline,1,0
pless_ho,wtp_private,4372.44092431536,,,,,baseline,1,0
pless_ho,wtp_soc,3141.586944415939,,,,,baseline,1,0
pless_ho,wtp_no_ice,,,,,,baseline,1,0
pless_ho,wtp_yes_ev,,,,,,baseline,1,0
pless_ho,wtp_yes_hev,,,,,,baseline,1,0
pless_ho,wtp_soc_rbd,,,,,,baseline,1,0
pless_ho,wtp_yes_ev_local,,,,,,baseline,1,0
pless_ho,wtp_no_ice_local,,,,,,baseline,1,0
pless_ho,env_cost_wtp_l,519.8650056696918,,,,,baseline,1,0
pless_ho,wtp_soc_rbd_l,,,,,,baseline,1,0
pless_ho,wtp_yes_ev_g,,,,,,baseline,1,0
pless_ho,wtp_no_ice_g,,,,,,baseline,1,0
pless_ho,env_cost_wtp_g,6885.016028418737,,,,,baseline,1,0
pless_ho,wtp_soc_rbd_g,,,,,,baseline,1,0
pless_ho,wtp_marg,,,,,,baseline,1,0
pless_ho,wtp_inf,,,,,,baseline,1,0
pless_ho,wtp_glob,4133.098740560057,,,,,baseline,1,0
pless_ho,wtp_loc,269.3878364304672,,,,,baseline,1,0
pless_ho,wtp_r_glob,-809.5336298800094,,,,,baseline,1,0
pless_ho,wtp_r_loc,-52.76392526773448,,,,,baseline,1,0
pless_ho,wtp_e_cost,-454.6297443288068,,,,,baseline,1,0
pless_ho,WTP_cc,22090.37827714319,,,,,baseline,1,0
pless_ho,wtp_install,1587.3,,,,,baseline,1,0
pless_ho,wtp_prod,-2777.559075684641,,,,,baseline,1,0
pless_ho,wtp_prod_s,,,,,,baseline,1,0
pless_ho,wtp_prod_u,,,,,,baseline,1,0
pless_ho,wtp_cons,5562.700000000001,,,,,baseline,1,0
pless_ho,wtp_deal,,,,,,baseline,1,0
pless_ho,admin_cost,,,,,,baseline,1,0
pless_ho,wtp_permits,,,,,,baseline,1,0
pless_ho,wtp_abatement,,,,,,baseline,1,0
pless_ho,permitrev,,,,,,baseline,1,0
pless_ho,wtp_no_leak,,,,,,baseline,1,0
pless_ho,wtp_leak,,,,,,baseline,1,0
pless_ho,wtp_soc_g,,,,,,baseline,1,0
pless_ho,wtp_soc_l,,,,,,baseline,1,0
pless_ho,fisc_ext_t,1508.797522594123,,,,,baseline,1,0
pless_ho,fisc_ext_s,3868.723089326332,,,,,baseline,1,0
pless_ho,fisc_ext_lr,-190.4856924048335,,,,,baseline,1,0
pless_ho,q_CO2,19.97327811225141,,,,,baseline,1,0
pless_ho,q_CO2_no,,,,,,baseline,1,0
pless_ho,p_spend,11018.72308932633,,,,,baseline,1,0
pless_ho,ev_sub_c,,,,,,baseline,1,0
pless_ho,ev_sub_c_row,,,,,,baseline,1,0
pless_ho,ev_sub_c_us,,,,,,baseline,1,0
pless_ho,ev_sub_env,,,,,,baseline,1,0
pless_ho,ev_sub_cost,,,,,,baseline,1,0
pless_ho,profits_fisc_e,,,,,,baseline,1,0
pless_ho,wtp_soc_l_po,,,,,,baseline,1,0
pless_ho,wtp_soc_l_dr,,,,,,baseline,1,0
pless_ho,gov_carbon,.0001521294829213,,,,,baseline,1,0
pless_ho,resource_ce,40.38389642887095,,,,,baseline,1,0
pless_ho,q_carbon_mck,.0005727597414143,,,,,baseline,1,0
pless_ho,semie,-.4319008293799508,,,,,baseline,1,0
pless_ho,pass_through,.778,,,,,baseline,1,0
pless_ho,permitrev_new,,,,,,baseline,1,0
