program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
pless_tpo,MVPF,3.275144772570259,,,,,baseline,1,0
pless_tpo,MVPF_no_cc,,,,,,baseline,1,0
pless_tpo,cost,16796.40361384963,,,,2.3491473,baseline,1,0
pless_tpo,WTP,11555.38679401104,,,,1.616138,baseline,1,0
pless_tpo,program_cost,7150,,,,,baseline,1,0
pless_tpo,total_cost,,,,,,baseline,1,0
pless_tpo,beh_fisc_ext,,,,,,baseline,1,0
pless_tpo,utility_fisc_ext,,,,,,baseline,1,0
pless_tpo,gas_fisc_ext,,,,,,baseline,1,0
pless_tpo,fed_fisc_ext,,,,,,baseline,1,0
pless_tpo,state_fisc_ext,,,,,,baseline,1,0
pless_tpo,WTP_USPres,7632.070509700558,,,,,baseline,1,0
pless_tpo,WTP_USFut,6581.376855949236,,,,,baseline,1,0
pless_tpo,WTP_RoW,40797.20612823003,,,,,baseline,1,0
pless_tpo,WTP_USTotal,,,,,,baseline,1,0
pless_tpo,enviro_mvpf,3.878106665455427,,,,,baseline,1,0
pless_tpo,cost_mvpf,2.1995530128479,,,,,baseline,1,0
pless_tpo,firm_mvpf,0,,,,,baseline,1,0
pless_tpo,cost_wtp,15726.80404186248,,,,,baseline,1,0
pless_tpo,env_cost_wtp,27728.4626580063,,,,,baseline,1,0
pless_tpo,marginal,,,,,,baseline,1,0
pless_tpo,infmarg,,,,,,baseline,1,0
pless_tpo,wtp_private,5242.148369884937,,,,,baseline,1,0
pless_tpo,wtp_soc,6427.874374268858,,,,,baseline,1,0
pless_tpo,wtp_no_ice,,,,,,baseline,1,0
pless_tpo,wtp_yes_ev,,,,,,baseline,1,0
pless_tpo,wtp_yes_hev,,,,,,baseline,1,0
pless_tpo,wtp_soc_rbd,,,,,,baseline,1,0
pless_tpo,wtp_yes_ev_local,,,,,,baseline,1,0
pless_tpo,wtp_no_ice_local,,,,,,baseline,1,0
pless_tpo,env_cost_wtp_l,1946.696689731605,,,,,baseline,1,0
pless_tpo,wtp_soc_rbd_l,,,,,,baseline,1,0
pless_tpo,wtp_yes_ev_g,,,,,,baseline,1,0
pless_tpo,wtp_no_ice_g,,,,,,baseline,1,0
pless_tpo,env_cost_wtp_g,25781.7659682747,,,,,baseline,1,0
pless_tpo,wtp_soc_rbd_g,,,,,,baseline,1,0
pless_tpo,wtp_marg,,,,,,baseline,1,0
pless_tpo,wtp_inf,,,,,,baseline,1,0
pless_tpo,wtp_glob,8456.566681368113,,,,,baseline,1,0
pless_tpo,wtp_loc,551.1835900671074,,,,,baseline,1,0
pless_tpo,wtp_r_glob,-1656.354118692703,,,,,baseline,1,0
pless_tpo,wtp_r_loc,-107.9581399830912,,,,,baseline,1,0
pless_tpo,wtp_e_cost,-930.1995886333282,,,,,baseline,1,0
pless_tpo,WTP_cc,55010.65349387983,,,,,baseline,1,0
pless_tpo,wtp_install,0,,,,,baseline,1,0
pless_tpo,wtp_prod,-5683.051630115064,,,,,baseline,1,0
pless_tpo,wtp_prod_s,,,,,,baseline,1,0
pless_tpo,wtp_prod_u,,,,,,baseline,1,0
pless_tpo,wtp_cons,10925.2,,,,,baseline,1,0
pless_tpo,wtp_deal,,,,,,baseline,1,0
pless_tpo,admin_cost,,,,,,baseline,1,0
pless_tpo,wtp_permits,,,,,,baseline,1,0
pless_tpo,wtp_abatement,,,,,,baseline,1,0
pless_tpo,permitrev,,,,,,baseline,1,0
pless_tpo,wtp_no_leak,,,,,,baseline,1,0
pless_tpo,wtp_leak,,,,,,baseline,1,0
pless_tpo,wtp_soc_g,,,,,,baseline,1,0
pless_tpo,wtp_soc_l,,,,,,baseline,1,0
pless_tpo,fisc_ext_t,3087.089774383485,,,,,baseline,1,0
pless_tpo,fisc_ext_s,7177.443947322213,,,,,baseline,1,0
pless_tpo,fisc_ext_lr,-618.1301078560608,,,,,baseline,1,0
pless_tpo,q_CO2,40.86651899801376,,,,,baseline,1,0
pless_tpo,q_CO2_no,,,,,,baseline,1,0
pless_tpo,p_spend,14327.44394732221,,,,,baseline,1,0
pless_tpo,ev_sub_c,,,,,,baseline,1,0
pless_tpo,ev_sub_c_row,,,,,,baseline,1,0
pless_tpo,ev_sub_c_us,,,,,,baseline,1,0
pless_tpo,ev_sub_env,,,,,,baseline,1,0
pless_tpo,ev_sub_cost,,,,,,baseline,1,0
pless_tpo,profits_fisc_e,,,,,,baseline,1,0
pless_tpo,wtp_soc_l_po,,,,,,baseline,1,0
pless_tpo,wtp_soc_l_dr,,,,,,baseline,1,0
pless_tpo,gov_carbon,.000311266000955,,,,,baseline,1,0
pless_tpo,resource_ce,20.3305103660693,,,,,baseline,1,0
pless_tpo,q_carbon_mck,.0005727597414143,,,,,baseline,1,0
pless_tpo,semie,-.4499441168736891,,,,,baseline,1,0
pless_tpo,pass_through,1.528,,,,,baseline,1,0
pless_tpo,permitrev_new,,,,,,baseline,1,0
pless_tpo,permitrev_ex,,,,,,baseline,1,0
pless_tpo,fiscalext,,,,,,baseline,1,0
pless_tpo,firm_cost_wtp,0,,,,,baseline,1,0
pless_tpo,c_savings,0,,,,,baseline,1,0
pless_tpo,resource_cost,17816.04629879605,,,,,baseline,1,0
pless_tpo,q_CO2_mck,.0005727597414143,,,,,baseline,1,0
pless_tpo,q_CO2_mck_no,,,,,,baseline,1,0
pless_tpo,wtp_ctr,,,,,,baseline,1,0
pless_tpo,gas_corp_fisc_e,,,,,,baseline,1,0
pless_tpo,epsilon,,,,,,baseline,1,0
pless_tpo,transfer,,,,,,baseline,1,0
pless_tpo,enviro_wtp,,,,,,baseline,1,0
pless_tpo,cost_curve,,,,,,baseline,1,0
pless_tpo,profits,,,,,,baseline,1,0
pless_tpo,subsidies,,,,,,baseline,1,0
pless_tpo,taxes,,,,,,baseline,1,0
pless_tpo,wtp_batt,,,,,,baseline,1,0
pless_tpo,wtp_local_w_r,,,,,,baseline,1,0
pless_tpo,wind_g_wf,,,,,,baseline,1,0
pless_tpo,wind_l_wf,,,,,,baseline,1,0
