program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
pless_tpo,MVPF,3.275144772570259,,,,99999,,baseline,1,0
pless_tpo,MVPF_no_cc,,,,,99999,,baseline,1,0
pless_tpo,cost,16796.40361384963,,,,99999,2.3491473,baseline,1,0
pless_tpo,WTP,11555.38679401104,,,,99999,1.616138,baseline,1,0
pless_tpo,program_cost,7150,,,,99999,,baseline,1,0
pless_tpo,total_cost,,,,,99999,,baseline,1,0
pless_tpo,beh_fisc_ext,,,,,99999,,baseline,1,0
pless_tpo,utility_fisc_ext,,,,,99999,,baseline,1,0
pless_tpo,gas_fisc_ext,,,,,99999,,baseline,1,0
pless_tpo,fed_fisc_ext,,,,,99999,,baseline,1,0
pless_tpo,state_fisc_ext,,,,,99999,,baseline,1,0
pless_tpo,WTP_USPres,7632.070509700558,,,,99999,,baseline,1,0
pless_tpo,WTP_USFut,6581.376855949236,,,,99999,,baseline,1,0
pless_tpo,WTP_RoW,40797.20612823003,,,,99999,,baseline,1,0
pless_tpo,WTP_USTotal,,,,,99999,,baseline,1,0
pless_tpo,enviro_mvpf,3.878106665455427,,,,99999,,baseline,1,0
pless_tpo,cost_mvpf,2.1995530128479,,,,99999,,baseline,1,0
pless_tpo,firm_mvpf,0,,,,99999,,baseline,1,0
pless_tpo,cost_wtp,15726.80404186248,,,,99999,,baseline,1,0
pless_tpo,env_cost_wtp,27728.4626580063,,,,99999,,baseline,1,0
pless_tpo,marginal,,,,,99999,,baseline,1,0
pless_tpo,infmarg,,,,,99999,,baseline,1,0
pless_tpo,wtp_private,5242.148369884937,,,,99999,,baseline,1,0
pless_tpo,wtp_soc,6427.874374268858,,,,99999,,baseline,1,0
pless_tpo,wtp_no_ice,,,,,99999,,baseline,1,0
pless_tpo,wtp_yes_ev,,,,,99999,,baseline,1,0
pless_tpo,wtp_yes_hev,,,,,99999,,baseline,1,0
pless_tpo,wtp_soc_rbd,,,,,99999,,baseline,1,0
pless_tpo,wtp_yes_ev_local,,,,,99999,,baseline,1,0
pless_tpo,wtp_no_ice_local,,,,,99999,,baseline,1,0
pless_tpo,env_cost_wtp_l,1946.696689731605,,,,99999,,baseline,1,0
pless_tpo,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
pless_tpo,wtp_yes_ev_g,,,,,99999,,baseline,1,0
pless_tpo,wtp_no_ice_g,,,,,99999,,baseline,1,0
pless_tpo,env_cost_wtp_g,25781.7659682747,,,,99999,,baseline,1,0
pless_tpo,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
pless_tpo,wtp_marg,,,,,99999,,baseline,1,0
pless_tpo,wtp_inf,,,,,99999,,baseline,1,0
pless_tpo,wtp_glob,8456.566681368113,,,,99999,,baseline,1,0
pless_tpo,wtp_loc,551.1835900671074,,,,99999,,baseline,1,0
pless_tpo,wtp_r_glob,-1656.354118692703,,,,99999,,baseline,1,0
pless_tpo,wtp_r_loc,-107.9581399830912,,,,99999,,baseline,1,0
pless_tpo,wtp_e_cost,-930.1995886333282,,,,99999,,baseline,1,0
pless_tpo,WTP_cc,55010.65349387983,,,,99999,,baseline,1,0
pless_tpo,wtp_install,0,,,,99999,,baseline,1,0
pless_tpo,wtp_prod,-5683.051630115064,,,,99999,,baseline,1,0
pless_tpo,wtp_prod_s,,,,,99999,,baseline,1,0
pless_tpo,wtp_prod_u,,,,,99999,,baseline,1,0
pless_tpo,wtp_cons,10925.2,,,,99999,,baseline,1,0
pless_tpo,wtp_deal,,,,,99999,,baseline,1,0
pless_tpo,admin_cost,,,,,99999,,baseline,1,0
