program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
rebate_es,MVPF,.9984370690913992,,,,,baseline,1,0
rebate_es,MVPF_no_cc,,,,,,baseline,1,0
rebate_es,cost,110.0936285107032,,,,1.1009363,baseline,1,0
rebate_es,WTP,109.9215597758638,,,,1.0992156,baseline,1,0
rebate_es,program_cost,100,,,,,baseline,1,0
rebate_es,total_cost,110.0936285107032,,,,,baseline,1,0
rebate_es,beh_fisc_ext,,,,,,baseline,1,0
rebate_es,utility_fisc_ext,,,,,,baseline,1,0
rebate_es,gas_fisc_ext,,,,,,baseline,1,0
rebate_es,fed_fisc_ext,,,,,,baseline,1,0
rebate_es,state_fisc_ext,,,,,,baseline,1,0
rebate_es,WTP_USPres,-16.19411395056031,,,,,baseline,1,0
rebate_es,WTP_USFut,16.82386649137627,,,,,baseline,1,0
rebate_es,WTP_RoW,109.2918072350478,,,,,baseline,1,0
rebate_es,WTP_USTotal,,,,,,baseline,1,0
rebate_es,enviro_mvpf,,,,,,baseline,1,0
rebate_es,cost_mvpf,,,,,,baseline,1,0
rebate_es,firm_mvpf,,,,,,baseline,1,0
rebate_es,cost_wtp,,,,,,baseline,1,0
rebate_es,env_cost_wtp,,,,,,baseline,1,0
rebate_es,marginal,,,,,,baseline,1,0
rebate_es,infmarg,,,,,,baseline,1,0
rebate_es,wtp_private,,,,,,baseline,1,0
rebate_es,wtp_soc,128.5785967471151,,,,,baseline,1,0
rebate_es,wtp_no_ice,,,,,,baseline,1,0
rebate_es,wtp_yes_ev,,,,,,baseline,1,0
rebate_es,wtp_yes_hev,,,,,,baseline,1,0
rebate_es,wtp_soc_rbd,,,,,,baseline,1,0
rebate_es,wtp_yes_ev_local,,,,,,baseline,1,0
rebate_es,wtp_no_ice_local,,,,,,baseline,1,0
rebate_es,env_cost_wtp_l,,,,,,baseline,1,0
rebate_es,wtp_soc_rbd_l,,,,,,baseline,1,0
rebate_es,wtp_yes_ev_g,,,,,,baseline,1,0
rebate_es,wtp_no_ice_g,,,,,,baseline,1,0
rebate_es,env_cost_wtp_g,,,,,,baseline,1,0
rebate_es,wtp_soc_rbd_g,,,,,,baseline,1,0
rebate_es,wtp_marg,40.21739130434783,,,,,baseline,1,0
rebate_es,wtp_inf,19.56521739130435,,,,,baseline,1,0
rebate_es,wtp_glob,142.9310968899473,,,,,baseline,1,0
rebate_es,wtp_loc,0,,,,,baseline,1,0
rebate_es,wtp_r_glob,-16.81542316352321,,,,,baseline,1,0
rebate_es,wtp_r_loc,0,,,,,baseline,1,0
rebate_es,wtp_e_cost,,,,,,baseline,1,0
rebate_es,WTP_cc,,,,,,baseline,1,0
rebate_es,wtp_install,,,,,,baseline,1,0
rebate_es,wtp_prod,-75.97672264621249,,,,,baseline,1,0
rebate_es,wtp_prod_s,,,,,,baseline,1,0
rebate_es,wtp_prod_u,,,,,,baseline,1,0
rebate_es,wtp_cons,,,,,,baseline,1,0
rebate_es,wtp_deal,,,,,,baseline,1,0
rebate_es,admin_cost,,,,,,baseline,1,0
rebate_es,wtp_permits,,,,,,baseline,1,0
rebate_es,wtp_abatement,,,,,,baseline,1,0
rebate_es,permitrev,,,,,,baseline,1,0
rebate_es,wtp_no_leak,,,,,,baseline,1,0
rebate_es,wtp_leak,,,,,,baseline,1,0
rebate_es,wtp_soc_g,,,,,,baseline,1,0
rebate_es,wtp_soc_l,,,,,,baseline,1,0
rebate_es,fisc_ext_t,12.88494126748634,,,,,baseline,1,0
rebate_es,fisc_ext_s,0,,,,,baseline,1,0
rebate_es,fisc_ext_lr,-2.791312756783121,,,,,baseline,1,0
rebate_es,q_CO2,.9096910889542223,,,,,baseline,1,0
rebate_es,q_CO2_no,,,,,,baseline,1,0
rebate_es,p_spend,100,,,,,baseline,1,0
rebate_es,ev_sub_c,,,,,,baseline,1,0
rebate_es,ev_sub_c_row,,,,,,baseline,1,0
rebate_es,ev_sub_c_us,,,,,,baseline,1,0
rebate_es,ev_sub_env,,,,,,baseline,1,0
rebate_es,ev_sub_cost,,,,,,baseline,1,0
rebate_es,profits_fisc_e,,,,,,baseline,1,0
rebate_es,wtp_soc_l_po,,,,,,baseline,1,0
rebate_es,wtp_soc_l_dr,,,,,,baseline,1,0
rebate_es,gov_carbon,.9354883389052218,,,,,baseline,1,0
rebate_es,resource_ce,208.5133085039166,,,,,baseline,1,0
rebate_es,q_carbon_mck,1.446325606996176,,,,,baseline,1,0
rebate_es,semie,,,,,,baseline,1,0
rebate_es,pass_through,,,,,,baseline,1,0
rebate_es,permitrev_new,,,,,,baseline,1,0
rebate_es,permitrev_ex,,,,,,baseline,1,0
rebate_es,fiscalext,,,,,,baseline,1,0
rebate_es,firm_cost_wtp,,,,,,baseline,1,0
rebate_es,c_savings,0,,,,,baseline,1,0
rebate_es,resource_cost,,,,,,baseline,1,0
rebate_es,q_CO2_mck,,,,,,baseline,1,0
rebate_es,q_CO2_mck_no,,,,,,baseline,1,0
rebate_es,wtp_ctr,,,,,,baseline,1,0
rebate_es,gas_corp_fisc_e,,,,,,baseline,1,0
rebate_es,epsilon,,,,,,baseline,1,0
rebate_es,transfer,,,,,,baseline,1,0
rebate_es,enviro_wtp,,,,,,baseline,1,0
rebate_es,cost_curve,,,,,,baseline,1,0
rebate_es,profits,,,,,,baseline,1,0
rebate_es,subsidies,,,,,,baseline,1,0
rebate_es,taxes,,,,,,baseline,1,0
rebate_es,wtp_batt,,,,,,baseline,1,0
rebate_es,wtp_local_w_r,,,,,,baseline,1,0
rebate_es,wind_g_wf,,,,,,baseline,1,0
rebate_es,wind_l_wf,,,,,,baseline,1,0
