program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
retrofit_res,MVPF,1.329290302733021,,,,,baseline,1,0
retrofit_res,MVPF_no_cc,,,,,,baseline,1,0
retrofit_res,cost,98223.18067118841,,,,1.0089337,baseline,1,0
retrofit_res,WTP,130567.1215698043,,,,1.3411658,baseline,1,0
retrofit_res,program_cost,97353.45811325937,,,,,baseline,1,0
retrofit_res,total_cost,98223.18067118841,,,,,baseline,1,0
retrofit_res,beh_fisc_ext,,,,,,baseline,1,0
retrofit_res,utility_fisc_ext,,,,,,baseline,1,0
retrofit_res,gas_fisc_ext,,,,,,baseline,1,0
retrofit_res,fed_fisc_ext,,,,,,baseline,1,0
retrofit_res,state_fisc_ext,,,,,,baseline,1,0
retrofit_res,WTP_USPres,77821.61373856089,,,,,baseline,1,0
retrofit_res,WTP_USFut,7036.265640523269,,,,,baseline,1,0
retrofit_res,WTP_RoW,45709.24219072016,,,,,baseline,1,0
retrofit_res,WTP_USTotal,,,,,,baseline,1,0
retrofit_res,enviro_mvpf,,,,,,baseline,1,0
retrofit_res,cost_mvpf,,,,,,baseline,1,0
retrofit_res,firm_mvpf,,,,,,baseline,1,0
retrofit_res,cost_wtp,,,,,,baseline,1,0
retrofit_res,env_cost_wtp,,,,,,baseline,1,0
retrofit_res,marginal,,,,,,baseline,1,0
retrofit_res,infmarg,,,,,,baseline,1,0
retrofit_res,wtp_private,,,,,,baseline,1,0
retrofit_res,wtp_soc,62079.44683202074,,,,,baseline,1,0
retrofit_res,wtp_no_ice,,,,,,baseline,1,0
retrofit_res,wtp_yes_ev,,,,,,baseline,1,0
retrofit_res,wtp_yes_hev,,,,,,baseline,1,0
retrofit_res,wtp_soc_rbd,,,,,,baseline,1,0
retrofit_res,wtp_yes_ev_local,,,,,,baseline,1,0
retrofit_res,wtp_no_ice_local,,,,,,baseline,1,0
retrofit_res,env_cost_wtp_l,,,,,,baseline,1,0
retrofit_res,wtp_soc_rbd_l,,,,,,baseline,1,0
retrofit_res,wtp_yes_ev_g,,,,,,baseline,1,0
retrofit_res,wtp_no_ice_g,,,,,,baseline,1,0
retrofit_res,env_cost_wtp_g,,,,,,baseline,1,0
retrofit_res,wtp_soc_rbd_g,,,,,,baseline,1,0
retrofit_res,wtp_marg,24338.36452831484,,,,,baseline,1,0
retrofit_res,wtp_inf,48676.72905662969,,,,,baseline,1,0
retrofit_res,wtp_glob,65592.93551583424,,,,,baseline,1,0
retrofit_res,wtp_loc,10326.47303042578,,,,,baseline,1,0
retrofit_res,wtp_r_glob,-12847.42768459081,,,,,baseline,1,0
retrofit_res,wtp_r_loc,-2022.605246311108,,,,,baseline,1,0
retrofit_res,wtp_e_cost,,,,,,baseline,1,0
retrofit_res,WTP_cc,,,,,,baseline,1,0
retrofit_res,wtp_install,,,,,,baseline,1,0
retrofit_res,wtp_prod,-3497.347630498309,,,,,baseline,1,0
retrofit_res,wtp_prod_s,,,,,,baseline,1,0
retrofit_res,wtp_prod_u,,,,,,baseline,1,0
retrofit_res,wtp_cons,,,,,,baseline,1,0
retrofit_res,wtp_deal,,,,,,baseline,1,0
retrofit_res,admin_cost,,,,,,baseline,1,0
retrofit_res,wtp_permits,,,,,,baseline,1,0
retrofit_res,wtp_abatement,,,,,,baseline,1,0
retrofit_res,permitrev,,,,,,baseline,1,0
retrofit_res,wtp_no_leak,,,,,,baseline,1,0
retrofit_res,wtp_leak,,,,,,baseline,1,0
retrofit_res,wtp_soc_g,,,,,,baseline,1,0
retrofit_res,wtp_soc_l,,,,,,baseline,1,0
retrofit_res,fisc_ext_t,1899.793774591687,,,,,baseline,1,0
retrofit_res,fisc_ext_s,0,,,,,baseline,1,0
retrofit_res,fisc_ext_lr,-1030.071216662641,,,,,baseline,1,0
retrofit_res,q_CO2,420.9556952413374,,,,,baseline,1,0
retrofit_res,q_CO2_no,,,,,,baseline,1,0
retrofit_res,p_spend,97353.45811325937,,,,,baseline,1,0
retrofit_res,ev_sub_c,,,,,,baseline,1,0
retrofit_res,ev_sub_c_row,,,,,,baseline,1,0
retrofit_res,ev_sub_c_us,,,,,,baseline,1,0
retrofit_res,ev_sub_env,,,,,,baseline,1,0
retrofit_res,ev_sub_cost,,,,,,baseline,1,0
retrofit_res,profits_fisc_e,,,,,,baseline,1,0
retrofit_res,wtp_soc_l_po,,,,,,baseline,1,0
retrofit_res,wtp_soc_l_dr,,,,,,baseline,1,0
retrofit_res,gov_carbon,523.489504761818,,,,,baseline,1,0
retrofit_res,resource_ce,49.15343076220041,,,,,baseline,1,0
retrofit_res,q_carbon_mck,1046.979009523636,,,,,baseline,1,0
retrofit_res,semie,,,,,,baseline,1,0
retrofit_res,pass_through,,,,,,baseline,1,0
retrofit_res,permitrev_new,,,,,,baseline,1,0
retrofit_res,permitrev_ex,,,,,,baseline,1,0
retrofit_res,fiscalext,,,,,,baseline,1,0
retrofit_res,firm_cost_wtp,,,,,,baseline,1,0
retrofit_res,c_savings,0,,,,,baseline,1,0
retrofit_res,resource_cost,,,,,,baseline,1,0
retrofit_res,q_CO2_mck,,,,,,baseline,1,0
retrofit_res,q_CO2_mck_no,,,,,,baseline,1,0
retrofit_res,wtp_ctr,,,,,,baseline,1,0
retrofit_res,gas_corp_fisc_e,,,,,,baseline,1,0
retrofit_res,epsilon,,,,,,baseline,1,0
retrofit_res,transfer,,,,,,baseline,1,0
retrofit_res,enviro_wtp,,,,,,baseline,1,0
retrofit_res,cost_curve,,,,,,baseline,1,0
retrofit_res,profits,,,,,,baseline,1,0
retrofit_res,subsidies,,,,,,baseline,1,0
retrofit_res,taxes,,,,,,baseline,1,0
retrofit_res,wtp_batt,,,,,,baseline,1,0
retrofit_res,wtp_local_w_r,,,,,,baseline,1,0
retrofit_res,wind_g_wf,,,,,,baseline,1,0
retrofit_res,wind_l_wf,,,,,,baseline,1,0
