program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
rggi,MVPF,-.5485113827638322,,,,,baseline,1,0
rggi,MVPF_no_cc,,,,,,baseline,1,0
rggi,cost,116.5586517024503,,,,.98380119,baseline,1,0
rggi,WTP,-63.93374721839891,,,,-.53962612,baseline,1,0
rggi,program_cost,118.4778559130594,,,,,baseline,1,0
rggi,total_cost,,,,,,baseline,1,0
rggi,beh_fisc_ext,,,,,,baseline,1,0
rggi,utility_fisc_ext,,,,,,baseline,1,0
rggi,gas_fisc_ext,,,,,,baseline,1,0
rggi,fed_fisc_ext,,,,,,baseline,1,0
rggi,state_fisc_ext,,,,,,baseline,1,0
rggi,WTP_USPres,1.267678791128802,,,,,baseline,1,0
rggi,WTP_USFut,-8.697888643176702,,,,,baseline,1,0
rggi,WTP_RoW,-56.503537366351,,,,,baseline,1,0
rggi,WTP_USTotal,,,,,,baseline,1,0
rggi,enviro_mvpf,,,,,,baseline,1,0
rggi,cost_mvpf,,,,,,baseline,1,0
rggi,firm_mvpf,,,,,,baseline,1,0
rggi,cost_wtp,,,,,,baseline,1,0
rggi,env_cost_wtp,,,,,,baseline,1,0
rggi,marginal,,,,,,baseline,1,0
rggi,infmarg,,,,,,baseline,1,0
rggi,wtp_private,,,,,,baseline,1,0
rggi,wtp_soc,-182.4116031314583,,,,,baseline,1,0
rggi,wtp_no_ice,,,,,,baseline,1,0
rggi,wtp_yes_ev,,,,,,baseline,1,0
rggi,wtp_yes_hev,,,,,,baseline,1,0
rggi,wtp_soc_rbd,,,,,,baseline,1,0
rggi,wtp_yes_ev_local,,,,,,baseline,1,0
rggi,wtp_no_ice_local,,,,,,baseline,1,0
rggi,env_cost_wtp_l,,,,,,baseline,1,0
rggi,wtp_soc_rbd_l,,,,,,baseline,1,0
rggi,wtp_yes_ev_g,,,,,,baseline,1,0
rggi,wtp_no_ice_g,,,,,,baseline,1,0
rggi,env_cost_wtp_g,,,,,,baseline,1,0
rggi,wtp_soc_rbd_g,,,,,,baseline,1,0
rggi,wtp_marg,,,,,,baseline,1,0
rggi,wtp_inf,,,,,,baseline,1,0
rggi,wtp_glob,,,,,,baseline,1,0
rggi,wtp_loc,,,,,,baseline,1,0
rggi,wtp_r_glob,,,,,,baseline,1,0
rggi,wtp_r_loc,,,,,,baseline,1,0
rggi,wtp_e_cost,,,,,,baseline,1,0
rggi,WTP_cc,,,,,,baseline,1,0
rggi,wtp_install,,,,,,baseline,1,0
rggi,wtp_prod,,,,,,baseline,1,0
rggi,wtp_prod_s,,,,,,baseline,1,0
rggi,wtp_prod_u,,,,,,baseline,1,0
rggi,wtp_cons,,,,,,baseline,1,0
rggi,wtp_deal,,,,,,baseline,1,0
rggi,admin_cost,,,,,,baseline,1,0
rggi,wtp_permits,118.4778559130594,,,,,baseline,1,0
rggi,wtp_abatement,0,,,,,baseline,1,0
rggi,permitrev,,,,,,baseline,1,0
rggi,wtp_no_leak,-373.3074696517842,,,,,baseline,1,0
rggi,wtp_leak,190.8958665203259,,,,,baseline,1,0
rggi,wtp_soc_g,-65.20142600952771,,,,,baseline,1,0
rggi,wtp_soc_l,-117.2101771219306,,,,,baseline,1,0
rggi,fisc_ext_t,-3.192528043847263,,,,,baseline,1,0
rggi,fisc_ext_s,,,,,,baseline,1,0
rggi,fisc_ext_lr,1.27332383323818,,,,,baseline,1,0
rggi,q_CO2,,,,,,baseline,1,0
rggi,q_CO2_no,,,,,,baseline,1,0
rggi,p_spend,,,,,,baseline,1,0
rggi,ev_sub_c,,,,,,baseline,1,0
rggi,ev_sub_c_row,,,,,,baseline,1,0
rggi,ev_sub_c_us,,,,,,baseline,1,0
rggi,ev_sub_env,,,,,,baseline,1,0
rggi,ev_sub_cost,,,,,,baseline,1,0
rggi,profits_fisc_e,,,,,,baseline,1,0
rggi,wtp_soc_l_po,,,,,,baseline,1,0
rggi,wtp_soc_l_dr,,,,,,baseline,1,0
rggi,gov_carbon,-21994161.31230713,,,,,baseline,1,0
rggi,resource_ce,,,,,,baseline,1,0
rggi,q_carbon_mck,,,,,,baseline,1,0
rggi,semie,-118.4778559130594,,,,,baseline,1,0
rggi,pass_through,,,,,,baseline,1,0
rggi,permitrev_new,,,,,,baseline,1,0
rggi,permitrev_ex,,,,,,baseline,1,0
rggi,fiscalext,,,,,,baseline,1,0
rggi,firm_cost_wtp,,,,,,baseline,1,0
rggi,c_savings,,,,,,baseline,1,0
rggi,resource_cost,,,,,,baseline,1,0
rggi,q_CO2_mck,,,,,,baseline,1,0
rggi,q_CO2_mck_no,,,,,,baseline,1,0
rggi,wtp_ctr,,,,,,baseline,1,0
rggi,gas_corp_fisc_e,,,,,,baseline,1,0
rggi,epsilon,,,,,,baseline,1,0
rggi,transfer,,,,,,baseline,1,0
rggi,enviro_wtp,,,,,,baseline,1,0
rggi,cost_curve,,,,,,baseline,1,0
rggi,profits,,,,,,baseline,1,0
rggi,subsidies,,,,,,baseline,1,0
rggi,taxes,,,,,,baseline,1,0
rggi,wtp_batt,,,,,,baseline,1,0
rggi,wtp_local_w_r,,,,,,baseline,1,0
rggi,wind_g_wf,,,,,,baseline,1,0
rggi,wind_l_wf,,,,,,baseline,1,0
