program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
rggi,MVPF,-.5485113827638322,,,,99999,,baseline,1,0
rggi,MVPF_no_cc,,,,,99999,,baseline,1,0
rggi,cost,116.5586517024503,,,,99999,.98380119,baseline,1,0
rggi,WTP,-63.93374721839891,,,,99999,-.53962612,baseline,1,0
rggi,program_cost,118.4778559130594,,,,99999,,baseline,1,0
rggi,total_cost,,,,,99999,,baseline,1,0
rggi,beh_fisc_ext,,,,,99999,,baseline,1,0
rggi,utility_fisc_ext,,,,,99999,,baseline,1,0
rggi,gas_fisc_ext,,,,,99999,,baseline,1,0
rggi,fed_fisc_ext,,,,,99999,,baseline,1,0
rggi,state_fisc_ext,,,,,99999,,baseline,1,0
rggi,WTP_USPres,1.267678791128802,,,,99999,,baseline,1,0
rggi,WTP_USFut,-8.697888643176702,,,,99999,,baseline,1,0
rggi,WTP_RoW,-56.503537366351,,,,99999,,baseline,1,0
rggi,WTP_USTotal,,,,,99999,,baseline,1,0
rggi,enviro_mvpf,,,,,99999,,baseline,1,0
rggi,cost_mvpf,,,,,99999,,baseline,1,0
rggi,firm_mvpf,,,,,99999,,baseline,1,0
rggi,cost_wtp,,,,,99999,,baseline,1,0
rggi,env_cost_wtp,,,,,99999,,baseline,1,0
rggi,marginal,,,,,99999,,baseline,1,0
rggi,infmarg,,,,,99999,,baseline,1,0
rggi,wtp_private,,,,,99999,,baseline,1,0
rggi,wtp_soc,-182.4116031314583,,,,99999,,baseline,1,0
rggi,wtp_no_ice,,,,,99999,,baseline,1,0
rggi,wtp_yes_ev,,,,,99999,,baseline,1,0
rggi,wtp_yes_hev,,,,,99999,,baseline,1,0
rggi,wtp_soc_rbd,,,,,99999,,baseline,1,0
rggi,wtp_yes_ev_local,,,,,99999,,baseline,1,0
rggi,wtp_no_ice_local,,,,,99999,,baseline,1,0
rggi,env_cost_wtp_l,,,,,99999,,baseline,1,0
rggi,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
rggi,wtp_yes_ev_g,,,,,99999,,baseline,1,0
rggi,wtp_no_ice_g,,,,,99999,,baseline,1,0
rggi,env_cost_wtp_g,,,,,99999,,baseline,1,0
rggi,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
rggi,wtp_marg,,,,,99999,,baseline,1,0
rggi,wtp_inf,,,,,99999,,baseline,1,0
rggi,wtp_glob,,,,,99999,,baseline,1,0
rggi,wtp_loc,,,,,99999,,baseline,1,0
rggi,wtp_r_glob,,,,,99999,,baseline,1,0
rggi,wtp_r_loc,,,,,99999,,baseline,1,0
rggi,wtp_e_cost,,,,,99999,,baseline,1,0
rggi,WTP_cc,,,,,99999,,baseline,1,0
rggi,wtp_install,,,,,99999,,baseline,1,0
rggi,wtp_prod,,,,,99999,,baseline,1,0
rggi,wtp_prod_s,,,,,99999,,baseline,1,0
rggi,wtp_prod_u,,,,,99999,,baseline,1,0
rggi,wtp_cons,,,,,99999,,baseline,1,0
rggi,wtp_deal,,,,,99999,,baseline,1,0
rggi,admin_cost,,,,,99999,,baseline,1,0
rggi,wtp_permits,118.4778559130594,,,,99999,,baseline,1,0
rggi,wtp_abatement,0,,,,99999,,baseline,1,0
rggi,permitrev,,,,,99999,,baseline,1,0
rggi,wtp_no_leak,-373.3074696517842,,,,99999,,baseline,1,0
rggi,wtp_leak,190.8958665203259,,,,99999,,baseline,1,0
rggi,wtp_soc_g,-65.20142600952771,,,,99999,,baseline,1,0
rggi,wtp_soc_l,-117.2101771219306,,,,99999,,baseline,1,0
rggi,fisc_ext_t,-3.192528043847263,,,,99999,,baseline,1,0
rggi,fisc_ext_s,,,,,99999,,baseline,1,0
rggi,fisc_ext_lr,1.27332383323818,,,,99999,,baseline,1,0
rggi,q_CO2,,,,,99999,,baseline,1,0
rggi,q_CO2_no,,,,,99999,,baseline,1,0
rggi,p_spend,,,,,99999,,baseline,1,0
rggi,ev_sub_c,,,,,99999,,baseline,1,0
rggi,ev_sub_c_row,,,,,99999,,baseline,1,0
rggi,ev_sub_c_us,,,,,99999,,baseline,1,0
rggi,ev_sub_env,,,,,99999,,baseline,1,0
rggi,ev_sub_cost,,,,,99999,,baseline,1,0
rggi,profits_fisc_e,,,,,99999,,baseline,1,0
rggi,wtp_soc_l_po,,,,,99999,,baseline,1,0
rggi,wtp_soc_l_dr,,,,,99999,,baseline,1,0
rggi,gov_carbon,-21994161.31230713,,,,99999,,baseline,1,0
rggi,resource_ce,,,,,99999,,baseline,1,0
rggi,q_carbon_mck,,,,,99999,,baseline,1,0
rggi,semie,-118.4778559130594,,,,99999,,baseline,1,0
rggi,pass_through,,,,,99999,,baseline,1,0
rggi,permitrev_new,,,,,99999,,baseline,1,0
rggi,permitrev_ex,,,,,99999,,baseline,1,0
rggi,fiscalext,,,,,99999,,baseline,1,0
rggi,firm_cost_wtp,,,,,99999,,baseline,1,0
rggi,c_savings,,,,,99999,,baseline,1,0
rggi,resource_cost,,,,,99999,,baseline,1,0
rggi,q_CO2_mck,,,,,99999,,baseline,1,0
rggi,q_CO2_mck_no,,,,,99999,,baseline,1,0
rggi,wtp_ctr,,,,,99999,,baseline,1,0
rggi,gas_corp_fisc_e,,,,,99999,,baseline,1,0
rggi,epsilon,,,,,99999,,baseline,1,0
rggi,transfer,,,,,99999,,baseline,1,0
rggi,enviro_wtp,,,,,99999,,baseline,1,0
rggi,cost_curve,,,,,99999,,baseline,1,0
rggi,profits,,,,,99999,,baseline,1,0
rggi,subsidies,,,,,99999,,baseline,1,0
rggi,taxes,,,,,99999,,baseline,1,0
rggi,wtp_batt,,,,,99999,,baseline,1,0
rggi,wtp_local_w_r,,,,,99999,,baseline,1,0
rggi,wind_g_wf,,,,,99999,,baseline,1,0
rggi,wind_l_wf,,,,,99999,,baseline,1,0
