program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
rice_in_st,MVPF,10.74908310373236,,,,99999,,baseline,1,0
rice_in_st,MVPF_no_cc,,,,,99999,,baseline,1,0
rice_in_st,cost,59.94341724734398,,,,99999,.84127408,baseline,1,0
rice_in_st,WTP,644.3367735134042,,,,99999,9.0429249,baseline,1,0
rice_in_st,program_cost,71.25313756713719,,,,99999,,baseline,1,0
rice_in_st,total_cost,59.94341724734398,,,,99999,,baseline,1,0
rice_in_st,beh_fisc_ext,,,,,99999,,baseline,1,0
rice_in_st,utility_fisc_ext,,,,,99999,,baseline,1,0
rice_in_st,gas_fisc_ext,,,,,99999,,baseline,1,0
rice_in_st,fed_fisc_ext,,,,,99999,,baseline,1,0
rice_in_st,state_fisc_ext,,,,,99999,,baseline,1,0
rice_in_st,WTP_USPres,0,,,,99999,,baseline,1,0
rice_in_st,WTP_USFut,77.25504334342688,,,,99999,,baseline,1,0
rice_in_st,WTP_RoW,567.0817301699773,,,,99999,,baseline,1,0
rice_in_st,WTP_USTotal,,,,,99999,,baseline,1,0
rice_in_st,enviro_mvpf,,,,,99999,,baseline,1,0
rice_in_st,cost_mvpf,,,,,99999,,baseline,1,0
rice_in_st,firm_mvpf,,,,,99999,,baseline,1,0
rice_in_st,cost_wtp,,,,,99999,,baseline,1,0
rice_in_st,env_cost_wtp,,,,,99999,,baseline,1,0
rice_in_st,marginal,,,,,99999,,baseline,1,0
rice_in_st,infmarg,,,,,99999,,baseline,1,0
rice_in_st,wtp_private,,,,,99999,,baseline,1,0
rice_in_st,wtp_soc,,,,,99999,,baseline,1,0
rice_in_st,wtp_no_ice,,,,,99999,,baseline,1,0
rice_in_st,wtp_yes_ev,,,,,99999,,baseline,1,0
rice_in_st,wtp_yes_hev,,,,,99999,,baseline,1,0
rice_in_st,wtp_soc_rbd,,,,,99999,,baseline,1,0
rice_in_st,wtp_yes_ev_local,,,,,99999,,baseline,1,0
rice_in_st,wtp_no_ice_local,,,,,99999,,baseline,1,0
rice_in_st,env_cost_wtp_l,,,,,99999,,baseline,1,0
rice_in_st,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
rice_in_st,wtp_yes_ev_g,,,,,99999,,baseline,1,0
rice_in_st,wtp_no_ice_g,,,,,99999,,baseline,1,0
rice_in_st,env_cost_wtp_g,,,,,99999,,baseline,1,0
rice_in_st,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
rice_in_st,wtp_marg,6.038401488740439,,,,99999,,baseline,1,0
rice_in_st,wtp_inf,59.1763345896563,,,,99999,,baseline,1,0
rice_in_st,wtp_glob,579.1220374350074,,,,99999,,baseline,1,0
rice_in_st,wtp_loc,0,,,,99999,,baseline,1,0
rice_in_st,wtp_r_glob,,,,,99999,,baseline,1,0
rice_in_st,wtp_r_loc,,,,,99999,,baseline,1,0
rice_in_st,wtp_e_cost,,,,,99999,,baseline,1,0
rice_in_st,WTP_cc,,,,,99999,,baseline,1,0
rice_in_st,wtp_install,,,,,99999,,baseline,1,0
rice_in_st,wtp_prod,,,,,99999,,baseline,1,0
rice_in_st,wtp_prod_s,,,,,99999,,baseline,1,0
rice_in_st,wtp_prod_u,,,,,99999,,baseline,1,0
rice_in_st,wtp_cons,65.21473607839674,,,,99999,,baseline,1,0
rice_in_st,wtp_deal,,,,,99999,,baseline,1,0
