program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
rice_in_up,MVPF,14.66146922090434,,,,99999,,baseline,1,0
rice_in_up,MVPF_no_cc,,,,,99999,,baseline,1,0
rice_in_up,cost,43.10807585935896,,,,99999,.79216874,baseline,1,0
rice_in_up,WTP,632.0277273844009,,,,99999,11.614357,baseline,1,0
rice_in_up,program_cost,54.41779617915216,,,,99999,,baseline,1,0
rice_in_up,total_cost,43.10807585935896,,,,99999,,baseline,1,0
rice_in_up,beh_fisc_ext,,,,,99999,,baseline,1,0
rice_in_up,utility_fisc_ext,,,,,99999,,baseline,1,0
rice_in_up,gas_fisc_ext,,,,,99999,,baseline,1,0
rice_in_up,fed_fisc_ext,,,,,99999,,baseline,1,0
rice_in_up,state_fisc_ext,,,,,99999,,baseline,1,0
rice_in_up,WTP_USPres,0,,,,99999,,baseline,1,0
rice_in_up,WTP_USFut,77.25504334342688,,,,99999,,baseline,1,0
rice_in_up,WTP_RoW,554.772684040974,,,,99999,,baseline,1,0
rice_in_up,WTP_USTotal,,,,,99999,,baseline,1,0
rice_in_up,enviro_mvpf,,,,,99999,,baseline,1,0
rice_in_up,cost_mvpf,,,,,99999,,baseline,1,0
rice_in_up,firm_mvpf,,,,,99999,,baseline,1,0
rice_in_up,cost_wtp,,,,,99999,,baseline,1,0
rice_in_up,env_cost_wtp,,,,,99999,,baseline,1,0
rice_in_up,marginal,,,,,99999,,baseline,1,0
rice_in_up,infmarg,,,,,99999,,baseline,1,0
rice_in_up,wtp_private,,,,,99999,,baseline,1,0
rice_in_up,wtp_soc,,,,,99999,,baseline,1,0
rice_in_up,wtp_no_ice,,,,,99999,,baseline,1,0
rice_in_up,wtp_yes_ev,,,,,99999,,baseline,1,0
rice_in_up,wtp_yes_hev,,,,,99999,,baseline,1,0
rice_in_up,wtp_soc_rbd,,,,,99999,,baseline,1,0
rice_in_up,wtp_yes_ev_local,,,,,99999,,baseline,1,0
rice_in_up,wtp_no_ice_local,,,,,99999,,baseline,1,0
rice_in_up,env_cost_wtp_l,,,,,99999,,baseline,1,0
rice_in_up,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
rice_in_up,wtp_yes_ev_g,,,,,99999,,baseline,1,0
rice_in_up,wtp_no_ice_g,,,,,99999,,baseline,1,0
rice_in_up,env_cost_wtp_g,,,,,99999,,baseline,1,0
rice_in_up,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
rice_in_up,wtp_marg,1.512106229758624,,,,99999,,baseline,1,0
rice_in_up,wtp_inf,51.39358371963491,,,,99999,,baseline,1,0
rice_in_up,wtp_glob,579.1220374350074,,,,99999,,baseline,1,0
rice_in_up,wtp_loc,0,,,,99999,,baseline,1,0
rice_in_up,wtp_r_glob,,,,,99999,,baseline,1,0
rice_in_up,wtp_r_loc,,,,,99999,,baseline,1,0
rice_in_up,wtp_e_cost,,,,,99999,,baseline,1,0
rice_in_up,WTP_cc,,,,,99999,,baseline,1,0
rice_in_up,wtp_install,,,,,99999,,baseline,1,0
rice_in_up,wtp_prod,,,,,99999,,baseline,1,0
rice_in_up,wtp_prod_s,,,,,99999,,baseline,1,0
rice_in_up,wtp_prod_u,,,,,99999,,baseline,1,0
rice_in_up,wtp_cons,52.90568994939353,,,,99999,,baseline,1,0
rice_in_up,wtp_deal,,,,,99999,,baseline,1,0
rice_in_up,admin_cost,,,,,99999,,baseline,1,0
rice_in_up,wtp_permits,,,,,99999,,baseline,1,0
rice_in_up,wtp_abatement,,,,,99999,,baseline,1,0
rice_in_up,permitrev,,,,,99999,,baseline,1,0
rice_in_up,wtp_no_leak,,,,,99999,,baseline,1,0
