program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
rps,MVPF,,,,,99999,,baseline,1,0
rps,MVPF_no_cc,,,,,99999,,baseline,1,0
rps,cost,-.0195290795181706,,,,99999,,baseline,1,0
rps,WTP,.3224423100442722,,,,99999,,baseline,1,0
rps,program_cost,0,,,,99999,,baseline,1,0
rps,total_cost,,,,,99999,,baseline,1,0
rps,beh_fisc_ext,,,,,99999,,baseline,1,0
rps,utility_fisc_ext,,,,,99999,,baseline,1,0
rps,gas_fisc_ext,,,,,99999,,baseline,1,0
rps,fed_fisc_ext,,,,,99999,,baseline,1,0
rps,state_fisc_ext,,,,,99999,,baseline,1,0
rps,WTP_USPres,,,,,99999,,baseline,1,0
rps,WTP_USFut,,,,,99999,,baseline,1,0
rps,WTP_RoW,,,,,99999,,baseline,1,0
rps,WTP_USTotal,,,,,99999,,baseline,1,0
rps,enviro_mvpf,,,,,99999,,baseline,1,0
rps,cost_mvpf,,,,,99999,,baseline,1,0
rps,firm_mvpf,,,,,99999,,baseline,1,0
rps,cost_wtp,,,,,99999,,baseline,1,0
rps,env_cost_wtp,,,,,99999,,baseline,1,0
rps,marginal,,,,,99999,,baseline,1,0
rps,infmarg,,,,,99999,,baseline,1,0
rps,wtp_private,,,,,99999,,baseline,1,0
rps,wtp_soc,1,,,,99999,,baseline,1,0
rps,wtp_no_ice,,,,,99999,,baseline,1,0
rps,wtp_yes_ev,,,,,99999,,baseline,1,0
rps,wtp_yes_hev,,,,,99999,,baseline,1,0
rps,wtp_soc_rbd,,,,,99999,,baseline,1,0
rps,wtp_yes_ev_local,,,,,99999,,baseline,1,0
rps,wtp_no_ice_local,,,,,99999,,baseline,1,0
rps,env_cost_wtp_l,,,,,99999,,baseline,1,0
rps,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
rps,wtp_yes_ev_g,,,,,99999,,baseline,1,0
rps,wtp_no_ice_g,,,,,99999,,baseline,1,0
rps,env_cost_wtp_g,,,,,99999,,baseline,1,0
rps,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
rps,wtp_marg,,,,,99999,,baseline,1,0
rps,wtp_inf,,,,,99999,,baseline,1,0
rps,wtp_glob,,,,,99999,,baseline,1,0
rps,wtp_loc,,,,,99999,,baseline,1,0
rps,wtp_r_glob,,,,,99999,,baseline,1,0
rps,wtp_r_loc,,,,,99999,,baseline,1,0
rps,wtp_e_cost,,,,,99999,,baseline,1,0
rps,WTP_cc,,,,,99999,,baseline,1,0
rps,wtp_install,,,,,99999,,baseline,1,0
rps,wtp_prod,0,,,,99999,,baseline,1,0
rps,wtp_prod_s,,,,,99999,,baseline,1,0
rps,wtp_prod_u,,,,,99999,,baseline,1,0
rps,wtp_cons,-.6775576899557278,,,,99999,,baseline,1,0
rps,wtp_deal,,,,,99999,,baseline,1,0
rps,admin_cost,,,,,99999,,baseline,1,0
rps,wtp_permits,,,,,99999,,baseline,1,0
rps,wtp_abatement,,,,,99999,,baseline,1,0
rps,permitrev,,,,,99999,,baseline,1,0
rps,wtp_no_leak,,,,,99999,,baseline,1,0
rps,wtp_leak,,,,,99999,,baseline,1,0
rps,wtp_soc_g,1,,,,99999,,baseline,1,0
rps,wtp_soc_l,0,,,,99999,,baseline,1,0
rps,fisc_ext_t,0,,,,99999,,baseline,1,0
rps,fisc_ext_s,0,,,,99999,,baseline,1,0
rps,fisc_ext_lr,-.0195290795181706,,,,99999,,baseline,1,0
rps,q_CO2,,,,,99999,,baseline,1,0
rps,q_CO2_no,,,,,99999,,baseline,1,0
rps,p_spend,,,,,99999,,baseline,1,0
rps,ev_sub_c,,,,,99999,,baseline,1,0
rps,ev_sub_c_row,,,,,99999,,baseline,1,0
rps,ev_sub_c_us,,,,,99999,,baseline,1,0
rps,ev_sub_env,,,,,99999,,baseline,1,0
rps,ev_sub_cost,,,,,99999,,baseline,1,0
rps,profits_fisc_e,,,,,99999,,baseline,1,0
rps,wtp_soc_l_po,,,,,99999,,baseline,1,0
rps,wtp_soc_l_dr,,,,,99999,,baseline,1,0
rps,gov_carbon,,,,,99999,,baseline,1,0
rps,resource_ce,,,,,99999,,baseline,1,0
rps,q_carbon_mck,,,,,99999,,baseline,1,0
rps,semie,,,,,99999,,baseline,1,0
rps,pass_through,,,,,99999,,baseline,1,0
rps,permitrev_new,,,,,99999,,baseline,1,0
rps,permitrev_ex,,,,,99999,,baseline,1,0
rps,fiscalext,,,,,99999,,baseline,1,0
rps,firm_cost_wtp,,,,,99999,,baseline,1,0
rps,c_savings,,,,,99999,,baseline,1,0
rps,resource_cost,,,,,99999,,baseline,1,0
rps,q_CO2_mck,,,,,99999,,baseline,1,0
rps,q_CO2_mck_no,,,,,99999,,baseline,1,0
rps,wtp_ctr,,,,,99999,,baseline,1,0
rps,gas_corp_fisc_e,,,,,99999,,baseline,1,0
rps,epsilon,,,,,99999,,baseline,1,0
rps,transfer,,,,,99999,,baseline,1,0
rps,enviro_wtp,,,,,99999,,baseline,1,0
rps,cost_curve,,,,,99999,,baseline,1,0
rps,profits,,,,,99999,,baseline,1,0
rps,subsidies,,,,,99999,,baseline,1,0
rps,taxes,,,,,99999,,baseline,1,0
rps,wtp_batt,,,,,99999,,baseline,1,0
rps,wtp_local_w_r,,,,,99999,,baseline,1,0
rps,wind_g_wf,,,,,99999,,baseline,1,0
rps,wind_l_wf,,,,,99999,,baseline,1,0
