program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
russo_crp,MVPF,2.406642443640426,,,,99999,,baseline,1,0
russo_crp,MVPF_no_cc,,,,,99999,,baseline,1,0
russo_crp,cost,81.51040054945055,,,,99999,.98205304,baseline,1,0
russo_crp,WTP,196.1663895604396,,,,99999,2.3634505,baseline,1,0
russo_crp,program_cost,83,,,,99999,,baseline,1,0
russo_crp,total_cost,,,,,99999,,baseline,1,0
russo_crp,beh_fisc_ext,,,,,99999,,baseline,1,0
russo_crp,utility_fisc_ext,,,,,99999,,baseline,1,0
russo_crp,gas_fisc_ext,,,,,99999,,baseline,1,0
russo_crp,fed_fisc_ext,,,,,99999,,baseline,1,0
russo_crp,state_fisc_ext,,,,,99999,,baseline,1,0
russo_crp,WTP_USPres,119.8904212454212,,,,99999,,baseline,1,0
russo_crp,WTP_USFut,10.17523571428572,,,,99999,,baseline,1,0
russo_crp,WTP_RoW,66.10073260073263,,,,99999,,baseline,1,0
russo_crp,WTP_USTotal,,,,,99999,,baseline,1,0
russo_crp,enviro_mvpf,,,,,99999,,baseline,1,0
russo_crp,cost_mvpf,,,,,99999,,baseline,1,0
russo_crp,firm_mvpf,,,,,99999,,baseline,1,0
russo_crp,cost_wtp,,,,,99999,,baseline,1,0
russo_crp,env_cost_wtp,,,,,99999,,baseline,1,0
russo_crp,marginal,,,,,99999,,baseline,1,0
russo_crp,infmarg,,,,,99999,,baseline,1,0
russo_crp,wtp_private,,,,,99999,,baseline,1,0
russo_crp,wtp_soc,,,,,99999,,baseline,1,0
russo_crp,wtp_no_ice,,,,,99999,,baseline,1,0
russo_crp,wtp_yes_ev,,,,,99999,,baseline,1,0
russo_crp,wtp_yes_hev,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_rbd,,,,,99999,,baseline,1,0
russo_crp,wtp_yes_ev_local,,,,,99999,,baseline,1,0
russo_crp,wtp_no_ice_local,,,,,99999,,baseline,1,0
russo_crp,env_cost_wtp_l,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
russo_crp,wtp_yes_ev_g,,,,,99999,,baseline,1,0
russo_crp,wtp_no_ice_g,,,,,99999,,baseline,1,0
russo_crp,env_cost_wtp_g,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
russo_crp,wtp_marg,8.892857142857144,,,,99999,,baseline,1,0
russo_crp,wtp_inf,65.21428571428571,,,,99999,,baseline,1,0
russo_crp,wtp_glob,76.27596831501835,,,,99999,,baseline,1,0
russo_crp,wtp_loc,45.78327838827838,,,,99999,,baseline,1,0
russo_crp,wtp_r_glob,0,,,,99999,,baseline,1,0
russo_crp,wtp_r_loc,0,,,,99999,,baseline,1,0
russo_crp,wtp_e_cost,,,,,99999,,baseline,1,0
russo_crp,WTP_cc,,,,,99999,,baseline,1,0
russo_crp,wtp_install,,,,,99999,,baseline,1,0
russo_crp,wtp_prod,,,,,99999,,baseline,1,0
russo_crp,wtp_prod_s,,,,,99999,,baseline,1,0
russo_crp,wtp_prod_u,,,,,99999,,baseline,1,0
russo_crp,wtp_cons,74.10714285714285,,,,99999,,baseline,1,0
russo_crp,wtp_deal,,,,,99999,,baseline,1,0
russo_crp,admin_cost,,,,,99999,,baseline,1,0
russo_crp,wtp_permits,,,,,99999,,baseline,1,0
russo_crp,wtp_abatement,,,,,99999,,baseline,1,0
russo_crp,permitrev,,,,,99999,,baseline,1,0
russo_crp,wtp_no_leak,,,,,99999,,baseline,1,0
russo_crp,wtp_leak,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_g,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_l,,,,,99999,,baseline,1,0
russo_crp,fisc_ext_t,0,,,,99999,,baseline,1,0
russo_crp,fisc_ext_s,0,,,,99999,,baseline,1,0
russo_crp,fisc_ext_lr,-1.489599450549451,,,,99999,,baseline,1,0
russo_crp,q_CO2,1.880341880341881,,,,99999,,baseline,1,0
russo_crp,q_CO2_no,,,,,99999,,baseline,1,0
russo_crp,p_spend,83,,,,99999,,baseline,1,0
russo_crp,ev_sub_c,,,,,99999,,baseline,1,0
russo_crp,ev_sub_c_row,,,,,99999,,baseline,1,0
russo_crp,ev_sub_c_us,,,,,99999,,baseline,1,0
russo_crp,ev_sub_env,,,,,99999,,baseline,1,0
russo_crp,ev_sub_cost,,,,,99999,,baseline,1,0
russo_crp,profits_fisc_e,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_l_po,,,,,99999,,baseline,1,0
russo_crp,wtp_soc_l_dr,,,,,99999,,baseline,1,0
russo_crp,gov_carbon,.4029304029304031,,,,99999,,baseline,1,0
russo_crp,resource_ce,44.14090909090908,,,,99999,,baseline,1,0
russo_crp,q_carbon_mck,1.880341880341881,,,,99999,,baseline,1,0
russo_crp,semie,,,,,99999,,baseline,1,0
russo_crp,pass_through,,,,,99999,,baseline,1,0
russo_crp,permitrev_new,,,,,99999,,baseline,1,0
russo_crp,permitrev_ex,,,,,99999,,baseline,1,0
russo_crp,fiscalext,,,,,99999,,baseline,1,0
russo_crp,firm_cost_wtp,,,,,99999,,baseline,1,0
russo_crp,c_savings,,,,,99999,,baseline,1,0
russo_crp,resource_cost,,,,,99999,,baseline,1,0
russo_crp,q_CO2_mck,,,,,99999,,baseline,1,0
russo_crp,q_CO2_mck_no,,,,,99999,,baseline,1,0
russo_crp,wtp_ctr,,,,,99999,,baseline,1,0
russo_crp,gas_corp_fisc_e,,,,,99999,,baseline,1,0
russo_crp,epsilon,,,,,99999,,baseline,1,0
russo_crp,transfer,,,,,99999,,baseline,1,0
russo_crp,enviro_wtp,,,,,99999,,baseline,1,0
russo_crp,cost_curve,,,,,99999,,baseline,1,0
russo_crp,profits,,,,,99999,,baseline,1,0
russo_crp,subsidies,,,,,99999,,baseline,1,0
russo_crp,taxes,,,,,99999,,baseline,1,0
russo_crp,wtp_batt,,,,,99999,,baseline,1,0
russo_crp,wtp_local_w_r,,,,,99999,,baseline,1,0
russo_crp,wind_g_wf,,,,,99999,,baseline,1,0
russo_crp,wind_l_wf,,,,,99999,,baseline,1,0
