program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
sent_ch_gas,MVPF,.8313055245203048,,,,,baseline,1,0
sent_ch_gas,MVPF_no_cc,.8313055245203048,,,,,baseline,1,0
sent_ch_gas,cost,.9390100292426686,,,,.93901002,baseline,1,0
sent_ch_gas,WTP,.7806042248894034,,,,.78060424,baseline,1,0
sent_ch_gas,program_cost,1,,,,,baseline,1,0
sent_ch_gas,total_cost,.9390100292426686,,,,,baseline,1,0
sent_ch_gas,beh_fisc_ext,,,,,,baseline,1,0
sent_ch_gas,utility_fisc_ext,,,,,,baseline,1,0
sent_ch_gas,gas_fisc_ext,,,,,,baseline,1,0
sent_ch_gas,fed_fisc_ext,,,,,,baseline,1,0
sent_ch_gas,state_fisc_ext,,,,,,baseline,1,0
sent_ch_gas,WTP_USPres,.9029267984058624,,,,,baseline,1,0
sent_ch_gas,WTP_USFut,-.0163178658521592,,,,,baseline,1,0
sent_ch_gas,WTP_RoW,-.1060047076642998,,,,,baseline,1,0
sent_ch_gas,WTP_USTotal,,,,,,baseline,1,0
sent_ch_gas,enviro_mvpf,,,,,,baseline,1,0
sent_ch_gas,cost_mvpf,,,,,,baseline,1,0
sent_ch_gas,firm_mvpf,,,,,,baseline,1,0
sent_ch_gas,cost_wtp,0,,,,,baseline,1,0
sent_ch_gas,env_cost_wtp,0,,,,,baseline,1,0
sent_ch_gas,marginal,,,,,,baseline,1,0
sent_ch_gas,infmarg,,,,,,baseline,1,0
sent_ch_gas,wtp_private,,,,,,baseline,1,0
sent_ch_gas,wtp_soc,-.286501813101659,,,,,baseline,1,0
sent_ch_gas,wtp_no_ice,,,,,,baseline,1,0
sent_ch_gas,wtp_yes_ev,,,,,,baseline,1,0
sent_ch_gas,wtp_yes_hev,,,,,,baseline,1,0
sent_ch_gas,wtp_soc_rbd,,,,,,baseline,1,0
sent_ch_gas,wtp_yes_ev_local,,,,,,baseline,1,0
sent_ch_gas,wtp_no_ice_local,,,,,,baseline,1,0
sent_ch_gas,env_cost_wtp_l,,,,,,baseline,1,0
sent_ch_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
sent_ch_gas,wtp_yes_ev_g,,,,,,baseline,1,0
sent_ch_gas,wtp_no_ice_g,,,,,,baseline,1,0
sent_ch_gas,env_cost_wtp_g,,,,,,baseline,1,0
sent_ch_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
sent_ch_gas,wtp_marg,,,,,,baseline,1,0
sent_ch_gas,wtp_inf,,,,,,baseline,1,0
sent_ch_gas,wtp_glob,,,,,,baseline,1,0
sent_ch_gas,wtp_loc,,,,,,baseline,1,0
sent_ch_gas,wtp_r_glob,,,,,,baseline,1,0
sent_ch_gas,wtp_r_loc,,,,,,baseline,1,0
sent_ch_gas,wtp_e_cost,,,,,,baseline,1,0
sent_ch_gas,WTP_cc,,,,,,baseline,1,0
sent_ch_gas,wtp_install,,,,,,baseline,1,0
sent_ch_gas,wtp_prod,.0671060379910625,,,,,baseline,1,0
sent_ch_gas,wtp_prod_s,.0671060379910625,,,,,baseline,1,0
sent_ch_gas,wtp_prod_u,0,,,,,baseline,1,0
sent_ch_gas,wtp_cons,1,,,,,baseline,1,0
sent_ch_gas,wtp_deal,,,,,,baseline,1,0
sent_ch_gas,admin_cost,,,,,,baseline,1,0
sent_ch_gas,wtp_permits,,,,,,baseline,1,0
sent_ch_gas,wtp_abatement,,,,,,baseline,1,0
sent_ch_gas,permitrev,,,,,,baseline,1,0
sent_ch_gas,wtp_no_leak,,,,,,baseline,1,0
sent_ch_gas,wtp_leak,,,,,,baseline,1,0
sent_ch_gas,wtp_soc_g,-.122322573516459,,,,,baseline,1,0
sent_ch_gas,wtp_soc_l,-.1641792395852,,,,,baseline,1,0
sent_ch_gas,fisc_ext_t,-.0633788180224015,,,,,baseline,1,0
sent_ch_gas,fisc_ext_s,0,,,,,baseline,1,0
sent_ch_gas,fisc_ext_lr,.0023888472650702,,,,,baseline,1,0
sent_ch_gas,q_CO2,-.0009225758368279,,,,,baseline,1,0
sent_ch_gas,q_CO2_no,.0009225758368279,,,,,baseline,1,0
sent_ch_gas,p_spend,.9544594958739568,,,,,baseline,1,0
sent_ch_gas,ev_sub_c,,,,,,baseline,1,0
sent_ch_gas,ev_sub_c_row,,,,,,baseline,1,0
sent_ch_gas,ev_sub_c_us,,,,,,baseline,1,0
sent_ch_gas,ev_sub_env,,,,,,baseline,1,0
sent_ch_gas,ev_sub_cost,,,,,,baseline,1,0
sent_ch_gas,profits_fisc_e,,,,,,baseline,1,0
sent_ch_gas,wtp_soc_l_po,-.0520825172890258,,,,,baseline,1,0
sent_ch_gas,wtp_soc_l_dr,-.1120967222961742,,,,,baseline,1,0
sent_ch_gas,gov_carbon,-.0009225758368279,,,,,baseline,1,0
sent_ch_gas,resource_ce,-133.0778181675742,,,,,baseline,1,0
sent_ch_gas,q_carbon_mck,.0076272720056536,,,,,baseline,1,0
sent_ch_gas,semie,-.1209575109087605,,,,,baseline,1,0
sent_ch_gas,pass_through,,,,,,baseline,1,0
sent_ch_gas,permitrev_new,,,,,,baseline,1,0
sent_ch_gas,permitrev_ex,,,,,,baseline,1,0
sent_ch_gas,fiscalext,,,,,,baseline,1,0
sent_ch_gas,firm_cost_wtp,,,,,,baseline,1,0
sent_ch_gas,c_savings,,,,,,baseline,1,0
sent_ch_gas,resource_cost,,,,,,baseline,1,0
sent_ch_gas,q_CO2_mck,.0076272720056536,,,,,baseline,1,0
sent_ch_gas,q_CO2_mck_no,.0076272720056536,,,,,baseline,1,0
sent_ch_gas,wtp_ctr,,,,,,baseline,1,0
sent_ch_gas,gas_corp_fisc_e,,,,,,baseline,1,0
sent_ch_gas,epsilon,,,,,,baseline,1,0
sent_ch_gas,transfer,,,,,,baseline,1,0
