program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
shirmali_ptc,MVPF,8.040006234560414,,,,,baseline,1,0
shirmali_ptc,MVPF_no_cc,2.939468831070971,,,,,baseline,1,0
shirmali_ptc,cost,88.96533820771441,,,,1.0767707,baseline,1,0
shirmali_ptc,WTP,285.975122180171,,,,3.4612312,baseline,1,0
shirmali_ptc,program_cost,82.62236706367088,,,,,baseline,1,0
shirmali_ptc,total_cost,88.96533820771441,,,,,baseline,1,0
shirmali_ptc,beh_fisc_ext,,,,,,baseline,1,0
shirmali_ptc,utility_fisc_ext,,,,,,baseline,1,0
shirmali_ptc,gas_fisc_ext,,,,,,baseline,1,0
shirmali_ptc,fed_fisc_ext,,,,,,baseline,1,0
shirmali_ptc,state_fisc_ext,,,,,,baseline,1,0
shirmali_ptc,WTP_USPres,149.1467116701521,,,,,baseline,1,0
shirmali_ptc,WTP_USFut,83.50761985251324,,,,,baseline,1,0
shirmali_ptc,WTP_RoW,482.6275423271343,,,,,baseline,1,0
shirmali_ptc,WTP_USTotal,,,,,,baseline,1,0
shirmali_ptc,enviro_mvpf,4.08001587805748,,,,,baseline,1,0
shirmali_ptc,cost_mvpf,1.115995407104492,,,,,baseline,1,0
shirmali_ptc,firm_mvpf,,,,,,baseline,1,0
shirmali_ptc,cost_wtp,92.20618216715815,,,,,baseline,1,0
shirmali_ptc,env_cost_wtp,337.1005695024705,,,,,baseline,1,0
shirmali_ptc,marginal,,,,,,baseline,1,0
shirmali_ptc,infmarg,,,,,,baseline,1,0
shirmali_ptc,wtp_private,82.62236706367088,,,,,baseline,1,0
shirmali_ptc,wtp_soc,206.3981056458958,,,,,baseline,1,0
shirmali_ptc,wtp_no_ice,,,,,,baseline,1,0
shirmali_ptc,wtp_yes_ev,,,,,,baseline,1,0
shirmali_ptc,wtp_yes_hev,,,,,,baseline,1,0
shirmali_ptc,wtp_soc_rbd,-50.52426628583389,,,,,baseline,1,0
shirmali_ptc,wtp_yes_ev_local,,,,,,baseline,1,0
shirmali_ptc,wtp_no_ice_local,,,,,,baseline,1,0
shirmali_ptc,env_cost_wtp_l,19.11086591938602,,,,,baseline,1,0
shirmali_ptc,wtp_soc_rbd_l,,,,,,baseline,1,0
shirmali_ptc,wtp_yes_ev_g,,,,,,baseline,1,0
shirmali_ptc,wtp_no_ice_g,,,,,,baseline,1,0
shirmali_ptc,env_cost_wtp_g,317.9897035830845,,,,,baseline,1,0
shirmali_ptc,wtp_soc_rbd_g,,,,,,baseline,1,0
shirmali_ptc,wtp_marg,,,,,,baseline,1,0
shirmali_ptc,wtp_inf,,,,,,baseline,1,0
shirmali_ptc,wtp_glob,160.0154439324569,,,,,baseline,1,0
shirmali_ptc,wtp_loc,47.41347868709521,,,,,baseline,1,0
shirmali_ptc,wtp_r_glob,-38.9755815967745,,,,,baseline,1,0
shirmali_ptc,wtp_r_loc,-11.54868468905939,,,,,baseline,1,0
shirmali_ptc,wtp_e_cost,-4.076167503052115,,,,,baseline,1,0
shirmali_ptc,WTP_cc,715.2818738497997,,,,,baseline,1,0
shirmali_ptc,wtp_install,,,,,,baseline,1,0
shirmali_ptc,wtp_prod,82.62236706367088,,,,,baseline,1,0
shirmali_ptc,wtp_prod_s,,,,,,baseline,1,0
shirmali_ptc,wtp_prod_u,,,,,,baseline,1,0
shirmali_ptc,wtp_cons,0,,,,,baseline,1,0
shirmali_ptc,wtp_deal,,,,,,baseline,1,0
shirmali_ptc,admin_cost,,,,,,baseline,1,0
shirmali_ptc,wtp_permits,,,,,,baseline,1,0
shirmali_ptc,wtp_abatement,,,,,,baseline,1,0
shirmali_ptc,permitrev,,,,,,baseline,1,0
shirmali_ptc,wtp_no_leak,,,,,,baseline,1,0
shirmali_ptc,wtp_leak,,,,,,baseline,1,0
shirmali_ptc,wtp_soc_g,,,,,,baseline,1,0
shirmali_ptc,wtp_soc_l,,,,,,baseline,1,0
shirmali_ptc,fisc_ext_t,0,,,,,baseline,1,0
shirmali_ptc,fisc_ext_s,15.59836788067289,,,,,baseline,1,0
shirmali_ptc,fisc_ext_lr,-9.25539673662937,,,,,baseline,1,0
shirmali_ptc,q_CO2,1.100962269817547,,,,,baseline,1,0
shirmali_ptc,q_CO2_no,,,,,,baseline,1,0
shirmali_ptc,p_spend,98.22073494434377,,,,,baseline,1,0
shirmali_ptc,ev_sub_c,,,,,,baseline,1,0
shirmali_ptc,ev_sub_c_row,,,,,,baseline,1,0
shirmali_ptc,ev_sub_c_us,,,,,,baseline,1,0
shirmali_ptc,ev_sub_env,,,,,,baseline,1,0
shirmali_ptc,ev_sub_cost,,,,,,baseline,1,0
shirmali_ptc,profits_fisc_e,,,,,,baseline,1,0
shirmali_ptc,wtp_soc_l_po,,,,,,baseline,1,0
shirmali_ptc,wtp_soc_l_dr,,,,,,baseline,1,0
shirmali_ptc,gov_carbon,.0000359320527269,,,,,baseline,1,0
shirmali_ptc,resource_ce,-42.23843697503107,,,,,baseline,1,0
shirmali_ptc,q_carbon_mck,.000396380954224,,,,,baseline,1,0
shirmali_ptc,semie,-.1134975252628226,,,,,baseline,1,0
shirmali_ptc,pass_through,,,,,,baseline,1,0
shirmali_ptc,permitrev_new,,,,,,baseline,1,0
shirmali_ptc,permitrev_ex,,,,,,baseline,1,0
shirmali_ptc,fiscalext,,,,,,baseline,1,0
shirmali_ptc,firm_cost_wtp,,,,,,baseline,1,0
shirmali_ptc,c_savings,,,,,,baseline,1,0
shirmali_ptc,resource_cost,4015000,,,,,baseline,1,0
shirmali_ptc,q_CO2_mck,.000396380954224,,,,,baseline,1,0
shirmali_ptc,q_CO2_mck_no,,,,,,baseline,1,0
shirmali_ptc,wtp_ctr,,,,,,baseline,1,0
shirmali_ptc,gas_corp_fisc_e,,,,,,baseline,1,0
shirmali_ptc,epsilon,-1.746,,,,,baseline,1,0
shirmali_ptc,transfer,,,,,,baseline,1,0
shirmali_ptc,enviro_wtp,,,,,,baseline,1,0
shirmali_ptc,cost_curve,,,,,,baseline,1,0
shirmali_ptc,profits,,,,,,baseline,1,0
shirmali_ptc,subsidies,,,,,,baseline,1,0
shirmali_ptc,taxes,,,,,,baseline,1,0
shirmali_ptc,wtp_batt,,,,,,baseline,1,0
shirmali_ptc,wtp_local_w_r,,,,,,baseline,1,0
shirmali_ptc,wind_g_wf,198.9910255292315,,,,,baseline,1,0
shirmali_ptc,wind_l_wf,58.96216337615461,,,,,baseline,1,0
