program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
shirmali_ptc,MVPF,8.040006234560414,,,,99999,,baseline,1,0
shirmali_ptc,MVPF_no_cc,2.939468831070971,,,,99999,,baseline,1,0
shirmali_ptc,cost,88.96533820771441,,,,99999,1.0767707,baseline,1,0
shirmali_ptc,WTP,285.975122180171,,,,99999,3.4612312,baseline,1,0
shirmali_ptc,program_cost,82.62236706367088,,,,99999,,baseline,1,0
shirmali_ptc,total_cost,88.96533820771441,,,,99999,,baseline,1,0
shirmali_ptc,beh_fisc_ext,,,,,99999,,baseline,1,0
shirmali_ptc,utility_fisc_ext,,,,,99999,,baseline,1,0
shirmali_ptc,gas_fisc_ext,,,,,99999,,baseline,1,0
shirmali_ptc,fed_fisc_ext,,,,,99999,,baseline,1,0
shirmali_ptc,state_fisc_ext,,,,,99999,,baseline,1,0
shirmali_ptc,WTP_USPres,149.1467116701521,,,,99999,,baseline,1,0
shirmali_ptc,WTP_USFut,83.50761985251324,,,,99999,,baseline,1,0
shirmali_ptc,WTP_RoW,482.6275423271343,,,,99999,,baseline,1,0
shirmali_ptc,WTP_USTotal,,,,,99999,,baseline,1,0
shirmali_ptc,enviro_mvpf,4.08001587805748,,,,99999,,baseline,1,0
shirmali_ptc,cost_mvpf,1.115995407104492,,,,99999,,baseline,1,0
shirmali_ptc,firm_mvpf,,,,,99999,,baseline,1,0
shirmali_ptc,cost_wtp,92.20618216715815,,,,99999,,baseline,1,0
shirmali_ptc,env_cost_wtp,337.1005695024705,,,,99999,,baseline,1,0
shirmali_ptc,marginal,,,,,99999,,baseline,1,0
shirmali_ptc,infmarg,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_private,82.62236706367088,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc,206.3981056458958,,,,99999,,baseline,1,0
shirmali_ptc,wtp_no_ice,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_yes_ev,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_yes_hev,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_rbd,-50.52426628583389,,,,99999,,baseline,1,0
shirmali_ptc,wtp_yes_ev_local,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_no_ice_local,,,,,99999,,baseline,1,0
shirmali_ptc,env_cost_wtp_l,19.11086591938602,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_yes_ev_g,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_no_ice_g,,,,,99999,,baseline,1,0
shirmali_ptc,env_cost_wtp_g,317.9897035830845,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_marg,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_inf,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_glob,160.0154439324569,,,,99999,,baseline,1,0
shirmali_ptc,wtp_loc,47.41347868709521,,,,99999,,baseline,1,0
shirmali_ptc,wtp_r_glob,-38.9755815967745,,,,99999,,baseline,1,0
shirmali_ptc,wtp_r_loc,-11.54868468905939,,,,99999,,baseline,1,0
shirmali_ptc,wtp_e_cost,-4.076167503052115,,,,99999,,baseline,1,0
shirmali_ptc,WTP_cc,715.2818738497997,,,,99999,,baseline,1,0
shirmali_ptc,wtp_install,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_prod,82.62236706367088,,,,99999,,baseline,1,0
shirmali_ptc,wtp_prod_s,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_prod_u,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_cons,0,,,,99999,,baseline,1,0
shirmali_ptc,wtp_deal,,,,,99999,,baseline,1,0
shirmali_ptc,admin_cost,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_permits,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_abatement,,,,,99999,,baseline,1,0
shirmali_ptc,permitrev,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_no_leak,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_leak,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_g,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_l,,,,,99999,,baseline,1,0
shirmali_ptc,fisc_ext_t,0,,,,99999,,baseline,1,0
shirmali_ptc,fisc_ext_s,15.59836788067289,,,,99999,,baseline,1,0
shirmali_ptc,fisc_ext_lr,-9.25539673662937,,,,99999,,baseline,1,0
shirmali_ptc,q_CO2,1.100962269817547,,,,99999,,baseline,1,0
shirmali_ptc,q_CO2_no,,,,,99999,,baseline,1,0
shirmali_ptc,p_spend,98.22073494434377,,,,99999,,baseline,1,0
shirmali_ptc,ev_sub_c,,,,,99999,,baseline,1,0
shirmali_ptc,ev_sub_c_row,,,,,99999,,baseline,1,0
shirmali_ptc,ev_sub_c_us,,,,,99999,,baseline,1,0
shirmali_ptc,ev_sub_env,,,,,99999,,baseline,1,0
shirmali_ptc,ev_sub_cost,,,,,99999,,baseline,1,0
shirmali_ptc,profits_fisc_e,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_l_po,,,,,99999,,baseline,1,0
shirmali_ptc,wtp_soc_l_dr,,,,,99999,,baseline,1,0
shirmali_ptc,gov_carbon,.0000359320527269,,,,99999,,baseline,1,0
shirmali_ptc,resource_ce,-42.23843697503107,,,,99999,,baseline,1,0
shirmali_ptc,q_carbon_mck,.000396380954224,,,,99999,,baseline,1,0
shirmali_ptc,semie,-.1134975252628226,,,,99999,,baseline,1,0
shirmali_ptc,pass_through,,,,,99999,,baseline,1,0
shirmali_ptc,permitrev_new,,,,,99999,,baseline,1,0
shirmali_ptc,permitrev_ex,,,,,99999,,baseline,1,0
shirmali_ptc,fiscalext,,,,,99999,,baseline,1,0
