program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
sl_offset,MVPF,119.4383486594212,,,,99999,,baseline,1,0
sl_offset,MVPF_no_cc,,,,,99999,,baseline,1,0
sl_offset,cost,497089.13631084,,,,99999,.30007312,baseline,1,0
sl_offset,WTP,59371505.57750464,,,,99999,35.84024,baseline,1,0
sl_offset,program_cost,1656559.989847435,,,,99999,,baseline,1,0
sl_offset,total_cost,497089.13631084,,,,99999,,baseline,1,0
sl_offset,beh_fisc_ext,,,,,99999,,baseline,1,0
sl_offset,utility_fisc_ext,,,,,99999,,baseline,1,0
sl_offset,gas_fisc_ext,,,,,99999,,baseline,1,0
sl_offset,fed_fisc_ext,,,,,99999,,baseline,1,0
sl_offset,state_fisc_ext,,,,,99999,,baseline,1,0
sl_offset,WTP_USPres,0,,,,99999,,baseline,1,0
sl_offset,WTP_USFut,7920175.61111959,,,,99999,,baseline,1,0
sl_offset,WTP_RoW,51451329.96638505,,,,99999,,baseline,1,0
sl_offset,WTP_USTotal,,,,,99999,,baseline,1,0
sl_offset,enviro_mvpf,,,,,99999,,baseline,1,0
sl_offset,cost_mvpf,,,,,99999,,baseline,1,0
sl_offset,firm_mvpf,,,,,99999,,baseline,1,0
sl_offset,cost_wtp,,,,,99999,,baseline,1,0
sl_offset,env_cost_wtp,,,,,99999,,baseline,1,0
sl_offset,marginal,,,,,99999,,baseline,1,0
sl_offset,infmarg,,,,,99999,,baseline,1,0
sl_offset,wtp_private,,,,,99999,,baseline,1,0
sl_offset,wtp_soc,,,,,99999,,baseline,1,0
sl_offset,wtp_no_ice,,,,,99999,,baseline,1,0
sl_offset,wtp_yes_ev,,,,,99999,,baseline,1,0
sl_offset,wtp_yes_hev,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_rbd,,,,,99999,,baseline,1,0
sl_offset,wtp_yes_ev_local,,,,,99999,,baseline,1,0
sl_offset,wtp_no_ice_local,,,,,99999,,baseline,1,0
sl_offset,env_cost_wtp_l,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
sl_offset,wtp_yes_ev_g,,,,,99999,,baseline,1,0
sl_offset,wtp_no_ice_g,,,,,99999,,baseline,1,0
sl_offset,env_cost_wtp_g,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
sl_offset,wtp_marg,0,,,,99999,,baseline,1,0
sl_offset,wtp_inf,0,,,,99999,,baseline,1,0
sl_offset,wtp_glob,59371505.57750464,,,,99999,,baseline,1,0
sl_offset,wtp_loc,0,,,,99999,,baseline,1,0
sl_offset,wtp_r_glob,0,,,,99999,,baseline,1,0
sl_offset,wtp_r_loc,0,,,,99999,,baseline,1,0
sl_offset,wtp_e_cost,,,,,99999,,baseline,1,0
sl_offset,WTP_cc,,,,,99999,,baseline,1,0
sl_offset,wtp_install,,,,,99999,,baseline,1,0
sl_offset,wtp_prod,,,,,99999,,baseline,1,0
sl_offset,wtp_prod_s,,,,,99999,,baseline,1,0
sl_offset,wtp_prod_u,,,,,99999,,baseline,1,0
sl_offset,wtp_cons,0,,,,99999,,baseline,1,0
sl_offset,wtp_deal,,,,,99999,,baseline,1,0
sl_offset,admin_cost,,,,,99999,,baseline,1,0
sl_offset,wtp_permits,,,,,99999,,baseline,1,0
sl_offset,wtp_abatement,,,,,99999,,baseline,1,0
sl_offset,permitrev,,,,,99999,,baseline,1,0
sl_offset,wtp_no_leak,,,,,99999,,baseline,1,0
sl_offset,wtp_leak,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_g,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_l,,,,,99999,,baseline,1,0
sl_offset,fisc_ext_t,0,,,,99999,,baseline,1,0
sl_offset,fisc_ext_s,0,,,,99999,,baseline,1,0
sl_offset,fisc_ext_lr,-1159470.853536595,,,,99999,,baseline,1,0
sl_offset,q_CO2,342954.14,,,,99999,,baseline,1,0
sl_offset,q_CO2_no,,,,,99999,,baseline,1,0
sl_offset,p_spend,1656559.989847435,,,,99999,,baseline,1,0
sl_offset,ev_sub_c,,,,,99999,,baseline,1,0
sl_offset,ev_sub_c_row,,,,,99999,,baseline,1,0
sl_offset,ev_sub_c_us,,,,,99999,,baseline,1,0
sl_offset,ev_sub_env,,,,,99999,,baseline,1,0
sl_offset,ev_sub_cost,,,,,99999,,baseline,1,0
sl_offset,profits_fisc_e,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_l_po,,,,,99999,,baseline,1,0
sl_offset,wtp_soc_l_dr,,,,,99999,,baseline,1,0
sl_offset,gov_carbon,,,,,99999,,baseline,1,0
sl_offset,resource_ce,,,,,99999,,baseline,1,0
sl_offset,q_carbon_mck,,,,,99999,,baseline,1,0
sl_offset,semie,,,,,99999,,baseline,1,0
sl_offset,pass_through,,,,,99999,,baseline,1,0
sl_offset,permitrev_new,,,,,99999,,baseline,1,0
sl_offset,permitrev_ex,,,,,99999,,baseline,1,0
sl_offset,fiscalext,,,,,99999,,baseline,1,0
sl_offset,firm_cost_wtp,,,,,99999,,baseline,1,0
sl_offset,c_savings,,,,,99999,,baseline,1,0
sl_offset,resource_cost,,,,,99999,,baseline,1,0
sl_offset,q_CO2_mck,,,,,99999,,baseline,1,0
sl_offset,q_CO2_mck_no,,,,,99999,,baseline,1,0
sl_offset,wtp_ctr,,,,,99999,,baseline,1,0
sl_offset,gas_corp_fisc_e,,,,,99999,,baseline,1,0
sl_offset,epsilon,,,,,99999,,baseline,1,0
sl_offset,transfer,,,,,99999,,baseline,1,0
sl_offset,enviro_wtp,,,,,99999,,baseline,1,0
sl_offset,cost_curve,,,,,99999,,baseline,1,0
sl_offset,profits,,,,,99999,,baseline,1,0
sl_offset,subsidies,,,,,99999,,baseline,1,0
sl_offset,taxes,,,,,99999,,baseline,1,0
sl_offset,wtp_batt,,,,,99999,,baseline,1,0
sl_offset,wtp_local_w_r,,,,,99999,,baseline,1,0
sl_offset,wind_g_wf,,,,,99999,,baseline,1,0
sl_offset,wind_l_wf,,,,,99999,,baseline,1,0
