program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
small_gas_lr,MVPF,.6681951536360685,,,,,baseline,1,0
small_gas_lr,MVPF_no_cc,.6681951536360685,,,,,baseline,1,0
small_gas_lr,cost,.8910013030759667,,,,.89100128,baseline,1,0
small_gas_lr,WTP,.5953627525987828,,,,.59536272,baseline,1,0
small_gas_lr,program_cost,1,,,,,baseline,1,0
small_gas_lr,total_cost,.8910013030759667,,,,,baseline,1,0
small_gas_lr,beh_fisc_ext,,,,,,baseline,1,0
small_gas_lr,utility_fisc_ext,,,,,,baseline,1,0
small_gas_lr,gas_fisc_ext,,,,,,baseline,1,0
small_gas_lr,fed_fisc_ext,,,,,,baseline,1,0
small_gas_lr,state_fisc_ext,,,,,,baseline,1,0
small_gas_lr,WTP_USPres,.7823931081953028,,,,,baseline,1,0
small_gas_lr,WTP_USFut,-.0249499022557353,,,,,baseline,1,0
small_gas_lr,WTP_RoW,-.1620804533407848,,,,,baseline,1,0
small_gas_lr,WTP_USTotal,,,,,,baseline,1,0
small_gas_lr,enviro_mvpf,,,,,,baseline,1,0
small_gas_lr,cost_mvpf,,,,,,baseline,1,0
small_gas_lr,firm_mvpf,,,,,,baseline,1,0
small_gas_lr,cost_wtp,0,,,,,baseline,1,0
small_gas_lr,env_cost_wtp,0,,,,,baseline,1,0
small_gas_lr,marginal,,,,,,baseline,1,0
small_gas_lr,infmarg,,,,,,baseline,1,0
small_gas_lr,wtp_private,,,,,,baseline,1,0
small_gas_lr,wtp_soc,-.5070887759716145,,,,,baseline,1,0
small_gas_lr,wtp_no_ice,,,,,,baseline,1,0
small_gas_lr,wtp_yes_ev,,,,,,baseline,1,0
small_gas_lr,wtp_yes_hev,,,,,,baseline,1,0
small_gas_lr,wtp_soc_rbd,,,,,,baseline,1,0
small_gas_lr,wtp_yes_ev_local,,,,,,baseline,1,0
small_gas_lr,wtp_no_ice_local,,,,,,baseline,1,0
small_gas_lr,env_cost_wtp_l,,,,,,baseline,1,0
small_gas_lr,wtp_soc_rbd_l,,,,,,baseline,1,0
small_gas_lr,wtp_yes_ev_g,,,,,,baseline,1,0
small_gas_lr,wtp_no_ice_g,,,,,,baseline,1,0
small_gas_lr,env_cost_wtp_g,,,,,,baseline,1,0
small_gas_lr,wtp_soc_rbd_g,,,,,,baseline,1,0
small_gas_lr,wtp_marg,,,,,,baseline,1,0
small_gas_lr,wtp_inf,,,,,,baseline,1,0
small_gas_lr,wtp_glob,,,,,,baseline,1,0
small_gas_lr,wtp_loc,,,,,,baseline,1,0
small_gas_lr,wtp_r_glob,,,,,,baseline,1,0
small_gas_lr,wtp_r_loc,,,,,,baseline,1,0
small_gas_lr,wtp_e_cost,,,,,,baseline,1,0
small_gas_lr,WTP_cc,,,,,,baseline,1,0
small_gas_lr,wtp_install,,,,,,baseline,1,0
small_gas_lr,wtp_prod,.1024515285703972,,,,,baseline,1,0
small_gas_lr,wtp_prod_s,.1024515285703972,,,,,baseline,1,0
small_gas_lr,wtp_prod_u,0,,,,,baseline,1,0
small_gas_lr,wtp_cons,1,,,,,baseline,1,0
small_gas_lr,wtp_deal,,,,,,baseline,1,0
small_gas_lr,admin_cost,,,,,,baseline,1,0
