program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
small_gas_sr,MVPF,.9396470964493112,,,,,baseline,1,0
small_gas_sr,MVPF_no_cc,.9396470964493112,,,,,baseline,1,0
small_gas_sr,cost,.9782328949555897,,,,.97823292,baseline,1,0
small_gas_sr,WTP,.919193699396224,,,,.91919369,baseline,1,0
small_gas_sr,program_cost,1,,,,,baseline,1,0
small_gas_sr,total_cost,.9782328949555897,,,,,baseline,1,0
small_gas_sr,beh_fisc_ext,,,,,,baseline,1,0
small_gas_sr,utility_fisc_ext,,,,,,baseline,1,0
small_gas_sr,gas_fisc_ext,,,,,,baseline,1,0
small_gas_sr,fed_fisc_ext,,,,,,baseline,1,0
small_gas_sr,state_fisc_ext,,,,,,baseline,1,0
small_gas_sr,WTP_USPres,.9565437734030739,,,,,baseline,1,0
small_gas_sr,WTP_USFut,-.0049825104205316,,,,,baseline,1,0
small_gas_sr,WTP_RoW,-.0323675635863184,,,,,baseline,1,0
small_gas_sr,WTP_USTotal,,,,,,baseline,1,0
small_gas_sr,enviro_mvpf,,,,,,baseline,1,0
small_gas_sr,cost_mvpf,,,,,,baseline,1,0
small_gas_sr,firm_mvpf,,,,,,baseline,1,0
small_gas_sr,cost_wtp,0,,,,,baseline,1,0
small_gas_sr,env_cost_wtp,0,,,,,baseline,1,0
small_gas_sr,marginal,,,,,,baseline,1,0
small_gas_sr,infmarg,,,,,,baseline,1,0
small_gas_sr,wtp_private,,,,,,baseline,1,0
small_gas_sr,wtp_soc,-.1012659322075051,,,,,baseline,1,0
small_gas_sr,wtp_no_ice,,,,,,baseline,1,0
small_gas_sr,wtp_yes_ev,,,,,,baseline,1,0
small_gas_sr,wtp_yes_hev,,,,,,baseline,1,0
small_gas_sr,wtp_soc_rbd,,,,,,baseline,1,0
small_gas_sr,wtp_yes_ev_local,,,,,,baseline,1,0
small_gas_sr,wtp_no_ice_local,,,,,,baseline,1,0
small_gas_sr,env_cost_wtp_l,,,,,,baseline,1,0
small_gas_sr,wtp_soc_rbd_l,,,,,,baseline,1,0
small_gas_sr,wtp_yes_ev_g,,,,,,baseline,1,0
small_gas_sr,wtp_no_ice_g,,,,,,baseline,1,0
small_gas_sr,env_cost_wtp_g,,,,,,baseline,1,0
small_gas_sr,wtp_soc_rbd_g,,,,,,baseline,1,0
small_gas_sr,wtp_marg,,,,,,baseline,1,0
small_gas_sr,wtp_inf,,,,,,baseline,1,0
small_gas_sr,wtp_glob,,,,,,baseline,1,0
small_gas_sr,wtp_loc,,,,,,baseline,1,0
small_gas_sr,wtp_r_glob,,,,,,baseline,1,0
small_gas_sr,wtp_r_loc,,,,,,baseline,1,0
small_gas_sr,wtp_e_cost,,,,,,baseline,1,0
small_gas_sr,WTP_cc,,,,,,baseline,1,0
small_gas_sr,wtp_install,,,,,,baseline,1,0
small_gas_sr,wtp_prod,.020459631603729,,,,,baseline,1,0
small_gas_sr,wtp_prod_s,.020459631603729,,,,,baseline,1,0
small_gas_sr,wtp_prod_u,0,,,,,baseline,1,0
small_gas_sr,wtp_cons,1,,,,,baseline,1,0
small_gas_sr,wtp_deal,,,,,,baseline,1,0
small_gas_sr,admin_cost,,,,,,baseline,1,0
small_gas_sr,wtp_permits,,,,,,baseline,1,0
small_gas_sr,wtp_abatement,,,,,,baseline,1,0
small_gas_sr,permitrev,,,,,,baseline,1,0
small_gas_sr,wtp_no_leak,,,,,,baseline,1,0
small_gas_sr,wtp_leak,,,,,,baseline,1,0
small_gas_sr,wtp_soc_g,-.03735007400685,,,,,baseline,1,0
small_gas_sr,wtp_soc_l,-.0639158582006551,,,,,baseline,1,0
small_gas_sr,fisc_ext_t,-.0224965176096995,,,,,baseline,1,0
small_gas_sr,fisc_ext_s,0,,,,,baseline,1,0
small_gas_sr,fisc_ext_lr,.0007294125652893,,,,,baseline,1,0
small_gas_sr,q_CO2,-.000317371712256,,,,,baseline,1,0
small_gas_sr,q_CO2_no,.000317371712256,,,,,baseline,1,0
small_gas_sr,p_spend,.982942118639393,,,,,baseline,1,0
small_gas_sr,ev_sub_c,,,,,,baseline,1,0
small_gas_sr,ev_sub_c_row,,,,,,baseline,1,0
small_gas_sr,ev_sub_c_us,,,,,,baseline,1,0
small_gas_sr,ev_sub_env,,,,,,baseline,1,0
small_gas_sr,ev_sub_cost,,,,,,baseline,1,0
small_gas_sr,profits_fisc_e,,,,,,baseline,1,0
small_gas_sr,wtp_soc_l_po,-.0252169625489464,,,,,baseline,1,0
small_gas_sr,wtp_soc_l_dr,-.0386988956517087,,,,,baseline,1,0
small_gas_sr,gov_carbon,-.000317371712256,,,,,baseline,1,0
small_gas_sr,resource_ce,-145.5567006454538,,,,,baseline,1,0
small_gas_sr,q_carbon_mck,.0069733699141435,,,,,baseline,1,0
small_gas_sr,semie,-.0455119570829503,,,,,baseline,1,0
small_gas_sr,pass_through,,,,,,baseline,1,0
small_gas_sr,permitrev_new,,,,,,baseline,1,0
small_gas_sr,permitrev_ex,,,,,,baseline,1,0
small_gas_sr,fiscalext,,,,,,baseline,1,0
small_gas_sr,firm_cost_wtp,,,,,,baseline,1,0
small_gas_sr,c_savings,,,,,,baseline,1,0
small_gas_sr,resource_cost,,,,,,baseline,1,0
small_gas_sr,q_CO2_mck,.0069733699141435,,,,,baseline,1,0
small_gas_sr,q_CO2_mck_no,.0069733699141435,,,,,baseline,1,0
small_gas_sr,wtp_ctr,,,,,,baseline,1,0
small_gas_sr,gas_corp_fisc_e,,,,,,baseline,1,0
small_gas_sr,epsilon,,,,,,baseline,1,0
small_gas_sr,transfer,,,,,,baseline,1,0
small_gas_sr,enviro_wtp,,,,,,baseline,1,0
small_gas_sr,cost_curve,,,,,,baseline,1,0
small_gas_sr,profits,,,,,,baseline,1,0
small_gas_sr,subsidies,,,,,,baseline,1,0
small_gas_sr,taxes,,,,,,baseline,1,0
small_gas_sr,wtp_batt,,,,,,baseline,1,0
small_gas_sr,wtp_local_w_r,,,,,,baseline,1,0
small_gas_sr,wind_g_wf,,,,,,baseline,1,0
small_gas_sr,wind_l_wf,,,,,,baseline,1,0
