program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
solarize,MVPF,.1623241279008344,,,,99999,,baseline,1,0
solarize,MVPF_no_cc,,,,,99999,,baseline,1,0
solarize,cost,786977.0107761237,,,,99999,24.646885,baseline,1,0
solarize,WTP,127745.3569522398,,,,99999,4.0007839,baseline,1,0
solarize,program_cost,31930.08,,,,99999,,baseline,1,0
solarize,total_cost,,,,,99999,,baseline,1,0
solarize,beh_fisc_ext,,,,,99999,,baseline,1,0
solarize,utility_fisc_ext,,,,,99999,,baseline,1,0
solarize,gas_fisc_ext,,,,,99999,,baseline,1,0
solarize,fed_fisc_ext,,,,,99999,,baseline,1,0
solarize,state_fisc_ext,,,,,99999,,baseline,1,0
solarize,WTP_USPres,-144289.5071226506,,,,99999,,baseline,1,0
solarize,WTP_USFut,36289.52769283531,,,,99999,,baseline,1,0
solarize,WTP_RoW,235745.3363820552,,,,99999,,baseline,1,0
solarize,WTP_USTotal,,,,,99999,,baseline,1,0
solarize,enviro_mvpf,,,,,99999,,baseline,1,0
solarize,cost_mvpf,,,,,99999,,baseline,1,0
solarize,firm_mvpf,,,,,99999,,baseline,1,0
solarize,cost_wtp,,,,,99999,,baseline,1,0
solarize,env_cost_wtp,,,,,99999,,baseline,1,0
solarize,marginal,,,,,99999,,baseline,1,0
solarize,infmarg,,,,,99999,,baseline,1,0
solarize,wtp_private,-185704.6014631281,,,,99999,,baseline,1,0
solarize,wtp_soc,318762.5489076012,,,,99999,,baseline,1,0
solarize,wtp_no_ice,,,,,99999,,baseline,1,0
solarize,wtp_yes_ev,,,,,99999,,baseline,1,0
solarize,wtp_yes_hev,,,,,99999,,baseline,1,0
solarize,wtp_soc_rbd,,,,,99999,,baseline,1,0
solarize,wtp_yes_ev_local,,,,,99999,,baseline,1,0
solarize,wtp_no_ice_local,,,,,99999,,baseline,1,0
solarize,env_cost_wtp_l,,,,,99999,,baseline,1,0
solarize,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
solarize,wtp_yes_ev_g,,,,,99999,,baseline,1,0
solarize,wtp_no_ice_g,,,,,99999,,baseline,1,0
solarize,env_cost_wtp_g,,,,,99999,,baseline,1,0
solarize,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
solarize,wtp_marg,,,,,99999,,baseline,1,0
solarize,wtp_inf,,,,,99999,,baseline,1,0
solarize,wtp_glob,384088.3063909608,,,,99999,,baseline,1,0
solarize,wtp_loc,51502.72931580364,,,,99999,,baseline,1,0
solarize,wtp_r_glob,-75229.8506241365,,,,99999,,baseline,1,0
solarize,wtp_r_loc,-10087.63497532615,,,,99999,,baseline,1,0
solarize,wtp_e_cost,-36823.59169193388,,,,99999,,baseline,1,0
solarize,WTP_cc,,,,,99999,,baseline,1,0
solarize,wtp_install,,,,,99999,,baseline,1,0
solarize,wtp_prod,-243344.4034408298,,,,99999,,baseline,1,0
solarize,wtp_prod_s,,,,,99999,,baseline,1,0
solarize,wtp_prod_u,,,,,99999,,baseline,1,0
solarize,wtp_cons,57639.80197770176,,,,99999,,baseline,1,0
solarize,wtp_deal,,,,,99999,,baseline,1,0
solarize,admin_cost,,,,,99999,,baseline,1,0
solarize,wtp_permits,,,,,99999,,baseline,1,0
solarize,wtp_abatement,,,,,99999,,baseline,1,0
solarize,permitrev,,,,,99999,,baseline,1,0
solarize,wtp_no_leak,,,,,99999,,baseline,1,0
solarize,wtp_leak,,,,,99999,,baseline,1,0
solarize,wtp_soc_g,,,,,99999,,baseline,1,0
solarize,wtp_soc_l,,,,,99999,,baseline,1,0
