program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
su_gas,MVPF,.5962937886963475,,,,,baseline,1,0
su_gas,MVPF_no_cc,.5962937886963475,,,,,baseline,1,0
su_gas,cost,.8704416686262239,,,,.87044168,baseline,1,0
su_gas,WTP,.5190389604243016,,,,.51903898,baseline,1,0
su_gas,program_cost,1,,,,,baseline,1,0
su_gas,total_cost,.8704416686262239,,,,,baseline,1,0
su_gas,beh_fisc_ext,,,,,,baseline,1,0
su_gas,utility_fisc_ext,,,,,,baseline,1,0
su_gas,gas_fisc_ext,,,,,,baseline,1,0
su_gas,fed_fisc_ext,,,,,,baseline,1,0
su_gas,state_fisc_ext,,,,,,baseline,1,0
su_gas,WTP_USPres,.7413474968668718,,,,,baseline,1,0
su_gas,WTP_USFut,-.0296560215434937,,,,,baseline,1,0
su_gas,WTP_RoW,-.1926525148990765,,,,,baseline,1,0
su_gas,WTP_USTotal,,,,,,baseline,1,0
su_gas,enviro_mvpf,,,,,,baseline,1,0
su_gas,cost_mvpf,,,,,,baseline,1,0
su_gas,firm_mvpf,,,,,,baseline,1,0
su_gas,cost_wtp,0,,,,,baseline,1,0
su_gas,env_cost_wtp,0,,,,,baseline,1,0
su_gas,marginal,,,,,,baseline,1,0
su_gas,infmarg,,,,,,baseline,1,0
su_gas,wtp_private,,,,,,baseline,1,0
su_gas,wtp_soc,-.6027372576668591,,,,,baseline,1,0
su_gas,wtp_no_ice,,,,,,baseline,1,0
su_gas,wtp_yes_ev,,,,,,baseline,1,0
su_gas,wtp_yes_hev,,,,,,baseline,1,0
su_gas,wtp_soc_rbd,,,,,,baseline,1,0
su_gas,wtp_yes_ev_local,,,,,,baseline,1,0
su_gas,wtp_no_ice_local,,,,,,baseline,1,0
su_gas,env_cost_wtp_l,,,,,,baseline,1,0
su_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
su_gas,wtp_yes_ev_g,,,,,,baseline,1,0
su_gas,wtp_no_ice_g,,,,,,baseline,1,0
su_gas,env_cost_wtp_g,,,,,,baseline,1,0
su_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
su_gas,wtp_marg,,,,,,baseline,1,0
su_gas,wtp_inf,,,,,,baseline,1,0
su_gas,wtp_glob,,,,,,baseline,1,0
su_gas,wtp_loc,,,,,,baseline,1,0
su_gas,wtp_r_glob,,,,,,baseline,1,0
su_gas,wtp_r_loc,,,,,,baseline,1,0
su_gas,wtp_e_cost,,,,,,baseline,1,0
su_gas,WTP_cc,,,,,,baseline,1,0
su_gas,wtp_install,,,,,,baseline,1,0
su_gas,wtp_prod,.1217762180911607,,,,,baseline,1,0
su_gas,wtp_prod_s,.1217762180911607,,,,,baseline,1,0
su_gas,wtp_prod_u,0,,,,,baseline,1,0
su_gas,wtp_cons,1,,,,,baseline,1,0
su_gas,wtp_deal,,,,,,baseline,1,0
su_gas,admin_cost,,,,,,baseline,1,0
su_gas,wtp_permits,,,,,,baseline,1,0
su_gas,wtp_abatement,,,,,,baseline,1,0
su_gas,permitrev,,,,,,baseline,1,0
su_gas,wtp_no_leak,,,,,,baseline,1,0
su_gas,wtp_leak,,,,,,baseline,1,0
su_gas,wtp_soc_g,-.2223085364425702,,,,,baseline,1,0
su_gas,wtp_soc_l,-.3804287212242889,,,,,baseline,1,0
su_gas,fisc_ext_t,-.1338998124595312,,,,,baseline,1,0
su_gas,fisc_ext_s,0,,,,,baseline,1,0
su_gas,fisc_ext_lr,.0043414810857551,,,,,baseline,1,0
su_gas,q_CO2,-.0018890040444625,,,,,baseline,1,0
su_gas,q_CO2_no,.0018890040444625,,,,,baseline,1,0
su_gas,p_spend,.8984710809571065,,,,,baseline,1,0
su_gas,ev_sub_c,,,,,,baseline,1,0
su_gas,ev_sub_c_row,,,,,,baseline,1,0
su_gas,ev_sub_c_us,,,,,,baseline,1,0
su_gas,ev_sub_env,,,,,,baseline,1,0
su_gas,ev_sub_cost,,,,,,baseline,1,0
su_gas,profits_fisc_e,,,,,,baseline,1,0
su_gas,wtp_soc_l_po,-.1500919659959777,,,,,baseline,1,0
su_gas,wtp_soc_l_dr,-.2303367552283112,,,,,baseline,1,0
su_gas,gov_carbon,-.0018890040444625,,,,,baseline,1,0
su_gas,resource_ce,-145.5567006454538,,,,,baseline,1,0
su_gas,q_carbon_mck,.0069733699141435,,,,,baseline,1,0
su_gas,semie,-.2708882602988196,,,,,baseline,1,0
su_gas,pass_through,,,,,,baseline,1,0
su_gas,permitrev_new,,,,,,baseline,1,0
su_gas,permitrev_ex,,,,,,baseline,1,0
su_gas,fiscalext,,,,,,baseline,1,0
su_gas,firm_cost_wtp,,,,,,baseline,1,0
su_gas,c_savings,,,,,,baseline,1,0
su_gas,resource_cost,,,,,,baseline,1,0
su_gas,q_CO2_mck,.0069733699141435,,,,,baseline,1,0
su_gas,q_CO2_mck_no,.0069733699141435,,,,,baseline,1,0
su_gas,wtp_ctr,,,,,,baseline,1,0
su_gas,gas_corp_fisc_e,,,,,,baseline,1,0
su_gas,epsilon,,,,,,baseline,1,0
su_gas,transfer,,,,,,baseline,1,0
su_gas,enviro_wtp,,,,,,baseline,1,0
su_gas,cost_curve,,,,,,baseline,1,0
su_gas,profits,,,,,,baseline,1,0
su_gas,subsidies,,,,,,baseline,1,0
su_gas,taxes,,,,,,baseline,1,0
su_gas,wtp_batt,,,,,,baseline,1,0
su_gas,wtp_local_w_r,,,,,,baseline,1,0
su_gas,wind_g_wf,,,,,,baseline,1,0
su_gas,wind_l_wf,,,,,,baseline,1,0
