program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
su_gas,MVPF,.5962937886963475,,,,99999,,baseline,1,0
su_gas,MVPF_no_cc,.5962937886963475,,,,99999,,baseline,1,0
su_gas,cost,.8704416686262239,,,,99999,.87044168,baseline,1,0
su_gas,WTP,.5190389604243016,,,,99999,.51903898,baseline,1,0
su_gas,program_cost,1,,,,99999,,baseline,1,0
su_gas,total_cost,.8704416686262239,,,,99999,,baseline,1,0
su_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
su_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
su_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
su_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
su_gas,state_fisc_ext,,,,,99999,,baseline,1,0
su_gas,WTP_USPres,.7413474968668718,,,,99999,,baseline,1,0
su_gas,WTP_USFut,-.0296560215434937,,,,99999,,baseline,1,0
su_gas,WTP_RoW,-.1926525148990765,,,,99999,,baseline,1,0
su_gas,WTP_USTotal,,,,,99999,,baseline,1,0
su_gas,enviro_mvpf,,,,,99999,,baseline,1,0
su_gas,cost_mvpf,,,,,99999,,baseline,1,0
su_gas,firm_mvpf,,,,,99999,,baseline,1,0
su_gas,cost_wtp,0,,,,99999,,baseline,1,0
su_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
su_gas,marginal,,,,,99999,,baseline,1,0
su_gas,infmarg,,,,,99999,,baseline,1,0
su_gas,wtp_private,,,,,99999,,baseline,1,0
su_gas,wtp_soc,-.6027372576668591,,,,99999,,baseline,1,0
su_gas,wtp_no_ice,,,,,99999,,baseline,1,0
su_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
su_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
su_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
su_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
su_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
su_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
su_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
su_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
su_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
su_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
su_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
su_gas,wtp_marg,,,,,99999,,baseline,1,0
su_gas,wtp_inf,,,,,99999,,baseline,1,0
su_gas,wtp_glob,,,,,99999,,baseline,1,0
su_gas,wtp_loc,,,,,99999,,baseline,1,0
su_gas,wtp_r_glob,,,,,99999,,baseline,1,0
su_gas,wtp_r_loc,,,,,99999,,baseline,1,0
su_gas,wtp_e_cost,,,,,99999,,baseline,1,0
su_gas,WTP_cc,,,,,99999,,baseline,1,0
su_gas,wtp_install,,,,,99999,,baseline,1,0
su_gas,wtp_prod,.1217762180911607,,,,99999,,baseline,1,0
su_gas,wtp_prod_s,.1217762180911607,,,,99999,,baseline,1,0
su_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
su_gas,wtp_cons,1,,,,99999,,baseline,1,0
su_gas,wtp_deal,,,,,99999,,baseline,1,0
su_gas,admin_cost,,,,,99999,,baseline,1,0
su_gas,wtp_permits,,,,,99999,,baseline,1,0
su_gas,wtp_abatement,,,,,99999,,baseline,1,0
su_gas,permitrev,,,,,99999,,baseline,1,0
su_gas,wtp_no_leak,,,,,99999,,baseline,1,0
su_gas,wtp_leak,,,,,99999,,baseline,1,0
su_gas,wtp_soc_g,-.2223085364425702,,,,99999,,baseline,1,0
su_gas,wtp_soc_l,-.3804287212242889,,,,99999,,baseline,1,0
su_gas,fisc_ext_t,-.1338998124595312,,,,99999,,baseline,1,0
su_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
su_gas,fisc_ext_lr,.0043414810857551,,,,99999,,baseline,1,0
su_gas,q_CO2,-.0018890040444625,,,,99999,,baseline,1,0
su_gas,q_CO2_no,.0018890040444625,,,,99999,,baseline,1,0
su_gas,p_spend,.8984710809571065,,,,99999,,baseline,1,0
su_gas,ev_sub_c,,,,,99999,,baseline,1,0
su_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
su_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
su_gas,ev_sub_env,,,,,99999,,baseline,1,0
su_gas,ev_sub_cost,,,,,99999,,baseline,1,0
su_gas,profits_fisc_e,,,,,99999,,baseline,1,0
su_gas,wtp_soc_l_po,-.1500919659959777,,,,99999,,baseline,1,0
su_gas,wtp_soc_l_dr,-.2303367552283112,,,,99999,,baseline,1,0
su_gas,gov_carbon,-.0018890040444625,,,,99999,,baseline,1,0
su_gas,resource_ce,-145.5567006454538,,,,99999,,baseline,1,0
su_gas,q_carbon_mck,.0069733699141435,,,,99999,,baseline,1,0
su_gas,semie,-.2708882602988196,,,,99999,,baseline,1,0
su_gas,pass_through,,,,,99999,,baseline,1,0
su_gas,permitrev_new,,,,,99999,,baseline,1,0
su_gas,permitrev_ex,,,,,99999,,baseline,1,0
su_gas,fiscalext,,,,,99999,,baseline,1,0
su_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
su_gas,c_savings,,,,,99999,,baseline,1,0
su_gas,resource_cost,,,,,99999,,baseline,1,0
su_gas,q_CO2_mck,.0069733699141435,,,,99999,,baseline,1,0
su_gas,q_CO2_mck_no,.0069733699141435,,,,99999,,baseline,1,0
su_gas,wtp_ctr,,,,,99999,,baseline,1,0
su_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
su_gas,epsilon,,,,,99999,,baseline,1,0
su_gas,transfer,,,,,99999,,baseline,1,0
su_gas,enviro_wtp,,,,,99999,,baseline,1,0
su_gas,cost_curve,,,,,99999,,baseline,1,0
su_gas,profits,,,,,99999,,baseline,1,0
su_gas,subsidies,,,,,99999,,baseline,1,0
su_gas,taxes,,,,,99999,,baseline,1,0
su_gas,wtp_batt,,,,,99999,,baseline,1,0
su_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
su_gas,wind_g_wf,,,,,99999,,baseline,1,0
su_gas,wind_l_wf,,,,,99999,,baseline,1,0
