program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
tiezzi_gas,MVPF,.7485653407893814,,,,,baseline,1,0
tiezzi_gas,MVPF_no_cc,.7485653407893814,,,,,baseline,1,0
tiezzi_gas,cost,.9176979732268867,,,,.91769797,baseline,1,0
tiezzi_gas,WTP,.6869568960703091,,,,.68695688,baseline,1,0
tiezzi_gas,program_cost,1,,,,,baseline,1,0
tiezzi_gas,total_cost,.9176979732268867,,,,,baseline,1,0
tiezzi_gas,beh_fisc_ext,,,,,,baseline,1,0
tiezzi_gas,utility_fisc_ext,,,,,,baseline,1,0
tiezzi_gas,gas_fisc_ext,,,,,,baseline,1,0
tiezzi_gas,fed_fisc_ext,,,,,,baseline,1,0
tiezzi_gas,state_fisc_ext,,,,,,baseline,1,0
tiezzi_gas,WTP_USPres,.8803116492883653,,,,,baseline,1,0
tiezzi_gas,WTP_USFut,-.0257935786845185,,,,,baseline,1,0
tiezzi_gas,WTP_RoW,-.1675611745335376,,,,,baseline,1,0
tiezzi_gas,WTP_USTotal,,,,,,baseline,1,0
tiezzi_gas,enviro_mvpf,,,,,,baseline,1,0
tiezzi_gas,cost_mvpf,,,,,,baseline,1,0
tiezzi_gas,firm_mvpf,,,,,,baseline,1,0
tiezzi_gas,cost_wtp,0,,,,,baseline,1,0
tiezzi_gas,env_cost_wtp,0,,,,,baseline,1,0
tiezzi_gas,marginal,,,,,,baseline,1,0
tiezzi_gas,infmarg,,,,,,baseline,1,0
tiezzi_gas,wtp_private,,,,,,baseline,1,0
tiezzi_gas,wtp_soc,-.404683605750031,,,,,baseline,1,0
tiezzi_gas,wtp_no_ice,,,,,,baseline,1,0
tiezzi_gas,wtp_yes_ev,,,,,,baseline,1,0
tiezzi_gas,wtp_yes_hev,,,,,,baseline,1,0
tiezzi_gas,wtp_soc_rbd,,,,,,baseline,1,0
tiezzi_gas,wtp_yes_ev_local,,,,,,baseline,1,0
tiezzi_gas,wtp_no_ice_local,,,,,,baseline,1,0
tiezzi_gas,env_cost_wtp_l,,,,,,baseline,1,0
tiezzi_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
tiezzi_gas,wtp_yes_ev_g,,,,,,baseline,1,0
tiezzi_gas,wtp_no_ice_g,,,,,,baseline,1,0
tiezzi_gas,env_cost_wtp_g,,,,,,baseline,1,0
tiezzi_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
tiezzi_gas,wtp_marg,,,,,,baseline,1,0
tiezzi_gas,wtp_inf,,,,,,baseline,1,0
tiezzi_gas,wtp_glob,,,,,,baseline,1,0
tiezzi_gas,wtp_loc,,,,,,baseline,1,0
tiezzi_gas,wtp_r_glob,,,,,,baseline,1,0
tiezzi_gas,wtp_r_loc,,,,,,baseline,1,0
tiezzi_gas,wtp_e_cost,,,,,,baseline,1,0
tiezzi_gas,WTP_cc,,,,,,baseline,1,0
tiezzi_gas,wtp_install,,,,,,baseline,1,0
tiezzi_gas,wtp_prod,.0916405018203402,,,,,baseline,1,0
tiezzi_gas,wtp_prod_s,.0916405018203402,,,,,baseline,1,0
tiezzi_gas,wtp_prod_u,0,,,,,baseline,1,0
tiezzi_gas,wtp_cons,1,,,,,baseline,1,0
tiezzi_gas,wtp_deal,,,,,,baseline,1,0
tiezzi_gas,admin_cost,,,,,,baseline,1,0
tiezzi_gas,wtp_permits,,,,,,baseline,1,0
tiezzi_gas,wtp_abatement,,,,,,baseline,1,0
