program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
tiezzi_gas,MVPF,.7485653407893814,,,,99999,,baseline,1,0
tiezzi_gas,MVPF_no_cc,.7485653407893814,,,,99999,,baseline,1,0
tiezzi_gas,cost,.9176979732268867,,,,99999,.91769797,baseline,1,0
tiezzi_gas,WTP,.6869568960703091,,,,99999,.68695688,baseline,1,0
tiezzi_gas,program_cost,1,,,,99999,,baseline,1,0
tiezzi_gas,total_cost,.9176979732268867,,,,99999,,baseline,1,0
tiezzi_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
tiezzi_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
tiezzi_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
tiezzi_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
tiezzi_gas,state_fisc_ext,,,,,99999,,baseline,1,0
tiezzi_gas,WTP_USPres,.8803116492883653,,,,99999,,baseline,1,0
tiezzi_gas,WTP_USFut,-.0257935786845185,,,,99999,,baseline,1,0
tiezzi_gas,WTP_RoW,-.1675611745335376,,,,99999,,baseline,1,0
tiezzi_gas,WTP_USTotal,,,,,99999,,baseline,1,0
tiezzi_gas,enviro_mvpf,,,,,99999,,baseline,1,0
tiezzi_gas,cost_mvpf,,,,,99999,,baseline,1,0
tiezzi_gas,firm_mvpf,,,,,99999,,baseline,1,0
tiezzi_gas,cost_wtp,0,,,,99999,,baseline,1,0
tiezzi_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
tiezzi_gas,marginal,,,,,99999,,baseline,1,0
tiezzi_gas,infmarg,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_private,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc,-.404683605750031,,,,99999,,baseline,1,0
tiezzi_gas,wtp_no_ice,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
tiezzi_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
tiezzi_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_marg,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_inf,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_glob,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_loc,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_r_glob,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_r_loc,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_e_cost,,,,,99999,,baseline,1,0
tiezzi_gas,WTP_cc,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_install,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_prod,.0916405018203402,,,,99999,,baseline,1,0
tiezzi_gas,wtp_prod_s,.0916405018203402,,,,99999,,baseline,1,0
tiezzi_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
tiezzi_gas,wtp_cons,1,,,,99999,,baseline,1,0
tiezzi_gas,wtp_deal,,,,,99999,,baseline,1,0
tiezzi_gas,admin_cost,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_permits,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_abatement,,,,,99999,,baseline,1,0
tiezzi_gas,permitrev,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_no_leak,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_leak,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_g,-.1933547532180561,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_l,-.2113288525319749,,,,99999,,baseline,1,0
tiezzi_gas,fisc_ext_t,-.086078067123925,,,,99999,,baseline,1,0
tiezzi_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
tiezzi_gas,fisc_ext_lr,.0037760403508117,,,,99999,,baseline,1,0
tiezzi_gas,q_CO2,-.0012786639327583,,,,99999,,baseline,1,0
tiezzi_gas,q_CO2_no,.0012786639327583,,,,99999,,baseline,1,0
tiezzi_gas,p_spend,.9382820662713552,,,,99999,,baseline,1,0
tiezzi_gas,ev_sub_c,,,,,99999,,baseline,1,0
tiezzi_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
tiezzi_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
tiezzi_gas,ev_sub_env,,,,,99999,,baseline,1,0
tiezzi_gas,ev_sub_cost,,,,,99999,,baseline,1,0
tiezzi_gas,profits_fisc_e,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_l_po,-.048858397667429,,,,99999,,baseline,1,0
tiezzi_gas,wtp_soc_l_dr,-.1624704548645459,,,,99999,,baseline,1,0
tiezzi_gas,gov_carbon,-.0012786639327583,,,,99999,,baseline,1,0
tiezzi_gas,resource_ce,-121.8113589625366,,,,99999,,baseline,1,0
tiezzi_gas,q_carbon_mck,.0083327263214851,,,,99999,,baseline,1,0
tiezzi_gas,semie,-.1534508495090447,,,,99999,,baseline,1,0
tiezzi_gas,pass_through,,,,,99999,,baseline,1,0
tiezzi_gas,permitrev_new,,,,,99999,,baseline,1,0
tiezzi_gas,permitrev_ex,,,,,99999,,baseline,1,0
tiezzi_gas,fiscalext,,,,,99999,,baseline,1,0
tiezzi_gas,firm_cost_wtp,,,,,99999,,baseline,1,0
tiezzi_gas,c_savings,,,,,99999,,baseline,1,0
tiezzi_gas,resource_cost,,,,,99999,,baseline,1,0
tiezzi_gas,q_CO2_mck,.0083327263214851,,,,99999,,baseline,1,0
tiezzi_gas,q_CO2_mck_no,.0083327263214851,,,,99999,,baseline,1,0
tiezzi_gas,wtp_ctr,,,,,99999,,baseline,1,0
tiezzi_gas,gas_corp_fisc_e,,,,,99999,,baseline,1,0
tiezzi_gas,epsilon,,,,,99999,,baseline,1,0
tiezzi_gas,transfer,,,,,99999,,baseline,1,0
tiezzi_gas,enviro_wtp,,,,,99999,,baseline,1,0
tiezzi_gas,cost_curve,,,,,99999,,baseline,1,0
tiezzi_gas,profits,,,,,99999,,baseline,1,0
tiezzi_gas,subsidies,,,,,99999,,baseline,1,0
tiezzi_gas,taxes,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_batt,,,,,99999,,baseline,1,0
tiezzi_gas,wtp_local_w_r,,,,,99999,,baseline,1,0
tiezzi_gas,wind_g_wf,,,,,99999,,baseline,1,0
tiezzi_gas,wind_l_wf,,,,,99999,,baseline,1,0
