program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
wap,MVPF,.9553941442709889,,,,,baseline,1,0
wap,MVPF_no_cc,,,,,,baseline,1,0
wap,cost,5235.30919568056,,,,1.0165648,baseline,1,0
wap,WTP,5001.783749001268,,,,.97122014,baseline,1,0
wap,program_cost,5150,,,,,baseline,1,0
wap,total_cost,5235.30919568056,,,,,baseline,1,0
wap,beh_fisc_ext,,,,,,baseline,1,0
wap,utility_fisc_ext,,,,,,baseline,1,0
wap,gas_fisc_ext,,,,,,baseline,1,0
wap,fed_fisc_ext,,,,,,baseline,1,0
wap,state_fisc_ext,,,,,,baseline,1,0
wap,WTP_USPres,3666.833975870451,,,,,baseline,1,0
wap,WTP_USFut,178.0826767382224,,,,,baseline,1,0
wap,WTP_RoW,1156.867096392595,,,,,baseline,1,0
wap,WTP_USTotal,,,,,,baseline,1,0
wap,enviro_mvpf,,,,,,baseline,1,0
wap,cost_mvpf,,,,,,baseline,1,0
wap,firm_mvpf,,,,,,baseline,1,0
wap,cost_wtp,,,,,,baseline,1,0
wap,env_cost_wtp,,,,,,baseline,1,0
wap,marginal,,,,,,baseline,1,0
wap,infmarg,,,,,,baseline,1,0
wap,wtp_private,,,,,,baseline,1,0
wap,wtp_soc,1595.616662525332,,,,,baseline,1,0
wap,wtp_no_ice,,,,,,baseline,1,0
wap,wtp_yes_ev,,,,,,baseline,1,0
wap,wtp_yes_hev,,,,,,baseline,1,0
wap,wtp_soc_rbd,,,,,,baseline,1,0
wap,wtp_yes_ev_local,,,,,,baseline,1,0
wap,wtp_no_ice_local,,,,,,baseline,1,0
wap,env_cost_wtp_l,,,,,,baseline,1,0
wap,wtp_soc_rbd_l,,,,,,baseline,1,0
wap,wtp_yes_ev_g,,,,,,baseline,1,0
wap,wtp_no_ice_g,,,,,,baseline,1,0
wap,env_cost_wtp_g,,,,,,baseline,1,0
wap,wtp_soc_rbd_g,,,,,,baseline,1,0
wap,wtp_marg,1287.5,,,,,baseline,1,0
wap,wtp_inf,2575,,,,,baseline,1,0
wap,wtp_glob,1575.957335827696,,,,,baseline,1,0
wap,wtp_loc,291.7381394458773,,,,,baseline,1,0
wap,wtp_r_glob,-241.0075626968783,,,,,baseline,1,0
wap,wtp_r_loc,-57.14159032359795,,,,,baseline,1,0
wap,wtp_e_cost,,,,,,baseline,1,0
wap,WTP_cc,,,,,,baseline,1,0
wap,wtp_install,,,,,,baseline,1,0
wap,wtp_prod,-430.262573251828,,,,,baseline,1,0
wap,wtp_prod_s,,,,,,baseline,1,0
wap,wtp_prod_u,,,,,,baseline,1,0
wap,wtp_cons,,,,,,baseline,1,0
wap,wtp_deal,,,,,,baseline,1,0
wap,admin_cost,,,,,,baseline,1,0
wap,wtp_permits,,,,,,baseline,1,0
wap,wtp_abatement,,,,,,baseline,1,0
wap,permitrev,,,,,,baseline,1,0
wap,wtp_no_leak,,,,,,baseline,1,0
wap,wtp_leak,,,,,,baseline,1,0
wap,wtp_soc_g,,,,,,baseline,1,0
wap,wtp_soc_l,,,,,,baseline,1,0
wap,fisc_ext_t,111.3795359527961,,,,,baseline,1,0
wap,fisc_ext_s,0,,,,,baseline,1,0
wap,fisc_ext_lr,-26.07034027223548,,,,,baseline,1,0
wap,q_CO2,10.58306932099963,,,,,baseline,1,0
wap,q_CO2_no,,,,,,baseline,1,0
wap,p_spend,5150,,,,,baseline,1,0
wap,ev_sub_c,,,,,,baseline,1,0
wap,ev_sub_c_row,,,,,,baseline,1,0
wap,ev_sub_c_us,,,,,,baseline,1,0
wap,ev_sub_env,,,,,,baseline,1,0
wap,ev_sub_cost,,,,,,baseline,1,0
wap,profits_fisc_e,,,,,,baseline,1,0
wap,wtp_soc_l_po,,,,,,baseline,1,0
wap,wtp_soc_l_dr,,,,,,baseline,1,0
wap,gov_carbon,12.50955088323296,,,,,baseline,1,0
wap,resource_ce,136.2049698142082,,,,,baseline,1,0
wap,q_carbon_mck,25.01910176646592,,,,,baseline,1,0
wap,semie,,,,,,baseline,1,0
wap,pass_through,,,,,,baseline,1,0
wap,permitrev_new,,,,,,baseline,1,0
wap,permitrev_ex,,,,,,baseline,1,0
wap,fiscalext,,,,,,baseline,1,0
wap,firm_cost_wtp,,,,,,baseline,1,0
wap,c_savings,0,,,,,baseline,1,0
wap,resource_cost,,,,,,baseline,1,0
wap,q_CO2_mck,,,,,,baseline,1,0
wap,q_CO2_mck_no,,,,,,baseline,1,0
wap,wtp_ctr,,,,,,baseline,1,0
wap,gas_corp_fisc_e,,,,,,baseline,1,0
wap,epsilon,,,,,,baseline,1,0
wap,transfer,,,,,,baseline,1,0
wap,enviro_wtp,,,,,,baseline,1,0
wap,cost_curve,,,,,,baseline,1,0
wap,profits,,,,,,baseline,1,0
wap,subsidies,,,,,,baseline,1,0
wap,taxes,,,,,,baseline,1,0
wap,wtp_batt,,,,,,baseline,1,0
wap,wtp_local_w_r,,,,,,baseline,1,0
wap,wind_g_wf,,,,,,baseline,1,0
wap,wind_l_wf,,,,,,baseline,1,0
