program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
wap,MVPF,.9553941442709889,,,,99999,,baseline,1,0
wap,MVPF_no_cc,,,,,99999,,baseline,1,0
wap,cost,5235.30919568056,,,,99999,1.0165648,baseline,1,0
wap,WTP,5001.783749001268,,,,99999,.97122014,baseline,1,0
wap,program_cost,5150,,,,99999,,baseline,1,0
wap,total_cost,5235.30919568056,,,,99999,,baseline,1,0
wap,beh_fisc_ext,,,,,99999,,baseline,1,0
wap,utility_fisc_ext,,,,,99999,,baseline,1,0
wap,gas_fisc_ext,,,,,99999,,baseline,1,0
wap,fed_fisc_ext,,,,,99999,,baseline,1,0
wap,state_fisc_ext,,,,,99999,,baseline,1,0
wap,WTP_USPres,3666.833975870451,,,,99999,,baseline,1,0
wap,WTP_USFut,178.0826767382224,,,,99999,,baseline,1,0
wap,WTP_RoW,1156.867096392595,,,,99999,,baseline,1,0
wap,WTP_USTotal,,,,,99999,,baseline,1,0
wap,enviro_mvpf,,,,,99999,,baseline,1,0
wap,cost_mvpf,,,,,99999,,baseline,1,0
wap,firm_mvpf,,,,,99999,,baseline,1,0
wap,cost_wtp,,,,,99999,,baseline,1,0
wap,env_cost_wtp,,,,,99999,,baseline,1,0
wap,marginal,,,,,99999,,baseline,1,0
wap,infmarg,,,,,99999,,baseline,1,0
wap,wtp_private,,,,,99999,,baseline,1,0
wap,wtp_soc,1595.616662525332,,,,99999,,baseline,1,0
wap,wtp_no_ice,,,,,99999,,baseline,1,0
wap,wtp_yes_ev,,,,,99999,,baseline,1,0
wap,wtp_yes_hev,,,,,99999,,baseline,1,0
wap,wtp_soc_rbd,,,,,99999,,baseline,1,0
wap,wtp_yes_ev_local,,,,,99999,,baseline,1,0
wap,wtp_no_ice_local,,,,,99999,,baseline,1,0
wap,env_cost_wtp_l,,,,,99999,,baseline,1,0
wap,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
wap,wtp_yes_ev_g,,,,,99999,,baseline,1,0
wap,wtp_no_ice_g,,,,,99999,,baseline,1,0
wap,env_cost_wtp_g,,,,,99999,,baseline,1,0
wap,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
wap,wtp_marg,1287.5,,,,99999,,baseline,1,0
wap,wtp_inf,2575,,,,99999,,baseline,1,0
wap,wtp_glob,1575.957335827696,,,,99999,,baseline,1,0
wap,wtp_loc,291.7381394458773,,,,99999,,baseline,1,0
wap,wtp_r_glob,-241.0075626968783,,,,99999,,baseline,1,0
wap,wtp_r_loc,-57.14159032359795,,,,99999,,baseline,1,0
wap,wtp_e_cost,,,,,99999,,baseline,1,0
wap,WTP_cc,,,,,99999,,baseline,1,0
wap,wtp_install,,,,,99999,,baseline,1,0
