program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
wap_mexico,MVPF,.428307658134729,,,,99999,,baseline,1,0
wap_mexico,MVPF_no_cc,,,,,99999,,baseline,1,0
wap_mexico,cost,751.0413537281642,,,,99999,1.0013884,baseline,1,0
wap_mexico,WTP,321.6767633776466,,,,99999,.42890236,baseline,1,0
wap_mexico,program_cost,750,,,,99999,,baseline,1,0
wap_mexico,total_cost,751.0413537281642,,,,99999,,baseline,1,0
wap_mexico,beh_fisc_ext,,,,,99999,,baseline,1,0
wap_mexico,utility_fisc_ext,,,,,99999,,baseline,1,0
wap_mexico,gas_fisc_ext,,,,,99999,,baseline,1,0
wap_mexico,fed_fisc_ext,,,,,99999,,baseline,1,0
wap_mexico,state_fisc_ext,,,,,99999,,baseline,1,0
wap_mexico,WTP_USPres,0,,,,99999,,baseline,1,0
wap_mexico,WTP_USFut,-7.113334824413465,,,,99999,,baseline,1,0
wap_mexico,WTP_RoW,328.7900982020601,,,,99999,,baseline,1,0
wap_mexico,WTP_USTotal,,,,,99999,,baseline,1,0
wap_mexico,enviro_mvpf,,,,,99999,,baseline,1,0
wap_mexico,cost_mvpf,,,,,99999,,baseline,1,0
wap_mexico,firm_mvpf,,,,,99999,,baseline,1,0
wap_mexico,cost_wtp,,,,,99999,,baseline,1,0
wap_mexico,env_cost_wtp,,,,,99999,,baseline,1,0
wap_mexico,marginal,,,,,99999,,baseline,1,0
wap_mexico,infmarg,,,,,99999,,baseline,1,0
wap_mexico,wtp_private,,,,,99999,,baseline,1,0
wap_mexico,wtp_soc,,,,,99999,,baseline,1,0
wap_mexico,wtp_no_ice,,,,,99999,,baseline,1,0
wap_mexico,wtp_yes_ev,,,,,99999,,baseline,1,0
wap_mexico,wtp_yes_hev,,,,,99999,,baseline,1,0
wap_mexico,wtp_soc_rbd,,,,,99999,,baseline,1,0
wap_mexico,wtp_yes_ev_local,,,,,99999,,baseline,1,0
wap_mexico,wtp_no_ice_local,,,,,99999,,baseline,1,0
wap_mexico,env_cost_wtp_l,,,,,99999,,baseline,1,0
wap_mexico,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
