program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
wap_nudge,MVPF,.3472368631598527,,,,,baseline,1,0
wap_nudge,MVPF_no_cc,,,,,,baseline,1,0
wap_nudge,cost,6561.997701705949,,,,5.2860537,baseline,1,0
wap_nudge,WTP,2278.567498002537,,,,1.8355128,baseline,1,0
wap_nudge,program_cost,1241.379310344828,,,,,baseline,1,0
wap_nudge,total_cost,6561.997701705949,,,,,baseline,1,0
wap_nudge,beh_fisc_ext,,,,,,baseline,1,0
wap_nudge,utility_fisc_ext,,,,,,baseline,1,0
wap_nudge,gas_fisc_ext,,,,,,baseline,1,0
wap_nudge,fed_fisc_ext,,,,,,baseline,1,0
wap_nudge,state_fisc_ext,,,,,,baseline,1,0
wap_nudge,WTP_USPres,-391.3320482590973,,,,,baseline,1,0
wap_nudge,WTP_USFut,356.1653534764449,,,,,baseline,1,0
wap_nudge,WTP_RoW,2313.73419278519,,,,,baseline,1,0
wap_nudge,WTP_USTotal,,,,,,baseline,1,0
wap_nudge,enviro_mvpf,,,,,,baseline,1,0
wap_nudge,cost_mvpf,,,,,,baseline,1,0
wap_nudge,firm_mvpf,,,,,,baseline,1,0
wap_nudge,cost_wtp,,,,,,baseline,1,0
wap_nudge,env_cost_wtp,,,,,,baseline,1,0
wap_nudge,marginal,,,,,,baseline,1,0
wap_nudge,infmarg,,,,,,baseline,1,0
wap_nudge,wtp_private,,,,,,baseline,1,0
wap_nudge,wtp_soc,3191.233325050664,,,,,baseline,1,0
wap_nudge,wtp_no_ice,,,,,,baseline,1,0
wap_nudge,wtp_yes_ev,,,,,,baseline,1,0
wap_nudge,wtp_yes_hev,,,,,,baseline,1,0
wap_nudge,wtp_soc_rbd,,,,,,baseline,1,0
wap_nudge,wtp_yes_ev_local,,,,,,baseline,1,0
wap_nudge,wtp_no_ice_local,,,,,,baseline,1,0
wap_nudge,env_cost_wtp_l,,,,,,baseline,1,0
wap_nudge,wtp_soc_rbd_l,,,,,,baseline,1,0
wap_nudge,wtp_yes_ev_g,,,,,,baseline,1,0
wap_nudge,wtp_no_ice_g,,,,,,baseline,1,0
wap_nudge,env_cost_wtp_g,,,,,,baseline,1,0
wap_nudge,wtp_soc_rbd_g,,,,,,baseline,1,0
wap_nudge,wtp_marg,0,,,,,baseline,1,0
wap_nudge,wtp_inf,0,,,,,baseline,1,0
wap_nudge,wtp_glob,3151.914671655391,,,,,baseline,1,0
wap_nudge,wtp_loc,583.4762788917546,,,,,baseline,1,0
wap_nudge,wtp_r_glob,-482.0151253937566,,,,,baseline,1,0
wap_nudge,wtp_r_loc,-114.2831806471959,,,,,baseline,1,0
wap_nudge,wtp_e_cost,,,,,,baseline,1,0
wap_nudge,WTP_cc,,,,,,baseline,1,0
wap_nudge,wtp_install,,,,,,baseline,1,0
wap_nudge,wtp_prod,-860.5251465036561,,,,,baseline,1,0
wap_nudge,wtp_prod_s,,,,,,baseline,1,0
wap_nudge,wtp_prod_u,,,,,,baseline,1,0
wap_nudge,wtp_cons,,,,,,baseline,1,0
wap_nudge,wtp_deal,,,,,,baseline,1,0
wap_nudge,admin_cost,,,,,,baseline,1,0
wap_nudge,wtp_permits,,,,,,baseline,1,0
wap_nudge,wtp_abatement,,,,,,baseline,1,0
wap_nudge,permitrev,,,,,,baseline,1,0
wap_nudge,wtp_no_leak,,,,,,baseline,1,0
wap_nudge,wtp_leak,,,,,,baseline,1,0
wap_nudge,wtp_soc_g,,,,,,baseline,1,0
wap_nudge,wtp_soc_l,,,,,,baseline,1,0
wap_nudge,fisc_ext_t,222.7590719055923,,,,,baseline,1,0
wap_nudge,fisc_ext_s,5150,,,,,baseline,1,0
wap_nudge,fisc_ext_lr,-52.14068054447095,,,,,baseline,1,0
wap_nudge,q_CO2,21.16613864199926,,,,,baseline,1,0
wap_nudge,q_CO2_no,,,,,,baseline,1,0
wap_nudge,p_spend,1241.379310344828,,,,,baseline,1,0
wap_nudge,ev_sub_c,,,,,,baseline,1,0
wap_nudge,ev_sub_c_row,,,,,,baseline,1,0
wap_nudge,ev_sub_c_us,,,,,,baseline,1,0
wap_nudge,ev_sub_env,,,,,,baseline,1,0
wap_nudge,ev_sub_cost,,,,,,baseline,1,0
wap_nudge,profits_fisc_e,,,,,,baseline,1,0
wap_nudge,wtp_soc_l_po,,,,,,baseline,1,0
wap_nudge,wtp_soc_l_dr,,,,,,baseline,1,0
wap_nudge,gov_carbon,25.01910176646592,,,,,baseline,1,0
wap_nudge,resource_ce,-20.02049048165458,,,,,baseline,1,0
wap_nudge,q_carbon_mck,25.01910176646592,,,,,baseline,1,0
wap_nudge,semie,,,,,,baseline,1,0
wap_nudge,pass_through,,,,,,baseline,1,0
wap_nudge,permitrev_new,,,,,,baseline,1,0
wap_nudge,permitrev_ex,,,,,,baseline,1,0
wap_nudge,fiscalext,,,,,,baseline,1,0
wap_nudge,firm_cost_wtp,,,,,,baseline,1,0
wap_nudge,c_savings,0,,,,,baseline,1,0
wap_nudge,resource_cost,,,,,,baseline,1,0
wap_nudge,q_CO2_mck,,,,,,baseline,1,0
wap_nudge,q_CO2_mck_no,,,,,,baseline,1,0
wap_nudge,wtp_ctr,,,,,,baseline,1,0
wap_nudge,gas_corp_fisc_e,,,,,,baseline,1,0
wap_nudge,epsilon,,,,,,baseline,1,0
wap_nudge,transfer,,,,,,baseline,1,0
wap_nudge,enviro_wtp,,,,,,baseline,1,0
wap_nudge,cost_curve,,,,,,baseline,1,0
wap_nudge,profits,,,,,,baseline,1,0
wap_nudge,subsidies,,,,,,baseline,1,0
wap_nudge,taxes,,,,,,baseline,1,0
wap_nudge,wtp_batt,,,,,,baseline,1,0
wap_nudge,wtp_local_w_r,,,,,,baseline,1,0
wap_nudge,wind_g_wf,,,,,,baseline,1,0
wap_nudge,wind_l_wf,,,,,,baseline,1,0
