program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
wisc_rf,MVPF,.9286343612334801,,,,,baseline,1,0
wisc_rf,MVPF_no_cc,,,,,,baseline,1,0
wisc_rf,cost,11.35,,,,1,baseline,1,0
wisc_rf,WTP,10.54,,,,.92863435,baseline,1,0
wisc_rf,program_cost,11.35,,,,,baseline,1,0
wisc_rf,total_cost,11.35,,,,,baseline,1,0
wisc_rf,beh_fisc_ext,,,,,,baseline,1,0
wisc_rf,utility_fisc_ext,,,,,,baseline,1,0
wisc_rf,gas_fisc_ext,,,,,,baseline,1,0
wisc_rf,fed_fisc_ext,,,,,,baseline,1,0
wisc_rf,state_fisc_ext,,,,,,baseline,1,0
wisc_rf,WTP_USPres,10.01569705651671,,,,,baseline,1,0
wisc_rf,WTP_USFut,.0786454415224938,,,,,baseline,1,0
wisc_rf,WTP_RoW,.4456575019607982,,,,,baseline,1,0
wisc_rf,WTP_USTotal,,,,,,baseline,1,0
wisc_rf,enviro_mvpf,,,,,,baseline,1,0
wisc_rf,cost_mvpf,,,,,,baseline,1,0
wisc_rf,firm_mvpf,,,,,,baseline,1,0
wisc_rf,cost_wtp,,,,,,baseline,1,0
wisc_rf,env_cost_wtp,,,,,,baseline,1,0
wisc_rf,marginal,,,,,,baseline,1,0
wisc_rf,infmarg,,,,,,baseline,1,0
wisc_rf,wtp_private,,,,,,baseline,1,0
wisc_rf,wtp_soc,.8700000000000001,,,,,baseline,1,0
wisc_rf,wtp_no_ice,,,,,,baseline,1,0
wisc_rf,wtp_yes_ev,,,,,,baseline,1,0
wisc_rf,wtp_yes_hev,,,,,,baseline,1,0
wisc_rf,wtp_soc_rbd,,,,,,baseline,1,0
wisc_rf,wtp_yes_ev_local,,,,,,baseline,1,0
wisc_rf,wtp_no_ice_local,,,,,,baseline,1,0
wisc_rf,env_cost_wtp_l,,,,,,baseline,1,0
wisc_rf,wtp_soc_rbd_l,,,,,,baseline,1,0
wisc_rf,wtp_yes_ev_g,,,,,,baseline,1,0
wisc_rf,wtp_no_ice_g,,,,,,baseline,1,0
wisc_rf,env_cost_wtp_g,,,,,,baseline,1,0
wisc_rf,wtp_soc_rbd_g,,,,,,baseline,1,0
wisc_rf,wtp_marg,,,,,,baseline,1,0
wisc_rf,wtp_inf,,,,,,baseline,1,0
wisc_rf,wtp_glob,.524302943483292,,,,,baseline,1,0
wisc_rf,wtp_loc,.3456970565167081,,,,,baseline,1,0
wisc_rf,wtp_r_glob,0,,,,,baseline,1,0
wisc_rf,wtp_r_loc,0,,,,,baseline,1,0
wisc_rf,wtp_e_cost,,,,,,baseline,1,0
wisc_rf,WTP_cc,,,,,,baseline,1,0
wisc_rf,wtp_install,,,,,,baseline,1,0
wisc_rf,wtp_prod,.21,,,,,baseline,1,0
wisc_rf,wtp_prod_s,,,,,,baseline,1,0
wisc_rf,wtp_prod_u,,,,,,baseline,1,0
