program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
CPP_aj,MVPF,.458879841237589,,,,99999,,baseline,1,0
CPP_aj,MVPF_no_cc,,,,,99999,,baseline,1,0
CPP_aj,cost,.0117761437289951,,,,99999,1.1776143,baseline,1,0
CPP_aj,WTP,.0054038349647523,,,,99999,.54038352,baseline,1,0
CPP_aj,program_cost,.01,,,,99999,,baseline,1,0
CPP_aj,total_cost,.0117761437289951,,,,99999,,baseline,1,0
CPP_aj,beh_fisc_ext,,,,,99999,,baseline,1,0
CPP_aj,utility_fisc_ext,,,,,99999,,baseline,1,0
CPP_aj,gas_fisc_ext,,,,,99999,,baseline,1,0
CPP_aj,fed_fisc_ext,,,,,99999,,baseline,1,0
CPP_aj,state_fisc_ext,,,,,99999,,baseline,1,0
CPP_aj,WTP_USPres,.0064724185079066,,,,99999,,baseline,1,0
CPP_aj,WTP_USFut,-.000142549346435,,,,99999,,baseline,1,0
CPP_aj,WTP_RoW,-.0009260341967193,,,,99999,,baseline,1,0
CPP_aj,WTP_USTotal,,,,,99999,,baseline,1,0
CPP_aj,enviro_mvpf,,,,,99999,,baseline,1,0
CPP_aj,cost_mvpf,,,,,99999,,baseline,1,0
CPP_aj,firm_mvpf,,,,,99999,,baseline,1,0
CPP_aj,cost_wtp,,,,,99999,,baseline,1,0
CPP_aj,env_cost_wtp,,,,,99999,,baseline,1,0
CPP_aj,marginal,,,,,99999,,baseline,1,0
CPP_aj,infmarg,,,,,99999,,baseline,1,0
CPP_aj,wtp_private,,,,,99999,,baseline,1,0
CPP_aj,wtp_soc,-.0013857312755809,,,,99999,,baseline,1,0
CPP_aj,wtp_no_ice,,,,,99999,,baseline,1,0
CPP_aj,wtp_yes_ev,,,,,99999,,baseline,1,0
CPP_aj,wtp_yes_hev,,,,,99999,,baseline,1,0
CPP_aj,wtp_soc_rbd,,,,,99999,,baseline,1,0
CPP_aj,wtp_yes_ev_local,,,,,99999,,baseline,1,0
CPP_aj,wtp_no_ice_local,,,,,99999,,baseline,1,0
CPP_aj,env_cost_wtp_l,,,,,99999,,baseline,1,0
CPP_aj,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
CPP_aj,wtp_yes_ev_g,,,,,99999,,baseline,1,0
CPP_aj,wtp_no_ice_g,,,,,99999,,baseline,1,0
CPP_aj,env_cost_wtp_g,,,,,99999,,baseline,1,0
CPP_aj,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
CPP_aj,wtp_marg,,,,,99999,,baseline,1,0
CPP_aj,wtp_inf,,,,,99999,,baseline,1,0
CPP_aj,wtp_glob,-.0010685835431543,,,,99999,,baseline,1,0
CPP_aj,wtp_loc,-.0002962792794405,,,,99999,,baseline,1,0
