program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
PER,MVPF,1.515285819414599,,,,99999,,baseline,1,0
PER,MVPF_no_cc,,,,,99999,,baseline,1,0
PER,cost,.0618844439317152,,,,99999,.61884445,baseline,1,0
PER,WTP,.0937726203320859,,,,99999,.9377262,baseline,1,0
PER,program_cost,.1,,,,99999,,baseline,1,0
PER,total_cost,,,,,99999,,baseline,1,0
PER,beh_fisc_ext,,,,,99999,,baseline,1,0
PER,utility_fisc_ext,,,,,99999,,baseline,1,0
PER,gas_fisc_ext,,,,,99999,,baseline,1,0
PER,fed_fisc_ext,,,,,99999,,baseline,1,0
PER,state_fisc_ext,,,,,99999,,baseline,1,0
PER,WTP_USPres,.0753322187786107,,,,99999,,baseline,1,0
PER,WTP_USFut,.0024599547749792,,,,99999,,baseline,1,0
PER,WTP_RoW,.015980446778496,,,,99999,,baseline,1,0
PER,WTP_USTotal,,,,,99999,,baseline,1,0
PER,enviro_mvpf,,,,,99999,,baseline,1,0
PER,cost_mvpf,,,,,99999,,baseline,1,0
PER,firm_mvpf,,,,,99999,,baseline,1,0
PER,cost_wtp,,,,,99999,,baseline,1,0
PER,env_cost_wtp,,,,,99999,,baseline,1,0
PER,marginal,,,,,99999,,baseline,1,0
PER,infmarg,,,,,99999,,baseline,1,0
PER,wtp_private,,,,,99999,,baseline,1,0
PER,wtp_soc,.0246284264003707,,,,99999,,baseline,1,0
PER,wtp_no_ice,,,,,99999,,baseline,1,0
PER,wtp_yes_ev,,,,,99999,,baseline,1,0
PER,wtp_yes_hev,,,,,99999,,baseline,1,0
PER,wtp_soc_rbd,,,,,99999,,baseline,1,0
PER,wtp_yes_ev_local,,,,,99999,,baseline,1,0
PER,wtp_no_ice_local,,,,,99999,,baseline,1,0
PER,env_cost_wtp_l,,,,,99999,,baseline,1,0
PER,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
PER,wtp_yes_ev_g,,,,,99999,,baseline,1,0
PER,wtp_no_ice_g,,,,,99999,,baseline,1,0
PER,env_cost_wtp_g,,,,,99999,,baseline,1,0
PER,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
PER,wtp_marg,,,,,99999,,baseline,1,0
PER,wtp_inf,,,,,99999,,baseline,1,0
PER,wtp_glob,.0184404015534752,,,,99999,,baseline,1,0
PER,wtp_loc,.0058279007786107,,,,99999,,baseline,1,0
PER,wtp_r_glob,,,,,99999,,baseline,1,0
PER,wtp_r_loc,,,,,99999,,baseline,1,0
PER,wtp_e_cost,,,,,99999,,baseline,1,0
PER,WTP_cc,,,,,99999,,baseline,1,0
PER,wtp_install,,,,,99999,,baseline,1,0
PER,wtp_prod,.069504318,,,,99999,,baseline,1,0
