program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ac_mex,MVPF,.6903908018384738,,,,,baseline,1,0
ac_mex,MVPF_no_cc,,,,,,baseline,1,0
ac_mex,cost,127.1517379171166,,,,1.0011486,baseline,1,0
ac_mex,WTP,87.78439029575361,,,,.69118381,baseline,1,0
ac_mex,program_cost,127.0058556647439,,,,,baseline,1,0
ac_mex,total_cost,127.1517379171166,,,,,baseline,1,0
ac_mex,beh_fisc_ext,,,,,,baseline,1,0
ac_mex,utility_fisc_ext,,,,,,baseline,1,0
ac_mex,gas_fisc_ext,,,,,,baseline,1,0
ac_mex,fed_fisc_ext,,,,,,baseline,1,0
ac_mex,state_fisc_ext,,,,,,baseline,1,0
ac_mex,WTP_USPres,0,,,,,baseline,1,0
ac_mex,WTP_USFut,-.9965003034038835,,,,,baseline,1,0
ac_mex,WTP_RoW,88.78089059915749,,,,,baseline,1,0
ac_mex,WTP_USTotal,,,,,,baseline,1,0
ac_mex,enviro_mvpf,,,,,,baseline,1,0
ac_mex,cost_mvpf,,,,,,baseline,1,0
ac_mex,firm_mvpf,,,,,,baseline,1,0
ac_mex,cost_wtp,,,,,,baseline,1,0
ac_mex,env_cost_wtp,,,,,,baseline,1,0
ac_mex,marginal,,,,,,baseline,1,0
ac_mex,infmarg,,,,,,baseline,1,0
ac_mex,wtp_private,,,,,,baseline,1,0
ac_mex,wtp_soc,,,,,,baseline,1,0
ac_mex,wtp_no_ice,,,,,,baseline,1,0
ac_mex,wtp_yes_ev,,,,,,baseline,1,0
ac_mex,wtp_yes_hev,,,,,,baseline,1,0
ac_mex,wtp_soc_rbd,,,,,,baseline,1,0
ac_mex,wtp_yes_ev_local,,,,,,baseline,1,0
ac_mex,wtp_no_ice_local,,,,,,baseline,1,0
ac_mex,env_cost_wtp_l,,,,,,baseline,1,0
ac_mex,wtp_soc_rbd_l,,,,,,baseline,1,0
ac_mex,wtp_yes_ev_g,,,,,,baseline,1,0
ac_mex,wtp_no_ice_g,,,,,,baseline,1,0
ac_mex,env_cost_wtp_g,,,,,,baseline,1,0
ac_mex,wtp_soc_rbd_g,,,,,,baseline,1,0
ac_mex,wtp_marg,31.75146391618598,,,,,baseline,1,0
ac_mex,wtp_inf,63.50292783237195,,,,,baseline,1,0
ac_mex,wtp_glob,-9.289498646304558,,,,,baseline,1,0
ac_mex,wtp_loc,0,,,,,baseline,1,0
ac_mex,wtp_r_glob,1.819497193500231,,,,,baseline,1,0
ac_mex,wtp_r_loc,0,,,,,baseline,1,0
ac_mex,wtp_e_cost,,,,,,baseline,1,0
ac_mex,WTP_cc,,,,,,baseline,1,0
ac_mex,wtp_install,,,,,,baseline,1,0
ac_mex,wtp_prod,,,,,,baseline,1,0
ac_mex,wtp_prod_s,,,,,,baseline,1,0
ac_mex,wtp_prod_u,,,,,,baseline,1,0
ac_mex,wtp_cons,95.25439174855794,,,,,baseline,1,0
ac_mex,wtp_deal,,,,,,baseline,1,0
ac_mex,admin_cost,,,,,,baseline,1,0
ac_mex,wtp_permits,,,,,,baseline,1,0
ac_mex,wtp_abatement,,,,,,baseline,1,0
ac_mex,permitrev,,,,,,baseline,1,0
ac_mex,wtp_no_leak,,,,,,baseline,1,0
ac_mex,wtp_leak,,,,,,baseline,1,0
ac_mex,wtp_soc_g,,,,,,baseline,1,0
ac_mex,wtp_soc_l,,,,,,baseline,1,0
