program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
audit_nudge,MVPF,.5262276996592435,,,,99999,,baseline,1,0
audit_nudge,MVPF_no_cc,,,,,99999,,baseline,1,0
audit_nudge,cost,163.8602762206705,,,,99999,4.3840408,baseline,1,0
audit_nudge,WTP,86.22781622113169,,,,99999,2.3070037,baseline,1,0
audit_nudge,program_cost,37.37653982873866,,,,99999,,baseline,1,0
audit_nudge,total_cost,,,,,99999,,baseline,1,0
audit_nudge,beh_fisc_ext,,,,,99999,,baseline,1,0
audit_nudge,utility_fisc_ext,,,,,99999,,baseline,1,0
audit_nudge,gas_fisc_ext,,,,,99999,,baseline,1,0
audit_nudge,fed_fisc_ext,,,,,99999,,baseline,1,0
audit_nudge,state_fisc_ext,,,,,99999,,baseline,1,0
audit_nudge,WTP_USPres,-40.78923140229292,,,,99999,,baseline,1,0
audit_nudge,WTP_USFut,16.94411002379274,,,,99999,,baseline,1,0
audit_nudge,WTP_RoW,110.0729375996319,,,,99999,,baseline,1,0
audit_nudge,WTP_USTotal,,,,,99999,,baseline,1,0
audit_nudge,enviro_mvpf,,,,,99999,,baseline,1,0
audit_nudge,cost_mvpf,,,,,99999,,baseline,1,0
audit_nudge,firm_mvpf,,,,,99999,,baseline,1,0
audit_nudge,cost_wtp,,,,,99999,,baseline,1,0
audit_nudge,env_cost_wtp,,,,,99999,,baseline,1,0
audit_nudge,marginal,,,,,99999,,baseline,1,0
audit_nudge,infmarg,,,,,99999,,baseline,1,0
audit_nudge,wtp_private,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc,159.2499757926589,,,,99999,,baseline,1,0
audit_nudge,wtp_no_ice,,,,,99999,,baseline,1,0
audit_nudge,wtp_yes_ev,,,,,99999,,baseline,1,0
audit_nudge,wtp_yes_hev,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_rbd,,,,,99999,,baseline,1,0
audit_nudge,wtp_yes_ev_local,,,,,99999,,baseline,1,0
audit_nudge,wtp_no_ice_local,,,,,99999,,baseline,1,0
audit_nudge,env_cost_wtp_l,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
audit_nudge,wtp_yes_ev_g,,,,,99999,,baseline,1,0
audit_nudge,wtp_no_ice_g,,,,,99999,,baseline,1,0
audit_nudge,env_cost_wtp_g,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
audit_nudge,wtp_marg,,,,,99999,,baseline,1,0
audit_nudge,wtp_inf,,,,,99999,,baseline,1,0
audit_nudge,wtp_glob,157.9550819916436,,,,99999,,baseline,1,0
audit_nudge,wtp_loc,36.99931000095397,,,,99999,,baseline,1,0
audit_nudge,wtp_r_glob,-30.93803436821901,,,,99999,,baseline,1,0
audit_nudge,wtp_r_loc,-7.246907854920814,,,,99999,,baseline,1,0
audit_nudge,wtp_e_cost,,,,,99999,,baseline,1,0
audit_nudge,WTP_cc,,,,,99999,,baseline,1,0
audit_nudge,wtp_install,,,,,99999,,baseline,1,0
audit_nudge,wtp_prod,-70.54163354832608,,,,99999,,baseline,1,0
audit_nudge,wtp_prod_s,,,,,99999,,baseline,1,0
audit_nudge,wtp_prod_u,,,,,99999,,baseline,1,0
audit_nudge,wtp_cons,0,,,,99999,,baseline,1,0
audit_nudge,wtp_deal,,,,,99999,,baseline,1,0
audit_nudge,admin_cost,,,,,99999,,baseline,1,0
audit_nudge,wtp_permits,,,,,99999,,baseline,1,0
audit_nudge,wtp_abatement,,,,,99999,,baseline,1,0
audit_nudge,permitrev,,,,,99999,,baseline,1,0
audit_nudge,wtp_no_leak,,,,,99999,,baseline,1,0
audit_nudge,wtp_leak,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_g,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_l,,,,,99999,,baseline,1,0
audit_nudge,fisc_ext_t,40.26026241513294,,,,99999,,baseline,1,0
audit_nudge,fisc_ext_s,88.70400000000001,,,,99999,,baseline,1,0
audit_nudge,fisc_ext_lr,-2.480526023201116,,,,99999,,baseline,1,0
audit_nudge,q_CO2,.7960663921425125,,,,99999,,baseline,1,0
audit_nudge,q_CO2_no,,,,,99999,,baseline,1,0
audit_nudge,p_spend,37.37653982873866,,,,99999,,baseline,1,0
audit_nudge,ev_sub_c,,,,,99999,,baseline,1,0
audit_nudge,ev_sub_c_row,,,,,99999,,baseline,1,0
audit_nudge,ev_sub_c_us,,,,,99999,,baseline,1,0
audit_nudge,ev_sub_env,,,,,99999,,baseline,1,0
audit_nudge,ev_sub_cost,,,,,99999,,baseline,1,0
audit_nudge,profits_fisc_e,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_l_po,,,,,99999,,baseline,1,0
audit_nudge,wtp_soc_l_dr,,,,,99999,,baseline,1,0
audit_nudge,gov_carbon,.7960663921425125,,,,99999,,baseline,1,0
audit_nudge,resource_ce,-107.8937737499712,,,,99999,,baseline,1,0
audit_nudge,q_carbon_mck,.9899673673289892,,,,99999,,baseline,1,0
audit_nudge,semie,,,,,99999,,baseline,1,0
audit_nudge,pass_through,,,,,99999,,baseline,1,0
audit_nudge,permitrev_new,,,,,99999,,baseline,1,0
audit_nudge,permitrev_ex,,,,,99999,,baseline,1,0
audit_nudge,fiscalext,,,,,99999,,baseline,1,0
audit_nudge,firm_cost_wtp,,,,,99999,,baseline,1,0
audit_nudge,c_savings,0,,,,99999,,baseline,1,0
audit_nudge,resource_cost,,,,,99999,,baseline,1,0
audit_nudge,q_CO2_mck,,,,,99999,,baseline,1,0
audit_nudge,q_CO2_mck_no,,,,,99999,,baseline,1,0
audit_nudge,wtp_ctr,,,,,99999,,baseline,1,0
audit_nudge,gas_corp_fisc_e,,,,,99999,,baseline,1,0
audit_nudge,epsilon,,,,,99999,,baseline,1,0
audit_nudge,transfer,,,,,99999,,baseline,1,0
audit_nudge,enviro_wtp,,,,,99999,,baseline,1,0
audit_nudge,cost_curve,,,,,99999,,baseline,1,0
audit_nudge,profits,,,,,99999,,baseline,1,0
audit_nudge,subsidies,,,,,99999,,baseline,1,0
audit_nudge,taxes,,,,,99999,,baseline,1,0
audit_nudge,wtp_batt,,,,,99999,,baseline,1,0
audit_nudge,wtp_local_w_r,,,,,99999,,baseline,1,0
audit_nudge,wind_g_wf,,,,,99999,,baseline,1,0
audit_nudge,wind_l_wf,,,,,99999,,baseline,1,0
