program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bento_gas,MVPF,.6160587661472435,,,,99999,,baseline,1,0
bento_gas,MVPF_no_cc,.6160587661472435,,,,99999,,baseline,1,0
bento_gas,cost,.8805156282764468,,,,99999,.88051564,baseline,1,0
bento_gas,WTP,.5424493715293528,,,,99999,.54244936,baseline,1,0
bento_gas,program_cost,1,,,,99999,,baseline,1,0
bento_gas,total_cost,.8805156282764468,,,,99999,,baseline,1,0
bento_gas,beh_fisc_ext,,,,,99999,,baseline,1,0
bento_gas,utility_fisc_ext,,,,,99999,,baseline,1,0
bento_gas,gas_fisc_ext,,,,,99999,,baseline,1,0
bento_gas,fed_fisc_ext,,,,,99999,,baseline,1,0
bento_gas,state_fisc_ext,,,,,99999,,baseline,1,0
bento_gas,WTP_USPres,.7587540422543708,,,,99999,,baseline,1,0
bento_gas,WTP_USFut,-.0288551041612232,,,,99999,,baseline,1,0
bento_gas,WTP_RoW,-.1874495665637948,,,,99999,,baseline,1,0
bento_gas,WTP_USTotal,,,,,99999,,baseline,1,0
bento_gas,enviro_mvpf,,,,,99999,,baseline,1,0
bento_gas,cost_mvpf,,,,,99999,,baseline,1,0
bento_gas,firm_mvpf,,,,,99999,,baseline,1,0
bento_gas,cost_wtp,0,,,,99999,,baseline,1,0
bento_gas,env_cost_wtp,0,,,,99999,,baseline,1,0
bento_gas,marginal,,,,,99999,,baseline,1,0
bento_gas,infmarg,,,,,99999,,baseline,1,0
bento_gas,wtp_private,,,,,99999,,baseline,1,0
bento_gas,wtp_soc,-.5662927812266756,,,,99999,,baseline,1,0
bento_gas,wtp_no_ice,,,,,99999,,baseline,1,0
bento_gas,wtp_yes_ev,,,,,99999,,baseline,1,0
bento_gas,wtp_yes_hev,,,,,99999,,baseline,1,0
bento_gas,wtp_soc_rbd,,,,,99999,,baseline,1,0
bento_gas,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bento_gas,wtp_no_ice_local,,,,,99999,,baseline,1,0
bento_gas,env_cost_wtp_l,,,,,99999,,baseline,1,0
bento_gas,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bento_gas,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bento_gas,wtp_no_ice_g,,,,,99999,,baseline,1,0
bento_gas,env_cost_wtp_g,,,,,99999,,baseline,1,0
bento_gas,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bento_gas,wtp_marg,,,,,99999,,baseline,1,0
bento_gas,wtp_inf,,,,,99999,,baseline,1,0
bento_gas,wtp_glob,,,,,99999,,baseline,1,0
bento_gas,wtp_loc,,,,,99999,,baseline,1,0
bento_gas,wtp_r_glob,,,,,99999,,baseline,1,0
bento_gas,wtp_r_loc,,,,,99999,,baseline,1,0
bento_gas,wtp_e_cost,,,,,99999,,baseline,1,0
bento_gas,WTP_cc,,,,,99999,,baseline,1,0
bento_gas,wtp_install,,,,,99999,,baseline,1,0
bento_gas,wtp_prod,.1087421527560283,,,,99999,,baseline,1,0
bento_gas,wtp_prod_s,.1087421527560283,,,,99999,,baseline,1,0
bento_gas,wtp_prod_u,0,,,,99999,,baseline,1,0
bento_gas,wtp_cons,1,,,,99999,,baseline,1,0
bento_gas,wtp_deal,,,,,99999,,baseline,1,0
bento_gas,admin_cost,,,,,99999,,baseline,1,0
bento_gas,wtp_permits,,,,,99999,,baseline,1,0
bento_gas,wtp_abatement,,,,,99999,,baseline,1,0
bento_gas,permitrev,,,,,99999,,baseline,1,0
bento_gas,wtp_no_leak,,,,,99999,,baseline,1,0
bento_gas,wtp_leak,,,,,99999,,baseline,1,0
bento_gas,wtp_soc_g,-.216304670725018,,,,99999,,baseline,1,0
bento_gas,wtp_soc_l,-.3499881105016575,,,,99999,,baseline,1,0
bento_gas,fisc_ext_t,-.1237086028382938,,,,99999,,baseline,1,0
bento_gas,fisc_ext_s,0,,,,99999,,baseline,1,0
bento_gas,fisc_ext_lr,.0042242311147406,,,,99999,,baseline,1,0
bento_gas,q_CO2,-.0017815873234823,,,,99999,,baseline,1,0
bento_gas,q_CO2_no,.0017815873234823,,,,99999,,baseline,1,0
bento_gas,p_spend,.9051975390335618,,,,99999,,baseline,1,0
bento_gas,ev_sub_c,,,,,99999,,baseline,1,0
bento_gas,ev_sub_c_row,,,,,99999,,baseline,1,0
bento_gas,ev_sub_c_us,,,,,99999,,baseline,1,0
bento_gas,ev_sub_env,,,,,99999,,baseline,1,0
bento_gas,ev_sub_cost,,,,,99999,,baseline,1,0
bento_gas,profits_fisc_e,,,,,99999,,baseline,1,0
bento_gas,wtp_soc_l_po,-.1324880271427107,,,,99999,,baseline,1,0
bento_gas,wtp_soc_l_dr,-.2175000833589467,,,,99999,,baseline,1,0
bento_gas,gov_carbon,-.0017815873234823,,,,99999,,baseline,1,0
bento_gas,resource_ce,-143.9159241526742,,,,99999,,baseline,1,0
bento_gas,q_carbon_mck,.007052872870456,,,,99999,,baseline,1,0
bento_gas,semie,-.2526044856054705,,,,99999,,baseline,1,0
bento_gas,pass_through,,,,,99999,,baseline,1,0
