program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
bolk_Germany,MVPF,10.79577102468434,,,,,baseline,1,0
bolk_Germany,MVPF_no_cc,6.076649086939914,,,,,baseline,1,0
bolk_Germany,cost,116.3259331362186,,,,1.407923,baseline,1,0
bolk_Germany,WTP,759.1606376576029,,,,9.1883183,baseline,1,0
bolk_Germany,program_cost,82.62236706367088,,,,,baseline,1,0
bolk_Germany,total_cost,116.3259331362186,,,,,baseline,1,0
bolk_Germany,beh_fisc_ext,,,,,,baseline,1,0
bolk_Germany,utility_fisc_ext,,,,,,baseline,1,0
bolk_Germany,gas_fisc_ext,,,,,,baseline,1,0
bolk_Germany,fed_fisc_ext,,,,,,baseline,1,0
bolk_Germany,state_fisc_ext,,,,,,baseline,1,0
bolk_Germany,WTP_USPres,274.1904794518193,,,,,baseline,1,0
bolk_Germany,WTP_USFut,139.3239509308627,,,,,baseline,1,0
bolk_Germany,WTP_RoW,842.3137079886751,,,,,baseline,1,0
bolk_Germany,WTP_USTotal,,,,,,baseline,1,0
bolk_Germany,enviro_mvpf,4.841048040068149,,,,,baseline,1,0
bolk_Germany,cost_mvpf,1.170247912406921,,,,,baseline,1,0
bolk_Germany,firm_mvpf,,,,,,baseline,1,0
bolk_Germany,cost_wtp,96.68865257437919,,,,,baseline,1,0
bolk_Germany,env_cost_wtp,399.9788481393751,,,,,baseline,1,0
bolk_Germany,marginal,,,,,,baseline,1,0
bolk_Germany,infmarg,,,,,,baseline,1,0
bolk_Germany,wtp_private,82.62236706367088,,,,,baseline,1,0
bolk_Germany,wtp_soc,686.4315945869762,,,,,baseline,1,0
bolk_Germany,wtp_no_ice,,,,,,baseline,1,0
bolk_Germany,wtp_yes_ev,,,,,,baseline,1,0
bolk_Germany,wtp_yes_hev,,,,,,baseline,1,0
bolk_Germany,wtp_soc_rbd,-167.8578827040951,,,,,baseline,1,0
bolk_Germany,wtp_yes_ev_local,,,,,,baseline,1,0
bolk_Germany,wtp_no_ice_local,,,,,,baseline,1,0
bolk_Germany,env_cost_wtp_l,21.62432740932114,,,,,baseline,1,0
bolk_Germany,wtp_soc_rbd_l,,,,,,baseline,1,0
bolk_Germany,wtp_yes_ev_g,,,,,,baseline,1,0
bolk_Germany,wtp_no_ice_g,,,,,,baseline,1,0
bolk_Germany,env_cost_wtp_g,378.3545207300539,,,,,baseline,1,0
bolk_Germany,wtp_soc_rbd_g,,,,,,baseline,1,0
bolk_Germany,wtp_marg,,,,,,baseline,1,0
bolk_Germany,wtp_inf,,,,,,baseline,1,0
bolk_Germany,wtp_glob,519.2018933676611,,,,,baseline,1,0
bolk_Germany,wtp_loc,169.9437849788272,,,,,baseline,1,0
bolk_Germany,wtp_r_glob,-126.4640166151266,,,,,baseline,1,0
bolk_Germany,wtp_r_loc,-41.39386608896855,,,,,baseline,1,0
bolk_Germany,wtp_e_cost,-12.60740775255633,,,,,baseline,1,0
bolk_Germany,WTP_cc,1255.828138371357,,,,,baseline,1,0
bolk_Germany,wtp_install,,,,,,baseline,1,0
bolk_Germany,wtp_prod,82.62236706367088,,,,,baseline,1,0
bolk_Germany,wtp_prod_s,,,,,,baseline,1,0
bolk_Germany,wtp_prod_u,,,,,,baseline,1,0
bolk_Germany,wtp_cons,0,,,,,baseline,1,0
bolk_Germany,wtp_deal,,,,,,baseline,1,0
bolk_Germany,admin_cost,,,,,,baseline,1,0
bolk_Germany,wtp_permits,,,,,,baseline,1,0
bolk_Germany,wtp_abatement,,,,,,baseline,1,0
bolk_Germany,permitrev,,,,,,baseline,1,0
bolk_Germany,wtp_no_leak,,,,,,baseline,1,0
bolk_Germany,wtp_leak,,,,,,baseline,1,0
bolk_Germany,wtp_soc_g,,,,,,baseline,1,0
bolk_Germany,wtp_soc_l,,,,,,baseline,1,0
bolk_Germany,fisc_ext_t,0,,,,,baseline,1,0
bolk_Germany,fisc_ext_s,50.98580558698832,,,,,baseline,1,0
bolk_Germany,fisc_ext_lr,-17.28223951444063,,,,,baseline,1,0
bolk_Germany,q_CO2,3.737084841489304,,,,,baseline,1,0
bolk_Germany,q_CO2_no,,,,,,baseline,1,0
bolk_Germany,p_spend,133.6081726506592,,,,,baseline,1,0
bolk_Germany,ev_sub_c,,,,,,baseline,1,0
bolk_Germany,ev_sub_c_row,,,,,,baseline,1,0
bolk_Germany,ev_sub_c_us,,,,,,baseline,1,0
bolk_Germany,ev_sub_env,,,,,,baseline,1,0
bolk_Germany,ev_sub_cost,,,,,,baseline,1,0
bolk_Germany,profits_fisc_e,,,,,,baseline,1,0
bolk_Germany,wtp_soc_l_po,,,,,,baseline,1,0
bolk_Germany,wtp_soc_l_dr,,,,,,baseline,1,0
bolk_Germany,gov_carbon,.0001174497658147,,,,,baseline,1,0
bolk_Germany,resource_ce,-42.23843697503107,,,,,baseline,1,0
bolk_Germany,q_carbon_mck,.000396380954224,,,,,baseline,1,0
bolk_Germany,semie,-.3709851442101607,,,,,baseline,1,0
bolk_Germany,pass_through,,,,,,baseline,1,0
bolk_Germany,permitrev_new,,,,,,baseline,1,0
bolk_Germany,permitrev_ex,,,,,,baseline,1,0
bolk_Germany,fiscalext,,,,,,baseline,1,0
bolk_Germany,firm_cost_wtp,,,,,,baseline,1,0
bolk_Germany,c_savings,,,,,,baseline,1,0
bolk_Germany,resource_cost,4015000,,,,,baseline,1,0
bolk_Germany,q_CO2_mck,.000396380954224,,,,,baseline,1,0
bolk_Germany,q_CO2_mck_no,,,,,,baseline,1,0
bolk_Germany,wtp_ctr,,,,,,baseline,1,0
bolk_Germany,gas_corp_fisc_e,,,,,,baseline,1,0
bolk_Germany,epsilon,-1.973,,,,,baseline,1,0
bolk_Germany,transfer,,,,,,baseline,1,0
bolk_Germany,enviro_wtp,,,,,,baseline,1,0
bolk_Germany,cost_curve,,,,,,baseline,1,0
bolk_Germany,profits,,,,,,baseline,1,0
bolk_Germany,subsidies,,,,,,baseline,1,0
bolk_Germany,taxes,,,,,,baseline,1,0
bolk_Germany,wtp_batt,,,,,,baseline,1,0
bolk_Germany,wtp_local_w_r,,,,,,baseline,1,0
bolk_Germany,wind_g_wf,645.6659099827878,,,,,baseline,1,0
bolk_Germany,wind_l_wf,211.3376510677958,,,,,baseline,1,0
