program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
bunker_fuel,MVPF,.9453140912318221,,,,99999,,baseline,1,0
bunker_fuel,MVPF_no_cc,,,,,99999,,baseline,1,0
bunker_fuel,cost,.9990862431210304,,,,99999,.99908626,baseline,1,0
bunker_fuel,WTP,.9444503039781722,,,,99999,.94445032,baseline,1,0
bunker_fuel,program_cost,1,,,,99999,,baseline,1,0
bunker_fuel,total_cost,,,,,99999,,baseline,1,0
bunker_fuel,beh_fisc_ext,,,,,99999,,baseline,1,0
bunker_fuel,utility_fisc_ext,,,,,99999,,baseline,1,0
bunker_fuel,gas_fisc_ext,,,,,99999,,baseline,1,0
bunker_fuel,fed_fisc_ext,,,,,99999,,baseline,1,0
bunker_fuel,state_fisc_ext,,,,,99999,,baseline,1,0
bunker_fuel,WTP_USPres,1.006645257152423,,,,99999,,baseline,1,0
bunker_fuel,WTP_USFut,-.0082968243178941,,,,99999,,baseline,1,0
bunker_fuel,WTP_RoW,-.0538981288563564,,,,99999,,baseline,1,0
bunker_fuel,WTP_USTotal,,,,,99999,,baseline,1,0
bunker_fuel,enviro_mvpf,,,,,99999,,baseline,1,0
bunker_fuel,cost_mvpf,,,,,99999,,baseline,1,0
bunker_fuel,firm_mvpf,,,,,99999,,baseline,1,0
bunker_fuel,cost_wtp,0,,,,99999,,baseline,1,0
bunker_fuel,env_cost_wtp,0,,,,99999,,baseline,1,0
bunker_fuel,marginal,,,,,99999,,baseline,1,0
bunker_fuel,infmarg,,,,,99999,,baseline,1,0
bunker_fuel,wtp_private,,,,,99999,,baseline,1,0
bunker_fuel,wtp_soc,-.0635564102192492,,,,99999,,baseline,1,0
bunker_fuel,wtp_no_ice,,,,,99999,,baseline,1,0
bunker_fuel,wtp_yes_ev,,,,,99999,,baseline,1,0
bunker_fuel,wtp_yes_hev,,,,,99999,,baseline,1,0
bunker_fuel,wtp_soc_rbd,-1.00000000000e-20,,,,99999,,baseline,1,0
bunker_fuel,wtp_yes_ev_local,,,,,99999,,baseline,1,0
bunker_fuel,wtp_no_ice_local,,,,,99999,,baseline,1,0
bunker_fuel,env_cost_wtp_l,,,,,99999,,baseline,1,0
bunker_fuel,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
bunker_fuel,wtp_yes_ev_g,,,,,99999,,baseline,1,0
bunker_fuel,wtp_no_ice_g,,,,,99999,,baseline,1,0
bunker_fuel,env_cost_wtp_g,,,,,99999,,baseline,1,0
bunker_fuel,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
bunker_fuel,wtp_marg,,,,,99999,,baseline,1,0
