program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
c4a_cw,MVPF,1.460371567748713,,,,,baseline,1,0
c4a_cw,MVPF_no_cc,,,,,,baseline,1,0
c4a_cw,cost,108.1843168511693,,,,1.0110683,baseline,1,0
c4a_cw,WTP,157.9893004057656,,,,1.4765356,baseline,1,0
c4a_cw,program_cost,107,,,,,baseline,1,0
c4a_cw,total_cost,,,,,,baseline,1,0
c4a_cw,beh_fisc_ext,,,,,,baseline,1,0
c4a_cw,utility_fisc_ext,,,,,,baseline,1,0
c4a_cw,gas_fisc_ext,,,,,,baseline,1,0
c4a_cw,fed_fisc_ext,,,,,,baseline,1,0
c4a_cw,state_fisc_ext,,,,,,baseline,1,0
c4a_cw,WTP_USPres,118.2755597128581,,,,,baseline,1,0
c4a_cw,WTP_USFut,5.29782422397369,,,,,baseline,1,0
c4a_cw,WTP_RoW,34.41591646893374,,,,,baseline,1,0
c4a_cw,WTP_USTotal,,,,,,baseline,1,0
c4a_cw,enviro_mvpf,,,,,,baseline,1,0
c4a_cw,cost_mvpf,,,,,,baseline,1,0
c4a_cw,firm_mvpf,,,,,,baseline,1,0
c4a_cw,cost_wtp,,,,,,baseline,1,0
c4a_cw,env_cost_wtp,,,,,,baseline,1,0
c4a_cw,marginal,,,,,,baseline,1,0
c4a_cw,infmarg,,,,,,baseline,1,0
c4a_cw,wtp_private,,,,,,baseline,1,0
c4a_cw,wtp_soc,60.45535188165617,,,,,baseline,1,0
c4a_cw,wtp_no_ice,,,,,,baseline,1,0
c4a_cw,wtp_yes_ev,,,,,,baseline,1,0
c4a_cw,wtp_yes_hev,,,,,,baseline,1,0
c4a_cw,wtp_soc_rbd,,,,,,baseline,1,0
c4a_cw,wtp_yes_ev_local,,,,,,baseline,1,0
c4a_cw,wtp_no_ice_local,,,,,,baseline,1,0
c4a_cw,env_cost_wtp_l,,,,,,baseline,1,0
c4a_cw,wtp_soc_rbd_l,,,,,,baseline,1,0
c4a_cw,wtp_yes_ev_g,,,,,,baseline,1,0
c4a_cw,wtp_no_ice_g,,,,,,baseline,1,0
c4a_cw,env_cost_wtp_g,,,,,,baseline,1,0
c4a_cw,wtp_soc_rbd_g,,,,,,baseline,1,0
c4a_cw,wtp_marg,5.0825,,,,,baseline,1,0
c4a_cw,wtp_inf,96.83500000000001,,,,,baseline,1,0
c4a_cw,wtp_glob,49.38697036905617,,,,,baseline,1,0
c4a_cw,wtp_loc,24.82924370986936,,,,,baseline,1,0
c4a_cw,wtp_r_glob,-9.673229676148738,,,,,baseline,1,0
c4a_cw,wtp_r_loc,-4.863205321076424,,,,,baseline,1,0
