program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
c4a_cw,MVPF,1.460371567748713,,,,99999,,baseline,1,0
c4a_cw,MVPF_no_cc,,,,,99999,,baseline,1,0
c4a_cw,cost,108.1843168511693,,,,99999,1.0110683,baseline,1,0
c4a_cw,WTP,157.9893004057656,,,,99999,1.4765356,baseline,1,0
c4a_cw,program_cost,107,,,,99999,,baseline,1,0
c4a_cw,total_cost,,,,,99999,,baseline,1,0
c4a_cw,beh_fisc_ext,,,,,99999,,baseline,1,0
c4a_cw,utility_fisc_ext,,,,,99999,,baseline,1,0
c4a_cw,gas_fisc_ext,,,,,99999,,baseline,1,0
c4a_cw,fed_fisc_ext,,,,,99999,,baseline,1,0
c4a_cw,state_fisc_ext,,,,,99999,,baseline,1,0
c4a_cw,WTP_USPres,118.2755597128581,,,,99999,,baseline,1,0
c4a_cw,WTP_USFut,5.29782422397369,,,,99999,,baseline,1,0
c4a_cw,WTP_RoW,34.41591646893374,,,,99999,,baseline,1,0
c4a_cw,WTP_USTotal,,,,,99999,,baseline,1,0
c4a_cw,enviro_mvpf,,,,,99999,,baseline,1,0
c4a_cw,cost_mvpf,,,,,99999,,baseline,1,0
c4a_cw,firm_mvpf,,,,,99999,,baseline,1,0
c4a_cw,cost_wtp,,,,,99999,,baseline,1,0
c4a_cw,env_cost_wtp,,,,,99999,,baseline,1,0
c4a_cw,marginal,,,,,99999,,baseline,1,0
c4a_cw,infmarg,,,,,99999,,baseline,1,0
c4a_cw,wtp_private,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc,60.45535188165617,,,,99999,,baseline,1,0
c4a_cw,wtp_no_ice,,,,,99999,,baseline,1,0
c4a_cw,wtp_yes_ev,,,,,99999,,baseline,1,0
c4a_cw,wtp_yes_hev,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_rbd,,,,,99999,,baseline,1,0
c4a_cw,wtp_yes_ev_local,,,,,99999,,baseline,1,0
c4a_cw,wtp_no_ice_local,,,,,99999,,baseline,1,0
c4a_cw,env_cost_wtp_l,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
c4a_cw,wtp_yes_ev_g,,,,,99999,,baseline,1,0
c4a_cw,wtp_no_ice_g,,,,,99999,,baseline,1,0
c4a_cw,env_cost_wtp_g,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
c4a_cw,wtp_marg,5.0825,,,,99999,,baseline,1,0
c4a_cw,wtp_inf,96.83500000000001,,,,99999,,baseline,1,0
c4a_cw,wtp_glob,49.38697036905617,,,,99999,,baseline,1,0
c4a_cw,wtp_loc,24.82924370986936,,,,99999,,baseline,1,0
c4a_cw,wtp_r_glob,-9.673229676148738,,,,99999,,baseline,1,0
c4a_cw,wtp_r_loc,-4.863205321076424,,,,99999,,baseline,1,0
c4a_cw,wtp_e_cost,,,,,99999,,baseline,1,0
c4a_cw,WTP_cc,,,,,99999,,baseline,1,0
c4a_cw,wtp_install,,,,,99999,,baseline,1,0
c4a_cw,wtp_prod,-3.607978675934806,,,,99999,,baseline,1,0
c4a_cw,wtp_prod_s,,,,,99999,,baseline,1,0
c4a_cw,wtp_prod_u,,,,,99999,,baseline,1,0
c4a_cw,wtp_cons,,,,,99999,,baseline,1,0
c4a_cw,wtp_deal,,,,,99999,,baseline,1,0
c4a_cw,admin_cost,,,,,99999,,baseline,1,0
c4a_cw,wtp_permits,,,,,99999,,baseline,1,0
c4a_cw,wtp_abatement,,,,,99999,,baseline,1,0
c4a_cw,permitrev,,,,,99999,,baseline,1,0
c4a_cw,wtp_no_leak,,,,,99999,,baseline,1,0
c4a_cw,wtp_leak,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_g,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_l,,,,,99999,,baseline,1,0
c4a_cw,fisc_ext_t,1.959889651125055,,,,99999,,baseline,1,0
c4a_cw,fisc_ext_s,0,,,,99999,,baseline,1,0
c4a_cw,fisc_ext_lr,-.7755727999557953,,,,99999,,baseline,1,0
c4a_cw,q_CO2,.2817180604274259,,,,99999,,baseline,1,0
c4a_cw,q_CO2_no,,,,,99999,,baseline,1,0
c4a_cw,p_spend,107,,,,99999,,baseline,1,0
c4a_cw,ev_sub_c,,,,,99999,,baseline,1,0
c4a_cw,ev_sub_c_row,,,,,99999,,baseline,1,0
c4a_cw,ev_sub_c_us,,,,,99999,,baseline,1,0
c4a_cw,ev_sub_env,,,,,99999,,baseline,1,0
c4a_cw,ev_sub_cost,,,,,99999,,baseline,1,0
c4a_cw,profits_fisc_e,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_l_po,,,,,99999,,baseline,1,0
c4a_cw,wtp_soc_l_dr,,,,,99999,,baseline,1,0
c4a_cw,gov_carbon,.3021812489539672,,,,99999,,baseline,1,0
c4a_cw,resource_ce,27.58221544245398,,,,99999,,baseline,1,0
c4a_cw,q_carbon_mck,3.180855252147023,,,,99999,,baseline,1,0
c4a_cw,semie,,,,,99999,,baseline,1,0
c4a_cw,pass_through,,,,,99999,,baseline,1,0
c4a_cw,permitrev_new,,,,,99999,,baseline,1,0
c4a_cw,permitrev_ex,,,,,99999,,baseline,1,0
c4a_cw,fiscalext,,,,,99999,,baseline,1,0
c4a_cw,firm_cost_wtp,,,,,99999,,baseline,1,0
c4a_cw,c_savings,0,,,,99999,,baseline,1,0
c4a_cw,resource_cost,,,,,99999,,baseline,1,0
c4a_cw,q_CO2_mck,,,,,99999,,baseline,1,0
c4a_cw,q_CO2_mck_no,,,,,99999,,baseline,1,0
c4a_cw,wtp_ctr,,,,,99999,,baseline,1,0
c4a_cw,gas_corp_fisc_e,,,,,99999,,baseline,1,0
c4a_cw,epsilon,,,,,99999,,baseline,1,0
c4a_cw,transfer,,,,,99999,,baseline,1,0
c4a_cw,enviro_wtp,,,,,99999,,baseline,1,0
c4a_cw,cost_curve,,,,,99999,,baseline,1,0
c4a_cw,profits,,,,,99999,,baseline,1,0
c4a_cw,subsidies,,,,,99999,,baseline,1,0
c4a_cw,taxes,,,,,99999,,baseline,1,0
c4a_cw,wtp_batt,,,,,99999,,baseline,1,0
c4a_cw,wtp_local_w_r,,,,,99999,,baseline,1,0
c4a_cw,wind_g_wf,,,,,99999,,baseline,1,0
c4a_cw,wind_l_wf,,,,,99999,,baseline,1,0
