program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
cw_datta,MVPF,2.125501417633399,,,,99999,,baseline,1,0
cw_datta,MVPF_no_cc,,,,,99999,,baseline,1,0
cw_datta,cost,1.325013632019407,,,,99999,1.3250136,baseline,1,0
cw_datta,WTP,2.816318353240829,,,,99999,2.8163183,baseline,1,0
cw_datta,program_cost,1,,,,99999,,baseline,1,0
cw_datta,total_cost,1.325013632019407,,,,99999,,baseline,1,0
cw_datta,beh_fisc_ext,,,,,99999,,baseline,1,0
cw_datta,utility_fisc_ext,,,,,99999,,baseline,1,0
cw_datta,gas_fisc_ext,,,,,99999,,baseline,1,0
cw_datta,fed_fisc_ext,,,,,99999,,baseline,1,0
cw_datta,state_fisc_ext,,,,,99999,,baseline,1,0
cw_datta,WTP_USPres,1.643847934519818,,,,99999,,baseline,1,0
cw_datta,WTP_USFut,.156407884974232,,,,99999,,baseline,1,0
cw_datta,WTP_RoW,1.016062533746778,,,,99999,,baseline,1,0
cw_datta,WTP_USTotal,,,,,99999,,baseline,1,0
cw_datta,enviro_mvpf,,,,,99999,,baseline,1,0
cw_datta,cost_mvpf,,,,,99999,,baseline,1,0
cw_datta,firm_mvpf,,,,,99999,,baseline,1,0
cw_datta,cost_wtp,,,,,99999,,baseline,1,0
cw_datta,env_cost_wtp,,,,,99999,,baseline,1,0
cw_datta,marginal,,,,,99999,,baseline,1,0
cw_datta,infmarg,,,,,99999,,baseline,1,0
cw_datta,wtp_private,,,,,99999,,baseline,1,0
cw_datta,wtp_soc,1.947065262474015,,,,99999,,baseline,1,0
cw_datta,wtp_no_ice,,,,,99999,,baseline,1,0
cw_datta,wtp_yes_ev,,,,,99999,,baseline,1,0
cw_datta,wtp_yes_hev,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_rbd,,,,,99999,,baseline,1,0
cw_datta,wtp_yes_ev_local,,,,,99999,,baseline,1,0
cw_datta,wtp_no_ice_local,,,,,99999,,baseline,1,0
cw_datta,env_cost_wtp_l,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
cw_datta,wtp_yes_ev_g,,,,,99999,,baseline,1,0
cw_datta,wtp_no_ice_g,,,,,99999,,baseline,1,0
cw_datta,env_cost_wtp_g,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
cw_datta,wtp_marg,,,,,99999,,baseline,1,0
cw_datta,wtp_inf,,,,,99999,,baseline,1,0
cw_datta,wtp_glob,1.458053580893496,,,,99999,,baseline,1,0
cw_datta,wtp_loc,.9347914663919896,,,,99999,,baseline,1,0
cw_datta,wtp_r_glob,-.2855831621724854,,,,99999,,baseline,1,0
cw_datta,wtp_r_loc,-.1830938906788908,,,,99999,,baseline,1,0
cw_datta,wtp_e_cost,,,,,99999,,baseline,1,0
cw_datta,WTP_cc,,,,,99999,,baseline,1,0
cw_datta,wtp_install,,,,,99999,,baseline,1,0
cw_datta,wtp_prod,-.1078496411932806,,,,99999,,baseline,1,0
cw_datta,wtp_prod_s,,,,,99999,,baseline,1,0
cw_datta,wtp_prod_u,,,,,99999,,baseline,1,0
cw_datta,wtp_cons,1,,,,99999,,baseline,1,0
cw_datta,wtp_deal,,,,,99999,,baseline,1,0
cw_datta,admin_cost,,,,,99999,,baseline,1,0
cw_datta,wtp_permits,,,,,99999,,baseline,1,0
cw_datta,wtp_abatement,,,,,99999,,baseline,1,0
cw_datta,permitrev,,,,,99999,,baseline,1,0
cw_datta,wtp_no_leak,,,,,99999,,baseline,1,0
cw_datta,wtp_leak,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_g,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_l,,,,,99999,,baseline,1,0
cw_datta,fisc_ext_t,.0585849902778313,,,,99999,,baseline,1,0
cw_datta,fisc_ext_s,.289325909781481,,,,99999,,baseline,1,0
cw_datta,fisc_ext_lr,-.0228972680399053,,,,99999,,baseline,1,0
cw_datta,q_CO2,.0095447866919314,,,,99999,,baseline,1,0
cw_datta,q_CO2_no,,,,,99999,,baseline,1,0
cw_datta,p_spend,1.289325909781481,,,,99999,,baseline,1,0
cw_datta,ev_sub_c,,,,,99999,,baseline,1,0
cw_datta,ev_sub_c_row,,,,,99999,,baseline,1,0
cw_datta,ev_sub_c_us,,,,,99999,,baseline,1,0
cw_datta,ev_sub_env,,,,,99999,,baseline,1,0
cw_datta,ev_sub_cost,,,,,99999,,baseline,1,0
cw_datta,profits_fisc_e,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_l_po,,,,,99999,,baseline,1,0
cw_datta,wtp_soc_l_dr,,,,,99999,,baseline,1,0
cw_datta,gov_carbon,.0118696473640813,,,,99999,,baseline,1,0
cw_datta,resource_ce,53.50234347524216,,,,99999,,baseline,1,0
cw_datta,q_carbon_mck,3.004974016223113,,,,99999,,baseline,1,0
cw_datta,semie,.00395,,,,99999,,baseline,1,0
cw_datta,pass_through,,,,,99999,,baseline,1,0
cw_datta,permitrev_new,,,,,99999,,baseline,1,0
cw_datta,permitrev_ex,,,,,99999,,baseline,1,0
cw_datta,fiscalext,,,,,99999,,baseline,1,0
cw_datta,firm_cost_wtp,,,,,99999,,baseline,1,0
cw_datta,c_savings,0,,,,99999,,baseline,1,0
cw_datta,resource_cost,,,,,99999,,baseline,1,0
cw_datta,q_CO2_mck,,,,,99999,,baseline,1,0
cw_datta,q_CO2_mck_no,,,,,99999,,baseline,1,0
cw_datta,wtp_ctr,,,,,99999,,baseline,1,0
cw_datta,gas_corp_fisc_e,,,,,99999,,baseline,1,0
cw_datta,epsilon,,,,,99999,,baseline,1,0
cw_datta,transfer,,,,,99999,,baseline,1,0
cw_datta,enviro_wtp,,,,,99999,,baseline,1,0
cw_datta,cost_curve,,,,,99999,,baseline,1,0
cw_datta,profits,,,,,99999,,baseline,1,0
cw_datta,subsidies,,,,,99999,,baseline,1,0
cw_datta,taxes,,,,,99999,,baseline,1,0
cw_datta,wtp_batt,,,,,99999,,baseline,1,0
cw_datta,wtp_local_w_r,,,,,99999,,baseline,1,0
cw_datta,wind_g_wf,,,,,99999,,baseline,1,0
cw_datta,wind_l_wf,,,,,99999,,baseline,1,0
