program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
es_incent,MVPF,.8160902027200317,,,,,baseline,1,0
es_incent,MVPF_no_cc,,,,,,baseline,1,0
es_incent,cost,137.0534866781441,,,,1.0964279,baseline,1,0
es_incent,WTP,111.8480077266538,,,,.89478403,baseline,1,0
es_incent,program_cost,125,,,,,baseline,1,0
es_incent,total_cost,137.0534866781441,,,,,baseline,1,0
es_incent,beh_fisc_ext,,,,,,baseline,1,0
es_incent,utility_fisc_ext,,,,,,baseline,1,0
es_incent,gas_fisc_ext,,,,,,baseline,1,0
es_incent,fed_fisc_ext,,,,,,baseline,1,0
es_incent,state_fisc_ext,,,,,,baseline,1,0
es_incent,WTP_USPres,-38.75527547865632,,,,,baseline,1,0
es_incent,WTP_USFut,20.09052051139456,,,,,baseline,1,0
es_incent,WTP_RoW,130.5127626939155,,,,,baseline,1,0
es_incent,WTP_USTotal,,,,,,baseline,1,0
es_incent,enviro_mvpf,,,,,,baseline,1,0
es_incent,cost_mvpf,,,,,,baseline,1,0
es_incent,firm_mvpf,,,,,,baseline,1,0
es_incent,cost_wtp,,,,,,baseline,1,0
es_incent,env_cost_wtp,,,,,,baseline,1,0
es_incent,marginal,,,,,,baseline,1,0
es_incent,infmarg,,,,,,baseline,1,0
es_incent,wtp_private,,,,,,baseline,1,0
es_incent,wtp_soc,153.5444266987242,,,,,baseline,1,0
es_incent,wtp_no_ice,,,,,,baseline,1,0
es_incent,wtp_yes_ev,,,,,,baseline,1,0
es_incent,wtp_yes_hev,,,,,,baseline,1,0
es_incent,wtp_soc_rbd,,,,,,baseline,1,0
es_incent,wtp_yes_ev_local,,,,,,baseline,1,0
es_incent,wtp_no_ice_local,,,,,,baseline,1,0
es_incent,env_cost_wtp_l,,,,,,baseline,1,0
es_incent,wtp_soc_rbd_l,,,,,,baseline,1,0
es_incent,wtp_yes_ev_g,,,,,,baseline,1,0
es_incent,wtp_no_ice_g,,,,,,baseline,1,0
es_incent,env_cost_wtp_g,,,,,,baseline,1,0
es_incent,wtp_soc_rbd_g,,,,,,baseline,1,0
es_incent,wtp_marg,48.02631578947368,,,,,baseline,1,0
es_incent,wtp_inf,3.94736842105263,,,,,baseline,1,0
es_incent,wtp_glob,170.6837209660181,,,,,baseline,1,0
es_incent,wtp_loc,0,,,,,baseline,1,0
es_incent,wtp_r_glob,-20.08043776070802,,,,,baseline,1,0
es_incent,wtp_r_loc,0,,,,,baseline,1,0
es_incent,wtp_e_cost,,,,,,baseline,1,0
es_incent,WTP_cc,,,,,,baseline,1,0
es_incent,wtp_install,,,,,,baseline,1,0
es_incent,wtp_prod,-90.72895968918263,,,,,baseline,1,0
es_incent,wtp_prod_s,,,,,,baseline,1,0
es_incent,wtp_prod_u,,,,,,baseline,1,0
es_incent,wtp_cons,,,,,,baseline,1,0
es_incent,wtp_deal,,,,,,baseline,1,0
es_incent,admin_cost,,,,,,baseline,1,0
es_incent,wtp_permits,,,,,,baseline,1,0
es_incent,wtp_abatement,,,,,,baseline,1,0
es_incent,permitrev,,,,,,baseline,1,0
es_incent,wtp_no_leak,,,,,,baseline,1,0
es_incent,wtp_leak,,,,,,baseline,1,0
es_incent,wtp_soc_g,,,,,,baseline,1,0
es_incent,wtp_soc_l,,,,,,baseline,1,0
es_incent,fisc_ext_t,15.38678263734677,,,,,baseline,1,0
es_incent,fisc_ext_s,0,,,,,baseline,1,0
es_incent,fisc_ext_lr,-3.333295959202603,,,,,baseline,1,0
es_incent,q_CO2,1.086323853736941,,,,,baseline,1,0
es_incent,q_CO2_no,,,,,,baseline,1,0
es_incent,p_spend,125,,,,,baseline,1,0
es_incent,ev_sub_c,,,,,,baseline,1,0
es_incent,ev_sub_c_row,,,,,,baseline,1,0
es_incent,ev_sub_c_us,,,,,,baseline,1,0
es_incent,ev_sub_env,,,,,,baseline,1,0
es_incent,ev_sub_cost,,,,,,baseline,1,0
es_incent,profits_fisc_e,,,,,,baseline,1,0
es_incent,wtp_soc_l_po,,,,,,baseline,1,0
es_incent,wtp_soc_l_dr,,,,,,baseline,1,0
es_incent,gov_carbon,1.225794535341186,,,,,baseline,1,0
es_incent,resource_ce,225.8031193295038,,,,,baseline,1,0
es_incent,q_carbon_mck,1.446325606996176,,,,,baseline,1,0
es_incent,semie,,,,,,baseline,1,0
es_incent,pass_through,,,,,,baseline,1,0
es_incent,permitrev_new,,,,,,baseline,1,0
es_incent,permitrev_ex,,,,,,baseline,1,0
es_incent,fiscalext,,,,,,baseline,1,0
es_incent,firm_cost_wtp,,,,,,baseline,1,0
es_incent,c_savings,0,,,,,baseline,1,0
es_incent,resource_cost,,,,,,baseline,1,0
es_incent,q_CO2_mck,,,,,,baseline,1,0
es_incent,q_CO2_mck_no,,,,,,baseline,1,0
es_incent,wtp_ctr,,,,,,baseline,1,0
es_incent,gas_corp_fisc_e,,,,,,baseline,1,0
es_incent,epsilon,,,,,,baseline,1,0
es_incent,transfer,,,,,,baseline,1,0
es_incent,enviro_wtp,,,,,,baseline,1,0
es_incent,cost_curve,,,,,,baseline,1,0
es_incent,profits,,,,,,baseline,1,0
es_incent,subsidies,,,,,,baseline,1,0
es_incent,taxes,,,,,,baseline,1,0
es_incent,wtp_batt,,,,,,baseline,1,0
es_incent,wtp_local_w_r,,,,,,baseline,1,0
es_incent,wind_g_wf,,,,,,baseline,1,0
es_incent,wind_l_wf,,,,,,baseline,1,0
