program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
esa_fridge,MVPF,.5724221815864668,,,,,baseline,1,0
esa_fridge,MVPF_no_cc,,,,,,baseline,1,0
esa_fridge,cost,914.3689795010424,,,,1.0757282,baseline,1,0
esa_fridge,WTP,523.405086020978,,,,.6157707,baseline,1,0
esa_fridge,program_cost,850,,,,,baseline,1,0
esa_fridge,total_cost,914.3689795010424,,,,,baseline,1,0
esa_fridge,beh_fisc_ext,,,,,,baseline,1,0
esa_fridge,utility_fisc_ext,,,,,,baseline,1,0
esa_fridge,gas_fisc_ext,,,,,,baseline,1,0
esa_fridge,fed_fisc_ext,,,,,,baseline,1,0
esa_fridge,state_fisc_ext,,,,,,baseline,1,0
esa_fridge,WTP_USPres,319.2435036192095,,,,,baseline,1,0
esa_fridge,WTP_USFut,27.23521274957758,,,,,baseline,1,0
esa_fridge,WTP_RoW,176.9263696521911,,,,,baseline,1,0
esa_fridge,WTP_USTotal,,,,,,baseline,1,0
esa_fridge,enviro_mvpf,,,,,,baseline,1,0
esa_fridge,cost_mvpf,,,,,,baseline,1,0
esa_fridge,firm_mvpf,,,,,,baseline,1,0
esa_fridge,cost_wtp,,,,,,baseline,1,0
esa_fridge,env_cost_wtp,,,,,,baseline,1,0
esa_fridge,marginal,,,,,,baseline,1,0
esa_fridge,infmarg,,,,,,baseline,1,0
esa_fridge,wtp_private,,,,,,baseline,1,0
esa_fridge,wtp_soc,228.2294794697145,,,,,baseline,1,0
esa_fridge,wtp_no_ice,,,,,,baseline,1,0
esa_fridge,wtp_yes_ev,,,,,,baseline,1,0
esa_fridge,wtp_yes_hev,,,,,,baseline,1,0
esa_fridge,wtp_soc_rbd,,,,,,baseline,1,0
esa_fridge,wtp_yes_ev_local,,,,,,baseline,1,0
esa_fridge,wtp_no_ice_local,,,,,,baseline,1,0
esa_fridge,env_cost_wtp_l,,,,,,baseline,1,0
esa_fridge,wtp_soc_rbd_l,,,,,,baseline,1,0
esa_fridge,wtp_yes_ev_g,,,,,,baseline,1,0
esa_fridge,wtp_no_ice_g,,,,,,baseline,1,0
esa_fridge,env_cost_wtp_g,,,,,,baseline,1,0
esa_fridge,wtp_soc_rbd_g,,,,,,baseline,1,0
esa_fridge,wtp_marg,425,,,,,baseline,1,0
esa_fridge,wtp_inf,0,,,,,baseline,1,0
esa_fridge,wtp_glob,253.890009972707,,,,,baseline,1,0
esa_fridge,wtp_loc,24.97196980494746,,,,,baseline,1,0
esa_fridge,wtp_r_glob,-49.72842757093835,,,,,baseline,1,0
esa_fridge,wtp_r_loc,-4.891160514281297,,,,,baseline,1,0
esa_fridge,wtp_e_cost,,,,,,baseline,1,0
esa_fridge,WTP_cc,,,,,,baseline,1,0
esa_fridge,wtp_install,,,,,,baseline,1,0
esa_fridge,wtp_prod,-125.8373056714567,,,,,baseline,1,0
esa_fridge,wtp_prod_s,,,,,,baseline,1,0
esa_fridge,wtp_prod_u,,,,,,baseline,1,0
esa_fridge,wtp_cons,,,,,,baseline,1,0
esa_fridge,wtp_deal,,,,,,baseline,1,0
esa_fridge,admin_cost,,,,,,baseline,1,0
esa_fridge,wtp_permits,,,,,,baseline,1,0
esa_fridge,wtp_abatement,,,,,,baseline,1,0
esa_fridge,permitrev,,,,,,baseline,1,0
esa_fridge,wtp_no_leak,,,,,,baseline,1,0
esa_fridge,wtp_leak,,,,,,baseline,1,0
esa_fridge,wtp_soc_g,,,,,,baseline,1,0
esa_fridge,wtp_soc_l,,,,,,baseline,1,0
esa_fridge,fisc_ext_t,68.35606727832219,,,,,baseline,1,0
esa_fridge,fisc_ext_s,0,,,,,baseline,1,0
esa_fridge,fisc_ext_lr,-3.987087777279671,,,,,baseline,1,0
esa_fridge,q_CO2,1.436616736368432,,,,,baseline,1,0
esa_fridge,q_CO2_no,,,,,,baseline,1,0
esa_fridge,p_spend,850,,,,,baseline,1,0
esa_fridge,ev_sub_c,,,,,,baseline,1,0
esa_fridge,ev_sub_c_row,,,,,,baseline,1,0
esa_fridge,ev_sub_c_us,,,,,,baseline,1,0
esa_fridge,ev_sub_env,,,,,,baseline,1,0
esa_fridge,ev_sub_cost,,,,,,baseline,1,0
