program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ets_c,MVPF,-.0304314909301675,,,,,baseline,1,0
ets_c,MVPF_no_cc,,,,,,baseline,1,0
ets_c,cost,114.0602563983433,,,,.86854523,baseline,1,0
ets_c,WTP,-3.471023658078764,,,,-.026431127,baseline,1,0
ets_c,program_cost,131.3233314310054,,,,,baseline,1,0
ets_c,total_cost,,,,,,baseline,1,0
ets_c,beh_fisc_ext,,,,,,baseline,1,0
ets_c,utility_fisc_ext,,,,,,baseline,1,0
ets_c,gas_fisc_ext,,,,,,baseline,1,0
ets_c,fed_fisc_ext,,,,,,baseline,1,0
ets_c,state_fisc_ext,,,,,,baseline,1,0
ets_c,WTP_USPres,0,,,,,baseline,1,0
ets_c,WTP_USFut,-17.98160503609767,,,,,baseline,1,0
ets_c,WTP_RoW,14.51058137801891,,,,,baseline,1,0
ets_c,WTP_USTotal,,,,,,baseline,1,0
ets_c,enviro_mvpf,,,,,,baseline,1,0
ets_c,cost_mvpf,,,,,,baseline,1,0
ets_c,firm_mvpf,,,,,,baseline,1,0
ets_c,cost_wtp,,,,,,baseline,1,0
ets_c,env_cost_wtp,,,,,,baseline,1,0
ets_c,marginal,,,,,,baseline,1,0
ets_c,infmarg,,,,,,baseline,1,0
ets_c,wtp_private,,,,,,baseline,1,0
ets_c,wtp_soc,-134.7943550890842,,,,,baseline,1,0
ets_c,wtp_no_ice,,,,,,baseline,1,0
ets_c,wtp_yes_ev,,,,,,baseline,1,0
ets_c,wtp_yes_hev,,,,,,baseline,1,0
ets_c,wtp_soc_rbd,,,,,,baseline,1,0
ets_c,wtp_yes_ev_local,,,,,,baseline,1,0
ets_c,wtp_no_ice_local,,,,,,baseline,1,0
ets_c,env_cost_wtp_l,,,,,,baseline,1,0
ets_c,wtp_soc_rbd_l,,,,,,baseline,1,0
ets_c,wtp_yes_ev_g,,,,,,baseline,1,0
ets_c,wtp_no_ice_g,,,,,,baseline,1,0
ets_c,env_cost_wtp_g,,,,,,baseline,1,0
ets_c,wtp_soc_rbd_g,,,,,,baseline,1,0
ets_c,wtp_marg,,,,,,baseline,1,0
ets_c,wtp_inf,,,,,,baseline,1,0
ets_c,wtp_glob,,,,,,baseline,1,0
ets_c,wtp_loc,,,,,,baseline,1,0
ets_c,wtp_r_glob,,,,,,baseline,1,0
ets_c,wtp_r_loc,,,,,,baseline,1,0
ets_c,wtp_e_cost,,,,,,baseline,1,0
ets_c,WTP_cc,,,,,,baseline,1,0
ets_c,wtp_install,,,,,,baseline,1,0
ets_c,wtp_prod,,,,,,baseline,1,0
ets_c,wtp_prod_s,,,,,,baseline,1,0
ets_c,wtp_prod_u,,,,,,baseline,1,0
ets_c,wtp_cons,,,,,,baseline,1,0
ets_c,wtp_deal,,,,,,baseline,1,0
ets_c,admin_cost,,,,,,baseline,1,0
ets_c,wtp_permits,131.3233314310054,,,,,baseline,1,0
ets_c,wtp_abatement,0,,,,,baseline,1,0
ets_c,permitrev,,,,,,baseline,1,0
ets_c,wtp_no_leak,,,,,,baseline,1,0
ets_c,wtp_leak,,,,,,baseline,1,0
ets_c,wtp_soc_g,-134.7943550890842,,,,,baseline,1,0
ets_c,wtp_soc_l,,,,,,baseline,1,0
ets_c,fisc_ext_t,-19.89548471179732,,,,,baseline,1,0
ets_c,fisc_ext_s,0,,,,,baseline,1,0
ets_c,fisc_ext_lr,2.632409679135243,,,,,baseline,1,0
ets_c,q_CO2,,,,,,baseline,1,0
ets_c,q_CO2_no,,,,,,baseline,1,0
ets_c,p_spend,,,,,,baseline,1,0
ets_c,ev_sub_c,,,,,,baseline,1,0
ets_c,ev_sub_c_row,,,,,,baseline,1,0
ets_c,ev_sub_c_us,,,,,,baseline,1,0
ets_c,ev_sub_env,,,,,,baseline,1,0
ets_c,ev_sub_cost,,,,,,baseline,1,0
ets_c,profits_fisc_e,,,,,,baseline,1,0
ets_c,wtp_soc_l_po,,,,,,baseline,1,0
ets_c,wtp_soc_l_dr,,,,,,baseline,1,0
ets_c,gov_carbon,,,,,,baseline,1,0
ets_c,resource_ce,,,,,,baseline,1,0
ets_c,q_carbon_mck,,,,,,baseline,1,0
ets_c,semie,131.3233314310054,,,,,baseline,1,0
ets_c,pass_through,,,,,,baseline,1,0
ets_c,permitrev_new,,,,,,baseline,1,0
ets_c,permitrev_ex,,,,,,baseline,1,0
ets_c,fiscalext,,,,,,baseline,1,0
ets_c,firm_cost_wtp,,,,,,baseline,1,0
ets_c,c_savings,,,,,,baseline,1,0
ets_c,resource_cost,,,,,,baseline,1,0
ets_c,q_CO2_mck,,,,,,baseline,1,0
ets_c,q_CO2_mck_no,,,,,,baseline,1,0
ets_c,wtp_ctr,,,,,,baseline,1,0
ets_c,gas_corp_fisc_e,,,,,,baseline,1,0
ets_c,epsilon,,,,,,baseline,1,0
ets_c,transfer,,,,,,baseline,1,0
ets_c,enviro_wtp,,,,,,baseline,1,0
ets_c,cost_curve,,,,,,baseline,1,0
ets_c,profits,,,,,,baseline,1,0
ets_c,subsidies,,,,,,baseline,1,0
ets_c,taxes,,,,,,baseline,1,0
ets_c,wtp_batt,,,,,,baseline,1,0
ets_c,wtp_local_w_r,,,,,,baseline,1,0
ets_c,wind_g_wf,,,,,,baseline,1,0
ets_c,wind_l_wf,,,,,,baseline,1,0
