program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
food_labels,MVPF,7.015450772444961,,,,,baseline,1,0
food_labels,MVPF_no_cc,,,,,,baseline,1,0
food_labels,cost,76.69269466683185,,,,.87950337,baseline,1,0
food_labels,WTP,538.033824041311,,,,6.1701126,baseline,1,0
food_labels,program_cost,87.2,,,,,baseline,1,0
food_labels,total_cost,76.69269466683185,,,,,baseline,1,0
food_labels,beh_fisc_ext,,,,,,baseline,1,0
food_labels,utility_fisc_ext,,,,,,baseline,1,0
food_labels,gas_fisc_ext,,,,,,baseline,1,0
food_labels,fed_fisc_ext,,,,,,baseline,1,0
food_labels,state_fisc_ext,,,,,,baseline,1,0
food_labels,WTP_USPres,0,,,,,baseline,1,0
food_labels,WTP_USFut,71.77386407300372,,,,,baseline,1,0
food_labels,WTP_RoW,466.2599599683073,,,,,baseline,1,0
food_labels,WTP_USTotal,,,,,,baseline,1,0
food_labels,enviro_mvpf,,,,,,baseline,1,0
food_labels,cost_mvpf,,,,,,baseline,1,0
food_labels,firm_mvpf,,,,,,baseline,1,0
food_labels,cost_wtp,,,,,,baseline,1,0
food_labels,env_cost_wtp,,,,,,baseline,1,0
food_labels,marginal,,,,,,baseline,1,0
food_labels,infmarg,,,,,,baseline,1,0
food_labels,wtp_private,,,,,,baseline,1,0
food_labels,wtp_soc,,,,,,baseline,1,0
food_labels,wtp_no_ice,,,,,,baseline,1,0
food_labels,wtp_yes_ev,,,,,,baseline,1,0
food_labels,wtp_yes_hev,,,,,,baseline,1,0
food_labels,wtp_soc_rbd,,,,,,baseline,1,0
food_labels,wtp_yes_ev_local,,,,,,baseline,1,0
food_labels,wtp_no_ice_local,,,,,,baseline,1,0
food_labels,env_cost_wtp_l,,,,,,baseline,1,0
food_labels,wtp_soc_rbd_l,,,,,,baseline,1,0
food_labels,wtp_yes_ev_g,,,,,,baseline,1,0
food_labels,wtp_no_ice_g,,,,,,baseline,1,0
food_labels,env_cost_wtp_g,,,,,,baseline,1,0
food_labels,wtp_soc_rbd_g,,,,,,baseline,1,0
food_labels,wtp_marg,,,,,,baseline,1,0
food_labels,wtp_inf,,,,,,baseline,1,0
food_labels,wtp_glob,538.033824041311,,,,,baseline,1,0
food_labels,wtp_loc,0,,,,,baseline,1,0
food_labels,wtp_r_glob,,,,,,baseline,1,0
food_labels,wtp_r_loc,,,,,,baseline,1,0
food_labels,wtp_e_cost,,,,,,baseline,1,0
food_labels,WTP_cc,,,,,,baseline,1,0
food_labels,wtp_install,,,,,,baseline,1,0
food_labels,wtp_prod,,,,,,baseline,1,0
food_labels,wtp_prod_s,,,,,,baseline,1,0
food_labels,wtp_prod_u,,,,,,baseline,1,0
food_labels,wtp_cons,0,,,,,baseline,1,0
food_labels,wtp_deal,,,,,,baseline,1,0
food_labels,admin_cost,,,,,,baseline,1,0
food_labels,wtp_permits,,,,,,baseline,1,0
food_labels,wtp_abatement,,,,,,baseline,1,0
food_labels,permitrev,,,,,,baseline,1,0
food_labels,wtp_no_leak,,,,,,baseline,1,0
food_labels,wtp_leak,,,,,,baseline,1,0
food_labels,wtp_soc_g,,,,,,baseline,1,0
food_labels,wtp_soc_l,,,,,,baseline,1,0
food_labels,fisc_ext_t,0,,,,,baseline,1,0
food_labels,fisc_ext_s,0,,,,,baseline,1,0
food_labels,fisc_ext_lr,-10.50730533316815,,,,,baseline,1,0
food_labels,q_CO2,2.842182017484348,,,,,baseline,1,0
food_labels,q_CO2_no,,,,,,baseline,1,0
food_labels,p_spend,87.2,,,,,baseline,1,0
food_labels,ev_sub_c,,,,,,baseline,1,0
food_labels,ev_sub_c_row,,,,,,baseline,1,0
food_labels,ev_sub_c_us,,,,,,baseline,1,0
food_labels,ev_sub_env,,,,,,baseline,1,0
food_labels,ev_sub_cost,,,,,,baseline,1,0
food_labels,profits_fisc_e,,,,,,baseline,1,0
food_labels,wtp_soc_l_po,,,,,,baseline,1,0
food_labels,wtp_soc_l_dr,,,,,,baseline,1,0
food_labels,gov_carbon,,,,,,baseline,1,0
food_labels,resource_ce,,,,,,baseline,1,0
food_labels,q_carbon_mck,,,,,,baseline,1,0
food_labels,semie,,,,,,baseline,1,0
food_labels,pass_through,,,,,,baseline,1,0
food_labels,permitrev_new,,,,,,baseline,1,0
food_labels,permitrev_ex,,,,,,baseline,1,0
food_labels,fiscalext,,,,,,baseline,1,0
food_labels,firm_cost_wtp,,,,,,baseline,1,0
food_labels,c_savings,,,,,,baseline,1,0
food_labels,resource_cost,,,,,,baseline,1,0
food_labels,q_CO2_mck,,,,,,baseline,1,0
food_labels,q_CO2_mck_no,,,,,,baseline,1,0
food_labels,wtp_ctr,,,,,,baseline,1,0
food_labels,gas_corp_fisc_e,,,,,,baseline,1,0
food_labels,epsilon,,,,,,baseline,1,0
food_labels,transfer,,,,,,baseline,1,0
food_labels,enviro_wtp,,,,,,baseline,1,0
food_labels,cost_curve,,,,,,baseline,1,0
food_labels,profits,,,,,,baseline,1,0
food_labels,subsidies,,,,,,baseline,1,0
food_labels,taxes,,,,,,baseline,1,0
food_labels,wtp_batt,,,,,,baseline,1,0
food_labels,wtp_local_w_r,,,,,,baseline,1,0
food_labels,wind_g_wf,,,,,,baseline,1,0
food_labels,wind_l_wf,,,,,,baseline,1,0
