program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
fridge_datta,MVPF,1.113247748738497,,,,,baseline,1,0
fridge_datta,MVPF_no_cc,,,,,,baseline,1,0
fridge_datta,cost,1.153195671647441,,,,1.1531956,baseline,1,0
fridge_datta,WTP,1.283792485316493,,,,1.2837925,baseline,1,0
fridge_datta,program_cost,1,,,,,baseline,1,0
fridge_datta,total_cost,1.153195671647441,,,,,baseline,1,0
fridge_datta,beh_fisc_ext,,,,,,baseline,1,0
fridge_datta,utility_fisc_ext,,,,,,baseline,1,0
fridge_datta,gas_fisc_ext,,,,,,baseline,1,0
fridge_datta,fed_fisc_ext,,,,,,baseline,1,0
fridge_datta,state_fisc_ext,,,,,,baseline,1,0
fridge_datta,WTP_USPres,1.100598667175964,,,,,baseline,1,0
fridge_datta,WTP_USFut,.0244381070756312,,,,,baseline,1,0
fridge_datta,WTP_RoW,.1587557110648976,,,,,baseline,1,0
fridge_datta,WTP_USTotal,,,,,,baseline,1,0
fridge_datta,enviro_mvpf,,,,,,baseline,1,0
fridge_datta,cost_mvpf,,,,,,baseline,1,0
fridge_datta,firm_mvpf,,,,,,baseline,1,0
fridge_datta,cost_wtp,,,,,,baseline,1,0
fridge_datta,env_cost_wtp,,,,,,baseline,1,0
fridge_datta,marginal,,,,,,baseline,1,0
fridge_datta,infmarg,,,,,,baseline,1,0
fridge_datta,wtp_private,,,,,,baseline,1,0
fridge_datta,wtp_soc,.3042211674649337,,,,,baseline,1,0
fridge_datta,wtp_no_ice,,,,,,baseline,1,0
fridge_datta,wtp_yes_ev,,,,,,baseline,1,0
fridge_datta,wtp_yes_hev,,,,,,baseline,1,0
fridge_datta,wtp_soc_rbd,,,,,,baseline,1,0
fridge_datta,wtp_yes_ev_local,,,,,,baseline,1,0
fridge_datta,wtp_no_ice_local,,,,,,baseline,1,0
fridge_datta,env_cost_wtp_l,,,,,,baseline,1,0
fridge_datta,wtp_soc_rbd_l,,,,,,baseline,1,0
fridge_datta,wtp_yes_ev_g,,,,,,baseline,1,0
fridge_datta,wtp_no_ice_g,,,,,,baseline,1,0
fridge_datta,env_cost_wtp_g,,,,,,baseline,1,0
fridge_datta,wtp_soc_rbd_g,,,,,,baseline,1,0
fridge_datta,wtp_marg,,,,,,baseline,1,0
fridge_datta,wtp_inf,,,,,,baseline,1,0
fridge_datta,wtp_glob,.227815046138838,,,,,baseline,1,0
fridge_datta,wtp_loc,.1460574315216738,,,,,baseline,1,0
fridge_datta,wtp_r_glob,-.0446212279983093,,,,,baseline,1,0
fridge_datta,wtp_r_loc,-.0286076888389726,,,,,baseline,1,0
fridge_datta,wtp_e_cost,,,,,,baseline,1,0
fridge_datta,WTP_cc,,,,,,baseline,1,0
fridge_datta,wtp_install,,,,,,baseline,1,0
fridge_datta,wtp_prod,-.0168510755067369,,,,,baseline,1,0
fridge_datta,wtp_prod_s,,,,,,baseline,1,0
fridge_datta,wtp_prod_u,,,,,,baseline,1,0
fridge_datta,wtp_cons,1,,,,,baseline,1,0
fridge_datta,wtp_deal,,,,,,baseline,1,0
fridge_datta,admin_cost,,,,,,baseline,1,0
fridge_datta,wtp_permits,,,,,,baseline,1,0
fridge_datta,wtp_abatement,,,,,,baseline,1,0
fridge_datta,permitrev,,,,,,baseline,1,0
fridge_datta,wtp_no_leak,,,,,,baseline,1,0
fridge_datta,wtp_leak,,,,,,baseline,1,0
fridge_datta,wtp_soc_g,,,,,,baseline,1,0
fridge_datta,wtp_soc_l,,,,,,baseline,1,0
fridge_datta,fisc_ext_t,.0091536706456353,,,,,baseline,1,0
fridge_datta,fisc_ext_s,.147619607643509,,,,,baseline,1,0
fridge_datta,fisc_ext_lr,-.0035776066417037,,,,,baseline,1,0
fridge_datta,q_CO2,.0014913347829613,,,,,baseline,1,0
fridge_datta,q_CO2_no,,,,,,baseline,1,0
fridge_datta,p_spend,1.147619607643509,,,,,baseline,1,0
fridge_datta,ev_sub_c,,,,,,baseline,1,0
fridge_datta,ev_sub_c_row,,,,,,baseline,1,0
fridge_datta,ev_sub_c_us,,,,,,baseline,1,0
fridge_datta,ev_sub_env,,,,,,baseline,1,0
fridge_datta,ev_sub_cost,,,,,,baseline,1,0
fridge_datta,profits_fisc_e,,,,,,baseline,1,0
fridge_datta,wtp_soc_l_po,,,,,,baseline,1,0
fridge_datta,wtp_soc_l_dr,,,,,,baseline,1,0
fridge_datta,gov_carbon,.0018545849736488,,,,,baseline,1,0
fridge_datta,resource_ce,-375.8435340201461,,,,,baseline,1,0
fridge_datta,q_carbon_mck,.6576542459747553,,,,,baseline,1,0
fridge_datta,semie,.00282,,,,,baseline,1,0
fridge_datta,pass_through,,,,,,baseline,1,0
fridge_datta,permitrev_new,,,,,,baseline,1,0
fridge_datta,permitrev_ex,,,,,,baseline,1,0
fridge_datta,fiscalext,,,,,,baseline,1,0
fridge_datta,firm_cost_wtp,,,,,,baseline,1,0
fridge_datta,c_savings,0,,,,,baseline,1,0
fridge_datta,resource_cost,,,,,,baseline,1,0
fridge_datta,q_CO2_mck,,,,,,baseline,1,0
fridge_datta,q_CO2_mck_no,,,,,,baseline,1,0
fridge_datta,wtp_ctr,,,,,,baseline,1,0
fridge_datta,gas_corp_fisc_e,,,,,,baseline,1,0
fridge_datta,epsilon,,,,,,baseline,1,0
fridge_datta,transfer,,,,,,baseline,1,0
fridge_datta,enviro_wtp,,,,,,baseline,1,0
fridge_datta,cost_curve,,,,,,baseline,1,0
fridge_datta,profits,,,,,,baseline,1,0
fridge_datta,subsidies,,,,,,baseline,1,0
fridge_datta,taxes,,,,,,baseline,1,0
fridge_datta,wtp_batt,,,,,,baseline,1,0
fridge_datta,wtp_local_w_r,,,,,,baseline,1,0
fridge_datta,wind_g_wf,,,,,,baseline,1,0
fridge_datta,wind_l_wf,,,,,,baseline,1,0
