program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hev_usa_i,MVPF,.9401252084151787,,,,99999,,baseline,1,0
hev_usa_i,MVPF_no_cc,.9314358121435486,,,,99999,,baseline,1,0
hev_usa_i,cost,1.074982224592805,,,,99999,1.0749822,baseline,1,0
hev_usa_i,WTP,1.001276941403478,,,,99999,1.001277,baseline,1,0
hev_usa_i,program_cost,1,,,,99999,,baseline,1,0
hev_usa_i,total_cost,1.074982224592805,,,,99999,,baseline,1,0
hev_usa_i,beh_fisc_ext,.0480629,,,,99999,,baseline,1,0
hev_usa_i,utility_fisc_ext,,,,,99999,,baseline,1,0
hev_usa_i,gas_fisc_ext,.0008932190284906,,,,99999,,baseline,1,0
hev_usa_i,fed_fisc_ext,.0256447,,,,99999,,baseline,1,0
hev_usa_i,state_fisc_ext,,,,,99999,,baseline,1,0
hev_usa_i,WTP_USPres,.9990403015560887,,,,99999,,baseline,1,0
hev_usa_i,WTP_USFut,.0014763771330744,,,,99999,,baseline,1,0
hev_usa_i,WTP_RoW,.0119281964697711,,,,99999,,baseline,1,0
hev_usa_i,WTP_USTotal,,,,,99999,,baseline,1,0
hev_usa_i,enviro_mvpf,.0000336492121278,,,,99999,,baseline,1,0
hev_usa_i,cost_mvpf,.0093351537361741,,,,99999,,baseline,1,0
hev_usa_i,firm_mvpf,,,,,99999,,baseline,1,0
hev_usa_i,cost_wtp,.0093351537361741,,,,99999,,baseline,1,0
hev_usa_i,env_cost_wtp,5.79279827120e-06,,,,99999,,baseline,1,0
hev_usa_i,marginal,,,,,99999,,baseline,1,0
hev_usa_i,infmarg,,,,,99999,,baseline,1,0
hev_usa_i,wtp_private,,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc,.0040919720448112,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_ice,.1391714902346559,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_ev,,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_hev,-.1343426174522903,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_rbd,-.0046029457815774,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_ice_local,.0185452354452992,,,,99999,,baseline,1,0
hev_usa_i,env_cost_wtp_l,-.0000272118631983,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hev_usa_i,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_ice_g,.1206262547893567,,,,99999,,baseline,1,0
hev_usa_i,env_cost_wtp_g,.0000330046614695,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hev_usa_i,wtp_marg,.02403145,,,,99999,,baseline,1,0
hev_usa_i,wtp_inf,2011,,,,99999,,baseline,1,0
hev_usa_i,wtp_glob,.0032995144676475,,,,99999,,baseline,1,0
hev_usa_i,wtp_loc,.0007924575771637,,,,99999,,baseline,1,0
hev_usa_i,wtp_r_glob,,,,,99999,,baseline,1,0
hev_usa_i,wtp_r_loc,,,,,99999,,baseline,1,0
hev_usa_i,wtp_e_cost,,,,,99999,,baseline,1,0
hev_usa_i,WTP_cc,1.010617887937923,,,,99999,,baseline,1,0
hev_usa_i,wtp_install,,,,,99999,,baseline,1,0
hev_usa_i,wtp_prod,,,,,99999,,baseline,1,0
hev_usa_i,wtp_prod_s,.0017879151402444,,,,99999,,baseline,1,0
hev_usa_i,wtp_prod_u,,,,,99999,,baseline,1,0
hev_usa_i,wtp_cons,1,,,,99999,,baseline,1,0
hev_usa_i,wtp_deal,,,,,99999,,baseline,1,0
hev_usa_i,admin_cost,,,,,99999,,baseline,1,0
hev_usa_i,wtp_permits,,,,,99999,,baseline,1,0
hev_usa_i,wtp_abatement,,,,,99999,,baseline,1,0
hev_usa_i,permitrev,,,,,99999,,baseline,1,0
hev_usa_i,wtp_no_leak,,,,,99999,,baseline,1,0
hev_usa_i,wtp_leak,,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_g,,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_l,,,,,99999,,baseline,1,0
hev_usa_i,fisc_ext_t,,,,,99999,,baseline,1,0
hev_usa_i,fisc_ext_s,,,,,99999,,baseline,1,0
hev_usa_i,fisc_ext_lr,-.0000938630172697,,,,99999,,baseline,1,0
hev_usa_i,q_CO2,.000043542567557,,,,99999,,baseline,1,0
hev_usa_i,q_CO2_no,,,,,99999,,baseline,1,0
hev_usa_i,p_spend,,,,,99999,,baseline,1,0
hev_usa_i,ev_sub_c,,,,,99999,,baseline,1,0
hev_usa_i,ev_sub_c_row,,,,,99999,,baseline,1,0
hev_usa_i,ev_sub_c_us,,,,,99999,,baseline,1,0
hev_usa_i,ev_sub_env,,,,,99999,,baseline,1,0
hev_usa_i,ev_sub_cost,,,,,99999,,baseline,1,0
hev_usa_i,profits_fisc_e,,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_l_po,,,,,99999,,baseline,1,0
hev_usa_i,wtp_soc_l_dr,,,,,99999,,baseline,1,0
hev_usa_i,gov_carbon,.000043542567557,,,,99999,,baseline,1,0
hev_usa_i,resource_ce,658.8605271316137,,,,99999,,baseline,1,0
hev_usa_i,q_carbon_mck,1.82186475133895,,,,99999,,baseline,1,0
hev_usa_i,semie,.0000239,,,,99999,,baseline,1,0
hev_usa_i,pass_through,,,,,99999,,baseline,1,0
hev_usa_i,permitrev_new,,,,,99999,,baseline,1,0
hev_usa_i,permitrev_ex,,,,,99999,,baseline,1,0
hev_usa_i,fiscalext,,,,,99999,,baseline,1,0
hev_usa_i,firm_cost_wtp,,,,,99999,,baseline,1,0
hev_usa_i,c_savings,0,,,,99999,,baseline,1,0
hev_usa_i,resource_cost,,,,,99999,,baseline,1,0
hev_usa_i,q_CO2_mck,,,,,99999,,baseline,1,0
