program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hitaj_ger,MVPF,8.482686351876122,,,,,baseline,1,0
hitaj_ger,MVPF_no_cc,5.535388074178596,,,,,baseline,1,0
hitaj_ger,cost,112.977057868411,,,,1.3673908,baseline,1,0
hitaj_ger,WTP,653.6740501950709,,,,7.9115872,baseline,1,0
hitaj_ger,program_cost,82.62236706367088,,,,,baseline,1,0
hitaj_ger,total_cost,112.977057868411,,,,,baseline,1,0
hitaj_ger,beh_fisc_ext,,,,,,baseline,1,0
hitaj_ger,utility_fisc_ext,,,,,,baseline,1,0
hitaj_ger,gas_fisc_ext,,,,,,baseline,1,0
hitaj_ger,fed_fisc_ext,,,,,,baseline,1,0
hitaj_ger,state_fisc_ext,,,,,,baseline,1,0
hitaj_ger,WTP_USPres,239.2834958183099,,,,,baseline,1,0
hitaj_ger,WTP_USFut,101.9602322922837,,,,,baseline,1,0
hitaj_ger,WTP_RoW,617.1052187448953,,,,,baseline,1,0
hitaj_ger,WTP_USTotal,,,,,,baseline,1,0
hitaj_ger,enviro_mvpf,2.843864778708219,,,,,baseline,1,0
hitaj_ger,cost_mvpf,.8436947464942932,,,,,baseline,1,0
hitaj_ger,firm_mvpf,,,,,,baseline,1,0
hitaj_ger,cost_wtp,69.70805703454225,,,,,baseline,1,0
hitaj_ger,env_cost_wtp,234.9668396258757,,,,,baseline,1,0
hitaj_ger,marginal,,,,,,baseline,1,0
hitaj_ger,infmarg,,,,,,baseline,1,0
hitaj_ger,wtp_private,82.62236706367088,,,,,baseline,1,0
hitaj_ger,wtp_soc,579.4024292215396,,,,,baseline,1,0
hitaj_ger,wtp_no_ice,,,,,,baseline,1,0
hitaj_ger,wtp_yes_ev,,,,,,baseline,1,0
hitaj_ger,wtp_yes_hev,,,,,,baseline,1,0
hitaj_ger,wtp_soc_rbd,-141.6852979520215,,,,,baseline,1,0
hitaj_ger,wtp_yes_ev_local,,,,,,baseline,1,0
hitaj_ger,wtp_no_ice_local,,,,,,baseline,1,0
hitaj_ger,env_cost_wtp_l,13.21516469308948,,,,,baseline,1,0
hitaj_ger,wtp_soc_rbd_l,,,,,,baseline,1,0
hitaj_ger,wtp_yes_ev_g,,,,,,baseline,1,0
hitaj_ger,wtp_no_ice_g,,,,,,baseline,1,0
hitaj_ger,env_cost_wtp_g,221.7516749327862,,,,,baseline,1,0
hitaj_ger,wtp_soc_rbd_g,,,,,,baseline,1,0
hitaj_ger,wtp_marg,,,,,,baseline,1,0
hitaj_ger,wtp_inf,,,,,,baseline,1,0
hitaj_ger,wtp_glob,438.2473660097949,,,,,baseline,1,0
hitaj_ger,wtp_loc,143.4459640615495,,,,,baseline,1,0
hitaj_ger,wtp_r_glob,-106.7456087594656,,,,,baseline,1,0
hitaj_ger,wtp_r_loc,-34.93968919255592,,,,,baseline,1,0
hitaj_ger,wtp_e_cost,-10.64164693994434,,,,,baseline,1,0
hitaj_ger,WTP_cc,958.3489468554887,,,,,baseline,1,0
hitaj_ger,wtp_install,,,,,,baseline,1,0
hitaj_ger,wtp_prod,82.62236706367088,,,,,baseline,1,0
hitaj_ger,wtp_prod_s,,,,,,baseline,1,0
hitaj_ger,wtp_prod_u,,,,,,baseline,1,0
hitaj_ger,wtp_cons,0,,,,,baseline,1,0
hitaj_ger,wtp_deal,,,,,,baseline,1,0
hitaj_ger,admin_cost,,,,,,baseline,1,0
hitaj_ger,wtp_permits,,,,,,baseline,1,0
hitaj_ger,wtp_abatement,,,,,,baseline,1,0
hitaj_ger,permitrev,,,,,,baseline,1,0
hitaj_ger,wtp_no_leak,,,,,,baseline,1,0
hitaj_ger,wtp_leak,,,,,,baseline,1,0
hitaj_ger,wtp_soc_g,,,,,,baseline,1,0
hitaj_ger,wtp_soc_l,,,,,,baseline,1,0
hitaj_ger,fisc_ext_t,0,,,,,baseline,1,0
hitaj_ger,fisc_ext_s,43.03604298792963,,,,,baseline,1,0
hitaj_ger,fisc_ext_lr,-12.6813521831895,,,,,baseline,1,0
hitaj_ger,q_CO2,3.154394483646597,,,,,baseline,1,0
hitaj_ger,q_CO2_no,,,,,,baseline,1,0
hitaj_ger,p_spend,125.6584100516005,,,,,baseline,1,0
hitaj_ger,ev_sub_c,,,,,,baseline,1,0
hitaj_ger,ev_sub_c_row,,,,,,baseline,1,0
hitaj_ger,ev_sub_c_us,,,,,,baseline,1,0
hitaj_ger,ev_sub_env,,,,,,baseline,1,0
hitaj_ger,ev_sub_cost,,,,,,baseline,1,0
hitaj_ger,profits_fisc_e,,,,,,baseline,1,0
hitaj_ger,wtp_soc_l_po,,,,,,baseline,1,0
hitaj_ger,wtp_soc_l_dr,,,,,,baseline,1,0
hitaj_ger,gov_carbon,.0000991368698078,,,,,baseline,1,0
hitaj_ger,resource_ce,-42.23843697503107,,,,,baseline,1,0
hitaj_ger,q_carbon_mck,.000396380954224,,,,,baseline,1,0
hitaj_ger,semie,-.3131407345691961,,,,,baseline,1,0
hitaj_ger,pass_through,,,,,,baseline,1,0
hitaj_ger,permitrev_new,,,,,,baseline,1,0
hitaj_ger,permitrev_ex,,,,,,baseline,1,0
hitaj_ger,fiscalext,,,,,,baseline,1,0
hitaj_ger,firm_cost_wtp,,,,,,baseline,1,0
hitaj_ger,c_savings,,,,,,baseline,1,0
hitaj_ger,resource_cost,4015000,,,,,baseline,1,0
hitaj_ger,q_CO2_mck,.000396380954224,,,,,baseline,1,0
hitaj_ger,q_CO2_mck_no,,,,,,baseline,1,0
hitaj_ger,wtp_ctr,,,,,,baseline,1,0
hitaj_ger,gas_corp_fisc_e,,,,,,baseline,1,0
hitaj_ger,epsilon,-1.665,,,,,baseline,1,0
hitaj_ger,transfer,,,,,,baseline,1,0
hitaj_ger,enviro_wtp,,,,,,baseline,1,0
hitaj_ger,cost_curve,,,,,,baseline,1,0
hitaj_ger,profits,,,,,,baseline,1,0
hitaj_ger,subsidies,,,,,,baseline,1,0
hitaj_ger,taxes,,,,,,baseline,1,0
hitaj_ger,wtp_batt,,,,,,baseline,1,0
hitaj_ger,wtp_local_w_r,,,,,,baseline,1,0
hitaj_ger,wind_g_wf,544.9929747692605,,,,,baseline,1,0
hitaj_ger,wind_l_wf,178.3856532541054,,,,,baseline,1,0
