program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
hybrid_cr,MVPF,.7699450192518352,,,,,baseline,1,0
hybrid_cr,MVPF_no_cc,.7469606522539189,,,,,baseline,1,0
hybrid_cr,cost,1.354110835591057,,,,1.3541108,baseline,1,0
hybrid_cr,WTP,1.011467512977195,,,,1.0114675,baseline,1,0
hybrid_cr,program_cost,1,,,,,baseline,1,0
hybrid_cr,total_cost,1.354110835591057,,,,,baseline,1,0
hybrid_cr,beh_fisc_ext,.1974999999999292,,,,,baseline,1,0
hybrid_cr,utility_fisc_ext,,,,,,baseline,1,0
hybrid_cr,gas_fisc_ext,.0031761749342196,,,,,baseline,1,0
hybrid_cr,fed_fisc_ext,,,,,,baseline,1,0
hybrid_cr,state_fisc_ext,.1515864809845691,,,,,baseline,1,0
hybrid_cr,WTP_USPres,.9983003374337878,,,,,baseline,1,0
hybrid_cr,WTP_USFut,.0058095865911079,,,,,baseline,1,0
hybrid_cr,WTP_RoW,.0454752210564372,,,,,baseline,1,0
hybrid_cr,WTP_USTotal,,,,,,baseline,1,0
hybrid_cr,enviro_mvpf,.0005703823408112,,,,,baseline,1,0
hybrid_cr,cost_mvpf,.0308925900608301,,,,,baseline,1,0
hybrid_cr,firm_mvpf,,,,,,baseline,1,0
hybrid_cr,cost_wtp,.0308925900608301,,,,,baseline,1,0
hybrid_cr,env_cost_wtp,.0002307903402503,,,,,baseline,1,0
hybrid_cr,marginal,,,,,,baseline,1,0
hybrid_cr,infmarg,,,,,,baseline,1,0
hybrid_cr,wtp_private,,,,,,baseline,1,0
hybrid_cr,wtp_soc,.0195261355923977,,,,,baseline,1,0
hybrid_cr,wtp_no_ice,.5501316490607089,,,,,baseline,1,0
hybrid_cr,wtp_yes_ev,,,,,,baseline,1,0
hybrid_cr,wtp_yes_hev,-.5278376141733717,,,,,baseline,1,0
hybrid_cr,wtp_soc_rbd,-.0167127921146846,,,,,baseline,1,0
hybrid_cr,wtp_yes_ev_local,,,,,,baseline,1,0
hybrid_cr,wtp_no_ice_local,.0607348193015902,,,,,baseline,1,0
hybrid_cr,env_cost_wtp_l,-.0003286663268227,,,,,baseline,1,0
hybrid_cr,wtp_soc_rbd_l,,,,,,baseline,1,0
hybrid_cr,wtp_yes_ev_g,,,,,,baseline,1,0
hybrid_cr,wtp_no_ice_g,.4893968297591187,,,,,baseline,1,0
hybrid_cr,env_cost_wtp_g,.000559456667073,,,,,baseline,1,0
hybrid_cr,wtp_soc_rbd_g,,,,,,baseline,1,0
hybrid_cr,wtp_marg,.0987499999999646,,,,,baseline,1,0
hybrid_cr,wtp_inf,2276,,,,,baseline,1,0
hybrid_cr,wtp_glob,.0170648616247025,,,,,baseline,1,0
hybrid_cr,wtp_loc,.0024612739676952,,,,,baseline,1,0
hybrid_cr,wtp_r_glob,,,,,,baseline,1,0
hybrid_cr,wtp_r_loc,,,,,,baseline,1,0
hybrid_cr,wtp_e_cost,,,,,,baseline,1,0
hybrid_cr,WTP_cc,1.042590893378275,,,,,baseline,1,0
hybrid_cr,wtp_install,,,,,,baseline,1,0
