program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
hybrid_cr,MVPF,.7699450192518352,,,,99999,,baseline,1,0
hybrid_cr,MVPF_no_cc,.7469606522539189,,,,99999,,baseline,1,0
hybrid_cr,cost,1.354110835591057,,,,99999,1.3541108,baseline,1,0
hybrid_cr,WTP,1.011467512977195,,,,99999,1.0114675,baseline,1,0
hybrid_cr,program_cost,1,,,,99999,,baseline,1,0
hybrid_cr,total_cost,1.354110835591057,,,,99999,,baseline,1,0
hybrid_cr,beh_fisc_ext,.1974999999999292,,,,99999,,baseline,1,0
hybrid_cr,utility_fisc_ext,,,,,99999,,baseline,1,0
hybrid_cr,gas_fisc_ext,.0031761749342196,,,,99999,,baseline,1,0
hybrid_cr,fed_fisc_ext,,,,,99999,,baseline,1,0
hybrid_cr,state_fisc_ext,.1515864809845691,,,,99999,,baseline,1,0
hybrid_cr,WTP_USPres,.9983003374337878,,,,99999,,baseline,1,0
hybrid_cr,WTP_USFut,.0058095865911079,,,,99999,,baseline,1,0
hybrid_cr,WTP_RoW,.0454752210564372,,,,99999,,baseline,1,0
hybrid_cr,WTP_USTotal,,,,,99999,,baseline,1,0
hybrid_cr,enviro_mvpf,.0005703823408112,,,,99999,,baseline,1,0
hybrid_cr,cost_mvpf,.0308925900608301,,,,99999,,baseline,1,0
hybrid_cr,firm_mvpf,,,,,99999,,baseline,1,0
hybrid_cr,cost_wtp,.0308925900608301,,,,99999,,baseline,1,0
hybrid_cr,env_cost_wtp,.0002307903402503,,,,99999,,baseline,1,0
hybrid_cr,marginal,,,,,99999,,baseline,1,0
hybrid_cr,infmarg,,,,,99999,,baseline,1,0
hybrid_cr,wtp_private,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc,.0195261355923977,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_ice,.5501316490607089,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_ev,,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_hev,-.5278376141733717,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_rbd,-.0167127921146846,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_ev_local,,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_ice_local,.0607348193015902,,,,99999,,baseline,1,0
hybrid_cr,env_cost_wtp_l,-.0003286663268227,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
hybrid_cr,wtp_yes_ev_g,,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_ice_g,.4893968297591187,,,,99999,,baseline,1,0
hybrid_cr,env_cost_wtp_g,.000559456667073,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
hybrid_cr,wtp_marg,.0987499999999646,,,,99999,,baseline,1,0
hybrid_cr,wtp_inf,2276,,,,99999,,baseline,1,0
hybrid_cr,wtp_glob,.0170648616247025,,,,99999,,baseline,1,0
hybrid_cr,wtp_loc,.0024612739676952,,,,99999,,baseline,1,0
hybrid_cr,wtp_r_glob,,,,,99999,,baseline,1,0
hybrid_cr,wtp_r_loc,,,,,99999,,baseline,1,0
hybrid_cr,wtp_e_cost,,,,,99999,,baseline,1,0
hybrid_cr,WTP_cc,1.042590893378275,,,,99999,,baseline,1,0
hybrid_cr,wtp_install,,,,,99999,,baseline,1,0
hybrid_cr,wtp_prod,,,,,99999,,baseline,1,0
hybrid_cr,wtp_prod_s,.0086541694994824,,,,99999,,baseline,1,0
hybrid_cr,wtp_prod_u,,,,,99999,,baseline,1,0
hybrid_cr,wtp_cons,1,,,,99999,,baseline,1,0
hybrid_cr,wtp_deal,,,,,99999,,baseline,1,0
hybrid_cr,admin_cost,,,,,99999,,baseline,1,0
hybrid_cr,wtp_permits,,,,,99999,,baseline,1,0
hybrid_cr,wtp_abatement,,,,,99999,,baseline,1,0
hybrid_cr,permitrev,,,,,99999,,baseline,1,0
hybrid_cr,wtp_no_leak,,,,,99999,,baseline,1,0
hybrid_cr,wtp_leak,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_g,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_l,,,,,99999,,baseline,1,0
hybrid_cr,fisc_ext_t,,,,,99999,,baseline,1,0
hybrid_cr,fisc_ext_s,,,,,99999,,baseline,1,0
hybrid_cr,fisc_ext_lr,-.000452295764232,,,,99999,,baseline,1,0
hybrid_cr,q_CO2,.0001580923938442,,,,99999,,baseline,1,0
hybrid_cr,q_CO2_no,,,,,99999,,baseline,1,0
hybrid_cr,p_spend,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_c,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_c_row,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_c_us,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_env,,,,,99999,,baseline,1,0
hybrid_cr,ev_sub_cost,,,,,99999,,baseline,1,0
hybrid_cr,profits_fisc_e,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_l_po,,,,,99999,,baseline,1,0
hybrid_cr,wtp_soc_l_dr,,,,,99999,,baseline,1,0
hybrid_cr,gov_carbon,.0001580923938442,,,,99999,,baseline,1,0
hybrid_cr,resource_ce,658.8605271316137,,,,99999,,baseline,1,0
hybrid_cr,q_carbon_mck,1.82186475133895,,,,99999,,baseline,1,0
hybrid_cr,semie,.0000867750439367,,,,99999,,baseline,1,0
hybrid_cr,pass_through,,,,,99999,,baseline,1,0
hybrid_cr,permitrev_new,,,,,99999,,baseline,1,0
hybrid_cr,permitrev_ex,,,,,99999,,baseline,1,0
hybrid_cr,fiscalext,,,,,99999,,baseline,1,0
hybrid_cr,firm_cost_wtp,,,,,99999,,baseline,1,0
hybrid_cr,c_savings,0,,,,99999,,baseline,1,0
hybrid_cr,resource_cost,,,,,99999,,baseline,1,0
hybrid_cr,q_CO2_mck,,,,,99999,,baseline,1,0
hybrid_cr,q_CO2_mck_no,,,,,99999,,baseline,1,0
hybrid_cr,wtp_ctr,,,,,99999,,baseline,1,0
hybrid_cr,gas_corp_fisc_e,.0023004754365713,,,,99999,,baseline,1,0
hybrid_cr,epsilon,,,,,99999,,baseline,1,0
hybrid_cr,transfer,,,,,99999,,baseline,1,0
hybrid_cr,enviro_wtp,,,,,99999,,baseline,1,0
hybrid_cr,cost_curve,,,,,99999,,baseline,1,0
hybrid_cr,profits,,,,,99999,,baseline,1,0
hybrid_cr,subsidies,,,,,99999,,baseline,1,0
hybrid_cr,taxes,,,,,99999,,baseline,1,0
hybrid_cr,wtp_batt,,,,,99999,,baseline,1,0
hybrid_cr,wtp_local_w_r,,,,,99999,,baseline,1,0
hybrid_cr,wind_g_wf,,,,,99999,,baseline,1,0
hybrid_cr,wind_l_wf,,,,,99999,,baseline,1,0
