program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
ihwap_hb,MVPF,1.147280905877397,,,,,baseline,1,0
ihwap_hb,MVPF_no_cc,,,,,,baseline,1,0
ihwap_hb,cost,10215.74351870381,,,,1.0034709,baseline,1,0
ihwap_hb,WTP,11720.32747834965,,,,1.151263,baseline,1,0
ihwap_hb,program_cost,10180.4080433745,,,,,baseline,1,0
ihwap_hb,total_cost,10215.74351870381,,,,,baseline,1,0
ihwap_hb,beh_fisc_ext,,,,,,baseline,1,0
ihwap_hb,utility_fisc_ext,,,,,,baseline,1,0
ihwap_hb,gas_fisc_ext,,,,,,baseline,1,0
ihwap_hb,fed_fisc_ext,,,,,,baseline,1,0
ihwap_hb,state_fisc_ext,,,,,,baseline,1,0
ihwap_hb,WTP_USPres,7152.951927002603,,,,,baseline,1,0
ihwap_hb,WTP_USFut,685.1063327020577,,,,,baseline,1,0
ihwap_hb,WTP_RoW,3882.269218644994,,,,,baseline,1,0
ihwap_hb,WTP_USTotal,,,,,,baseline,1,0
ihwap_hb,enviro_mvpf,,,,,,baseline,1,0
ihwap_hb,cost_mvpf,,,,,,baseline,1,0
ihwap_hb,firm_mvpf,,,,,,baseline,1,0
ihwap_hb,cost_wtp,,,,,,baseline,1,0
ihwap_hb,env_cost_wtp,,,,,,baseline,1,0
ihwap_hb,marginal,,,,,,baseline,1,0
ihwap_hb,infmarg,,,,,,baseline,1,0
ihwap_hb,wtp_private,,,,,,baseline,1,0
ihwap_hb,wtp_soc,4925.269282971385,,,,,baseline,1,0
ihwap_hb,wtp_no_ice,,,,,,baseline,1,0
ihwap_hb,wtp_yes_ev,,,,,,baseline,1,0
ihwap_hb,wtp_yes_hev,,,,,,baseline,1,0
ihwap_hb,wtp_soc_rbd,,,,,,baseline,1,0
ihwap_hb,wtp_yes_ev_local,,,,,,baseline,1,0
ihwap_hb,wtp_no_ice_local,,,,,,baseline,1,0
ihwap_hb,env_cost_wtp_l,,,,,,baseline,1,0
ihwap_hb,wtp_soc_rbd_l,,,,,,baseline,1,0
ihwap_hb,wtp_yes_ev_g,,,,,,baseline,1,0
ihwap_hb,wtp_no_ice_g,,,,,,baseline,1,0
ihwap_hb,env_cost_wtp_g,,,,,,baseline,1,0
ihwap_hb,wtp_soc_rbd_g,,,,,,baseline,1,0
ihwap_hb,wtp_marg,2472.626274370617,,,,,baseline,1,0
ihwap_hb,wtp_inf,4945.252548741234,,,,,baseline,1,0
ihwap_hb,wtp_glob,5434.250261969877,,,,,baseline,1,0
ihwap_hb,wtp_loc,445.0672943573552,,,,,baseline,1,0
ihwap_hb,wtp_r_glob,-866.8747106228261,,,,,baseline,1,0
ihwap_hb,wtp_r_loc,-87.17356273302153,,,,,baseline,1,0
ihwap_hb,wtp_e_cost,,,,,,baseline,1,0
ihwap_hb,WTP_cc,,,,,,baseline,1,0
ihwap_hb,wtp_install,,,,,,baseline,1,0
ihwap_hb,wtp_prod,-724.2354391940438,,,,,baseline,1,0
ihwap_hb,wtp_prod_s,,,,,,baseline,1,0
ihwap_hb,wtp_prod_u,,,,,,baseline,1,0
ihwap_hb,wtp_cons,,,,,,baseline,1,0
ihwap_hb,wtp_deal,,,,,,baseline,1,0
ihwap_hb,admin_cost,,,,,,baseline,1,0
ihwap_hb,wtp_permits,,,,,,baseline,1,0
ihwap_hb,wtp_abatement,,,,,,baseline,1,0
ihwap_hb,permitrev,,,,,,baseline,1,0
ihwap_hb,wtp_no_leak,,,,,,baseline,1,0
ihwap_hb,wtp_leak,,,,,,baseline,1,0
ihwap_hb,wtp_soc_g,,,,,,baseline,1,0
ihwap_hb,wtp_soc_l,,,,,,baseline,1,0
ihwap_hb,fisc_ext_t,122.8235540153641,,,,,baseline,1,0
ihwap_hb,fisc_ext_s,0,,,,,baseline,1,0
