program,component_type,component_value,l_component,u_component,component_sd,component_over_prog_cost,assumptions,correlation,replications
li_gas,MVPF,.8638426437326686,,,,,baseline,1,0
li_gas,MVPF_no_cc,.8638426437326686,,,,,baseline,1,0
li_gas,cost,.9458680153413215,,,,.94586802,baseline,1,0
li_gas,WTP,.8170811269946195,,,,.81708115,baseline,1,0
li_gas,program_cost,1,,,,,baseline,1,0
li_gas,total_cost,.9458680153413215,,,,,baseline,1,0
li_gas,beh_fisc_ext,,,,,,baseline,1,0
li_gas,utility_fisc_ext,,,,,,baseline,1,0
li_gas,gas_fisc_ext,,,,,,baseline,1,0
li_gas,fed_fisc_ext,,,,,,baseline,1,0
li_gas,state_fisc_ext,,,,,,baseline,1,0
li_gas,WTP_USPres,.9335383191480333,,,,,baseline,1,0
li_gas,WTP_USFut,-.0155354223218892,,,,,baseline,1,0
li_gas,WTP_RoW,-.1009217698315246,,,,,baseline,1,0
li_gas,WTP_USTotal,,,,,,baseline,1,0
li_gas,enviro_mvpf,,,,,,baseline,1,0
li_gas,cost_mvpf,,,,,,baseline,1,0
li_gas,firm_mvpf,,,,,,baseline,1,0
li_gas,cost_wtp,0,,,,,baseline,1,0
li_gas,env_cost_wtp,0,,,,,baseline,1,0
li_gas,marginal,,,,,,baseline,1,0
li_gas,infmarg,,,,,,baseline,1,0
li_gas,wtp_private,,,,,,baseline,1,0
li_gas,wtp_soc,-.2523831437102772,,,,,baseline,1,0
li_gas,wtp_no_ice,,,,,,baseline,1,0
li_gas,wtp_yes_ev,,,,,,baseline,1,0
li_gas,wtp_yes_hev,,,,,,baseline,1,0
li_gas,wtp_soc_rbd,,,,,,baseline,1,0
li_gas,wtp_yes_ev_local,,,,,,baseline,1,0
li_gas,wtp_no_ice_local,,,,,,baseline,1,0
li_gas,env_cost_wtp_l,,,,,,baseline,1,0
li_gas,wtp_soc_rbd_l,,,,,,baseline,1,0
li_gas,wtp_yes_ev_g,,,,,,baseline,1,0
li_gas,wtp_no_ice_g,,,,,,baseline,1,0
li_gas,env_cost_wtp_g,,,,,,baseline,1,0
li_gas,wtp_soc_rbd_g,,,,,,baseline,1,0
li_gas,wtp_marg,,,,,,baseline,1,0
li_gas,wtp_inf,,,,,,baseline,1,0
li_gas,wtp_glob,,,,,,baseline,1,0
li_gas,wtp_loc,,,,,,baseline,1,0
li_gas,wtp_r_glob,,,,,,baseline,1,0
li_gas,wtp_r_loc,,,,,,baseline,1,0
li_gas,wtp_e_cost,,,,,,baseline,1,0
li_gas,WTP_cc,,,,,,baseline,1,0
li_gas,wtp_install,,,,,,baseline,1,0
li_gas,wtp_prod,.0694642707048967,,,,,baseline,1,0
li_gas,wtp_prod_s,.0694642707048967,,,,,baseline,1,0
li_gas,wtp_prod_u,0,,,,,baseline,1,0
li_gas,wtp_cons,1,,,,,baseline,1,0
li_gas,wtp_deal,,,,,,baseline,1,0
li_gas,admin_cost,,,,,,baseline,1,0
li_gas,wtp_permits,,,,,,baseline,1,0
li_gas,wtp_abatement,,,,,,baseline,1,0
li_gas,permitrev,,,,,,baseline,1,0
li_gas,wtp_no_leak,,,,,,baseline,1,0
li_gas,wtp_leak,,,,,,baseline,1,0
li_gas,wtp_soc_g,-.1164571921534138,,,,,baseline,1,0
li_gas,wtp_soc_l,-.1359259515568634,,,,,baseline,1,0
li_gas,fisc_ext_t,-.0564062864247055,,,,,baseline,1,0
li_gas,fisc_ext_s,0,,,,,baseline,1,0
li_gas,fisc_ext_lr,.0022743017660269,,,,,baseline,1,0
li_gas,q_CO2,-.0008100525582399,,,,,baseline,1,0
li_gas,q_CO2_no,.0008100525582399,,,,,baseline,1,0
li_gas,p_spend,.9620588994588746,,,,,baseline,1,0
li_gas,ev_sub_c,,,,,,baseline,1,0
li_gas,ev_sub_c_row,,,,,,baseline,1,0
li_gas,ev_sub_c_us,,,,,,baseline,1,0
li_gas,ev_sub_env,,,,,,baseline,1,0
li_gas,ev_sub_cost,,,,,,baseline,1,0
li_gas,profits_fisc_e,,,,,,baseline,1,0
li_gas,wtp_soc_l_po,-.0358052444195635,,,,,baseline,1,0
li_gas,wtp_soc_l_dr,-.1001207071372998,,,,,baseline,1,0
li_gas,gov_carbon,-.0008100525582399,,,,,baseline,1,0
li_gas,resource_ce,-122.2771708606059,,,,,baseline,1,0
li_gas,q_carbon_mck,.0083009830039338,,,,,baseline,1,0
li_gas,semie,-.097585136345424,,,,,baseline,1,0
li_gas,pass_through,,,,,,baseline,1,0
li_gas,permitrev_new,,,,,,baseline,1,0
li_gas,permitrev_ex,,,,,,baseline,1,0
li_gas,fiscalext,,,,,,baseline,1,0
li_gas,firm_cost_wtp,,,,,,baseline,1,0
li_gas,c_savings,,,,,,baseline,1,0
li_gas,resource_cost,,,,,,baseline,1,0
li_gas,q_CO2_mck,.0083009830039338,,,,,baseline,1,0
li_gas,q_CO2_mck_no,.0083009830039338,,,,,baseline,1,0
li_gas,wtp_ctr,,,,,,baseline,1,0
li_gas,gas_corp_fisc_e,,,,,,baseline,1,0
li_gas,epsilon,,,,,,baseline,1,0
li_gas,transfer,,,,,,baseline,1,0
li_gas,enviro_wtp,,,,,,baseline,1,0
li_gas,cost_curve,,,,,,baseline,1,0
li_gas,profits,,,,,,baseline,1,0
li_gas,subsidies,,,,,,baseline,1,0
li_gas,taxes,,,,,,baseline,1,0
li_gas,wtp_batt,,,,,,baseline,1,0
li_gas,wtp_local_w_r,,,,,,baseline,1,0
li_gas,wind_g_wf,,,,,,baseline,1,0
li_gas,wind_l_wf,,,,,,baseline,1,0
