program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
opower_ng,MVPF,.263807173319928,,,,99999,,baseline,1,0
opower_ng,MVPF_no_cc,,,,,99999,,baseline,1,0
opower_ng,cost,9.347481409897529,,,,99999,1.0580171,baseline,1,0
opower_ng,WTP,2.465932648405643,,,,99999,.27911249,baseline,1,0
opower_ng,program_cost,8.83490596698614,,,,99999,,baseline,1,0
opower_ng,total_cost,,,,,99999,,baseline,1,0
opower_ng,beh_fisc_ext,,,,,99999,,baseline,1,0
opower_ng,utility_fisc_ext,,,,,99999,,baseline,1,0
opower_ng,gas_fisc_ext,,,,,99999,,baseline,1,0
opower_ng,fed_fisc_ext,,,,,99999,,baseline,1,0
opower_ng,state_fisc_ext,,,,,99999,,baseline,1,0
opower_ng,WTP_USPres,-3.73668528869761,,,,99999,,baseline,1,0
opower_ng,WTP_USFut,.8274309844881456,,,,99999,,baseline,1,0
opower_ng,WTP_RoW,5.375186952615108,,,,99999,,baseline,1,0
opower_ng,WTP_USTotal,,,,,99999,,baseline,1,0
opower_ng,enviro_mvpf,,,,,99999,,baseline,1,0
opower_ng,cost_mvpf,,,,,99999,,baseline,1,0
opower_ng,firm_mvpf,,,,,99999,,baseline,1,0
opower_ng,cost_wtp,,,,,99999,,baseline,1,0
opower_ng,env_cost_wtp,,,,,99999,,baseline,1,0
opower_ng,marginal,,,,,99999,,baseline,1,0
opower_ng,infmarg,,,,,99999,,baseline,1,0
opower_ng,wtp_private,,,,,99999,,baseline,1,0
opower_ng,wtp_soc,6.323749356017774,,,,99999,,baseline,1,0
opower_ng,wtp_no_ice,,,,,99999,,baseline,1,0
opower_ng,wtp_yes_ev,,,,,99999,,baseline,1,0
opower_ng,wtp_yes_hev,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_rbd,-.8270157249471006,,,,99999,,baseline,1,0
opower_ng,wtp_yes_ev_local,,,,,99999,,baseline,1,0
opower_ng,wtp_no_ice_local,,,,,99999,,baseline,1,0
opower_ng,env_cost_wtp_l,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
opower_ng,wtp_yes_ev_g,,,,,99999,,baseline,1,0
opower_ng,wtp_no_ice_g,,,,,99999,,baseline,1,0
opower_ng,env_cost_wtp_g,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
opower_ng,wtp_marg,,,,,99999,,baseline,1,0
opower_ng,wtp_inf,,,,,99999,,baseline,1,0
opower_ng,wtp_glob,7.029633662050354,,,,99999,,baseline,1,0
opower_ng,wtp_loc,0,,,,99999,,baseline,1,0
opower_ng,wtp_r_glob,-.8270157249471006,,,,99999,,baseline,1,0
opower_ng,wtp_r_loc,0,,,,99999,,baseline,1,0
opower_ng,wtp_e_cost,,,,,99999,,baseline,1,0
opower_ng,WTP_cc,,,,,99999,,baseline,1,0
opower_ng,wtp_install,,,,,99999,,baseline,1,0
opower_ng,wtp_prod,-3.73668528869761,,,,99999,,baseline,1,0
opower_ng,wtp_prod_s,,,,,99999,,baseline,1,0
opower_ng,wtp_prod_u,,,,,99999,,baseline,1,0
opower_ng,wtp_cons,0,,,,99999,,baseline,1,0
opower_ng,wtp_deal,,,,,99999,,baseline,1,0
opower_ng,admin_cost,,,,,99999,,baseline,1,0
opower_ng,wtp_permits,,,,,99999,,baseline,1,0
opower_ng,wtp_abatement,,,,,99999,,baseline,1,0
opower_ng,permitrev,,,,,99999,,baseline,1,0
opower_ng,wtp_no_leak,,,,,99999,,baseline,1,0
opower_ng,wtp_leak,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_g,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_l,,,,,99999,,baseline,1,0
opower_ng,fisc_ext_t,.6337068618259107,,,,99999,,baseline,1,0
opower_ng,fisc_ext_s,0,,,,99999,,baseline,1,0
opower_ng,fisc_ext_lr,-.1211314189145205,,,,99999,,baseline,1,0
opower_ng,q_CO2,.0390919248290646,,,,99999,,baseline,1,0
opower_ng,q_CO2_no,,,,,99999,,baseline,1,0
opower_ng,p_spend,8.83490596698614,,,,99999,,baseline,1,0
opower_ng,ev_sub_c,,,,,99999,,baseline,1,0
opower_ng,ev_sub_c_row,,,,,99999,,baseline,1,0
opower_ng,ev_sub_c_us,,,,,99999,,baseline,1,0
opower_ng,ev_sub_env,,,,,99999,,baseline,1,0
opower_ng,ev_sub_cost,,,,,99999,,baseline,1,0
opower_ng,profits_fisc_e,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_l_po,,,,,99999,,baseline,1,0
opower_ng,wtp_soc_l_dr,,,,,99999,,baseline,1,0
opower_ng,gov_carbon,.0443041814729398,,,,99999,,baseline,1,0
opower_ng,resource_ce,123.7504470633559,,,,99999,,baseline,1,0
opower_ng,q_carbon_mck,.0443041814729398,,,,99999,,baseline,1,0
opower_ng,semie,,,,,99999,,baseline,1,0
opower_ng,pass_through,,,,,99999,,baseline,1,0
opower_ng,permitrev_new,,,,,99999,,baseline,1,0
opower_ng,permitrev_ex,,,,,99999,,baseline,1,0
opower_ng,fiscalext,,,,,99999,,baseline,1,0
opower_ng,firm_cost_wtp,,,,,99999,,baseline,1,0
opower_ng,c_savings,0,,,,99999,,baseline,1,0
opower_ng,resource_cost,,,,,99999,,baseline,1,0
opower_ng,q_CO2_mck,,,,,99999,,baseline,1,0
opower_ng,q_CO2_mck_no,,,,,99999,,baseline,1,0
opower_ng,wtp_ctr,,,,,99999,,baseline,1,0
opower_ng,gas_corp_fisc_e,,,,,99999,,baseline,1,0
opower_ng,epsilon,,,,,99999,,baseline,1,0
opower_ng,transfer,,,,,99999,,baseline,1,0
opower_ng,enviro_wtp,,,,,99999,,baseline,1,0
opower_ng,cost_curve,,,,,99999,,baseline,1,0
opower_ng,profits,,,,,99999,,baseline,1,0
opower_ng,subsidies,,,,,99999,,baseline,1,0
opower_ng,taxes,,,,,99999,,baseline,1,0
opower_ng,wtp_batt,,,,,99999,,baseline,1,0
opower_ng,wtp_local_w_r,,,,,99999,,baseline,1,0
opower_ng,wind_g_wf,,,,,99999,,baseline,1,0
opower_ng,wind_l_wf,,,,,99999,,baseline,1,0
