program,component_type,component_value,l_component,u_component,component_sd,infinity,component_over_prog_cost,assumptions,correlation,replications
rao_crude,MVPF,1.020315037980748,,,,99999,,baseline,1,0
rao_crude,MVPF_no_cc,,,,,99999,,baseline,1,0
rao_crude,cost,.1792010154956569,,,,99999,.98000556,baseline,1,0
rao_crude,WTP,.1828414909316398,,,,99999,.99991441,baseline,1,0
rao_crude,program_cost,.1828571428571415,,,,99999,,baseline,1,0
rao_crude,total_cost,,,,,99999,,baseline,1,0
rao_crude,beh_fisc_ext,,,,,99999,,baseline,1,0
rao_crude,utility_fisc_ext,,,,,99999,,baseline,1,0
rao_crude,gas_fisc_ext,,,,,99999,,baseline,1,0
rao_crude,fed_fisc_ext,,,,,99999,,baseline,1,0
rao_crude,state_fisc_ext,,,,,99999,,baseline,1,0
rao_crude,WTP_USPres,.1828571428571415,,,,99999,,baseline,1,0
rao_crude,WTP_USFut,-2.08797128218e-06,,,,99999,,baseline,1,0
rao_crude,WTP_RoW,-.0000135639542195,,,,99999,,baseline,1,0
rao_crude,WTP_USTotal,,,,,99999,,baseline,1,0
rao_crude,enviro_mvpf,,,,,99999,,baseline,1,0
rao_crude,cost_mvpf,,,,,99999,,baseline,1,0
rao_crude,firm_mvpf,,,,,99999,,baseline,1,0
rao_crude,cost_wtp,,,,,99999,,baseline,1,0
rao_crude,env_cost_wtp,,,,,99999,,baseline,1,0
rao_crude,marginal,,,,,99999,,baseline,1,0
rao_crude,infmarg,,,,,99999,,baseline,1,0
rao_crude,wtp_private,,,,,99999,,baseline,1,0
rao_crude,wtp_soc,,,,,99999,,baseline,1,0
rao_crude,wtp_no_ice,,,,,99999,,baseline,1,0
rao_crude,wtp_yes_ev,,,,,99999,,baseline,1,0
rao_crude,wtp_yes_hev,,,,,99999,,baseline,1,0
rao_crude,wtp_soc_rbd,,,,,99999,,baseline,1,0
rao_crude,wtp_yes_ev_local,,,,,99999,,baseline,1,0
rao_crude,wtp_no_ice_local,,,,,99999,,baseline,1,0
rao_crude,env_cost_wtp_l,,,,,99999,,baseline,1,0
rao_crude,wtp_soc_rbd_l,,,,,99999,,baseline,1,0
rao_crude,wtp_yes_ev_g,,,,,99999,,baseline,1,0
rao_crude,wtp_no_ice_g,,,,,99999,,baseline,1,0
rao_crude,env_cost_wtp_g,,,,,99999,,baseline,1,0
rao_crude,wtp_soc_rbd_g,,,,,99999,,baseline,1,0
rao_crude,wtp_marg,,,,,99999,,baseline,1,0
rao_crude,wtp_inf,,,,,99999,,baseline,1,0
rao_crude,wtp_glob,,,,,99999,,baseline,1,0
rao_crude,wtp_loc,,,,,99999,,baseline,1,0
rao_crude,wtp_r_glob,,,,,99999,,baseline,1,0
rao_crude,wtp_r_loc,,,,,99999,,baseline,1,0
rao_crude,wtp_e_cost,,,,,99999,,baseline,1,0
rao_crude,WTP_cc,,,,,99999,,baseline,1,0
rao_crude,wtp_install,,,,,99999,,baseline,1,0
rao_crude,wtp_prod,.1828571428571415,,,,99999,,baseline,1,0
rao_crude,wtp_prod_s,,,,,99999,,baseline,1,0
rao_crude,wtp_prod_u,,,,,99999,,baseline,1,0
rao_crude,wtp_cons,,,,,99999,,baseline,1,0
rao_crude,wtp_deal,,,,,99999,,baseline,1,0
rao_crude,admin_cost,,,,,99999,,baseline,1,0
rao_crude,wtp_permits,,,,,99999,,baseline,1,0
rao_crude,wtp_abatement,,,,,99999,,baseline,1,0
rao_crude,permitrev,,,,,99999,,baseline,1,0
rao_crude,wtp_no_leak,,,,,99999,,baseline,1,0
rao_crude,wtp_leak,,,,,99999,,baseline,1,0
rao_crude,wtp_soc_g,-.0000156519255017,,,,99999,,baseline,1,0
rao_crude,wtp_soc_l,0,,,,99999,,baseline,1,0
rao_crude,fisc_ext_t,-.0036564330291823,,,,99999,,baseline,1,0
rao_crude,fisc_ext_s,0,,,,99999,,baseline,1,0
rao_crude,fisc_ext_lr,3.05667697735e-07,,,,99999,,baseline,1,0
rao_crude,q_CO2,,,,,99999,,baseline,1,0
rao_crude,q_CO2_no,,,,,99999,,baseline,1,0
rao_crude,p_spend,,,,,99999,,baseline,1,0
rao_crude,ev_sub_c,,,,,99999,,baseline,1,0
rao_crude,ev_sub_c_row,,,,,99999,,baseline,1,0
rao_crude,ev_sub_c_us,,,,,99999,,baseline,1,0
rao_crude,ev_sub_env,,,,,99999,,baseline,1,0
rao_crude,ev_sub_cost,,,,,99999,,baseline,1,0
rao_crude,profits_fisc_e,,,,,99999,,baseline,1,0
rao_crude,wtp_soc_l_po,,,,,99999,,baseline,1,0
rao_crude,wtp_soc_l_dr,,,,,99999,,baseline,1,0
rao_crude,gov_carbon,,,,,99999,,baseline,1,0
rao_crude,resource_ce,,,,,99999,,baseline,1,0
rao_crude,q_carbon_mck,,,,,99999,,baseline,1,0
rao_crude,semie,,,,,99999,,baseline,1,0
rao_crude,pass_through,,,,,99999,,baseline,1,0
rao_crude,permitrev_new,,,,,99999,,baseline,1,0
rao_crude,permitrev_ex,,,,,99999,,baseline,1,0
rao_crude,fiscalext,,,,,99999,,baseline,1,0
rao_crude,firm_cost_wtp,,,,,99999,,baseline,1,0
rao_crude,c_savings,,,,,99999,,baseline,1,0
rao_crude,resource_cost,,,,,99999,,baseline,1,0
rao_crude,q_CO2_mck,,,,,99999,,baseline,1,0
rao_crude,q_CO2_mck_no,,,,,99999,,baseline,1,0
rao_crude,wtp_ctr,,,,,99999,,baseline,1,0
rao_crude,gas_corp_fisc_e,,,,,99999,,baseline,1,0
rao_crude,epsilon,,,,,99999,,baseline,1,0
rao_crude,transfer,,,,,99999,,baseline,1,0
